query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_13875	1840	MN769244	MAG: TTV-like mini virus isolate SAfiA-352-24, complete genome	2900	0.0	1473	1867	78.9	101.47	1	1840	2514	675	minus	TTV-like mini virus	complete genome
contig_14012	1830	MN768577	MAG: Torque teno mini virus isolate SAfiA-657-38, complete ORF1	2799	0.0	1715	1827	93.87	99.84	4	1830	2590	764	minus	Torque teno mini virus	complete ORF
contig_14022	1830	OZ258807	Betatorquevirus sp., isolate HS13048_4, complete genome >gi|2979092864|emb|OZ259019.1| Betatorquevirus sp., isolate HS13048_4, complete genome	2940	0.0	1784	1815	98.29	99.18	16	1830	329	2143	plus	Betatorquevirus sp.	complete genome
contig_14117	1823	OZ258722	Betatorquevirus sp., isolate HS12029_5, partial genome >gi|2979092694|emb|OZ258934.1| Betatorquevirus sp., isolate HS12029_5, partial genome	3104	0.0	1794	1821	98.52	99.89	1	1821	2431	611	minus	Betatorquevirus sp.	partial genome
contig_14516	1795	MW091352	Chicken anemia virus strain 18R014B, complete genome	2298	0.0	1758	1778	98.88	99.05	16	1793	348	2124	plus	Chicken anemia virus	complete genome
contig_14584	1789	MN773486	MAG: TTV-like mini virus isolate SAfiA-849-51, partial genome	2696	0.0	1504	1672	89.95	93.46	23	1688	89	1754	plus	TTV-like mini virus	partial genome
contig_14733	1779	PV013342	Betatorquevirus homini19 isolate GE-1983-24-0227 ORF1 gene, complete cds	2814	0.0	1717	1760	97.56	98.93	20	1779	2169	410	minus	Betatorquevirus homini19	complete cds
contig_15297	1744	MZ824884	MAG: Anelloviridae sp. isolate SPI21_C1 ORF1 (ORF1) gene, complete cds	2932	0.0	1419	1431	99.16	82.05	314	1744	2226	796	minus	Anelloviridae sp.	complete cds
contig_15372	1740	MN771119	MAG: TTV-like mini virus isolate SAfiA-461-9, complete genome	2892	0.0	1563	1574	99.3	90.46	9	1582	2157	584	minus	TTV-like mini virus	complete genome
contig_16851	1656	OQ064556	Torque teno midi virus 9 isolate TTMDV_SA_24 ORF1 gene, complete cds	2722	0.0	1639	1643	99.76	99.21	1	1643	1858	216	minus	Torque teno midi virus 9	complete cds
contig_17021	1648	PV013265	Betatorquevirus sp. 'homini616' isolate GE-1979-24-0415 ORF1 gene, complete cds	2779	0.0	1633	1648	99.09	100.0	1	1648	2428	781	minus	Betatorquevirus sp. 'homini616'	complete cds
contig_17146	1641	MN770633	MAG: TTV-like mini virus isolate SAfiA-455-7, complete genome	2887	0.0	1571	1600	98.19	97.5	42	1641	471	2070	plus	TTV-like mini virus	complete genome
contig_17385	1628	MN771332	MAG: TTV-like mini virus isolate SAfiA-558-7, complete genome	2959	0.0	1607	1624	98.95	99.75	1	1624	798	2421	plus	TTV-like mini virus	complete genome
contig_17660	1615	PV860285	MAG: Betatorquevirus isolate Beta_L8257_2677 genomic sequence	2705	0.0	1479	1626	90.96	100.68	1	1614	706	2319	plus	Betatorquevirus	genomic sequence
contig_18632	1572	MN768796	MAG: Torque teno mini virus isolate SAfiA-8B-5, complete ORF1	2750	0.0	1516	1540	98.44	97.96	15	1553	751	2289	plus	Torque teno mini virus	complete ORF
contig_19233	1546	MZ825127	MAG: Anelloviridae sp. isolate SPI29_C4, complete genome	2952	0.0	1509	1524	99.02	98.58	10	1532	1749	226	minus	Anelloviridae sp.	complete genome
contig_20459	1499	MN771669	MAG: TTV-like mini virus isolate SAfiA-339-12, partial genome	2865	0.0	1429	1499	95.33	100.0	1	1499	2249	751	minus	TTV-like mini virus	partial genome
contig_20764	1489	MN772181	MAG: TTV-like mini virus isolate SAfiA-571-22, partial genome	2668	0.0	1296	1380	93.91	92.68	90	1469	625	2004	plus	TTV-like mini virus	partial genome
contig_21558	1459	MN771320	MAG: TTV-like mini virus isolate SAfiA-252-10, complete genome	2959	0.0	1312	1423	92.2	97.53	22	1443	1725	305	minus	TTV-like mini virus	complete genome
contig_21645	1456	BK069002	MAG TPA_asm: Alphatorquevirus sp. isolate DRR140164_NODE_2 genomic sequence	3763	0.0	1451	1456	99.66	100.0	1	1456	916	2371	plus	Alphatorquevirus sp.	genomic sequence
contig_22018	1444	MN771314	MAG: TTV-like mini virus isolate SAfiA-561-7, complete genome	2812	0.0	1347	1419	94.93	98.27	24	1442	2437	1019	minus	TTV-like mini virus	complete genome
contig_22197	1439	MN773244	MAG: TTV-like mini virus isolate SAfiA-599-8, partial genome	2800	0.0	1379	1394	98.92	96.87	33	1426	297	1690	plus	TTV-like mini virus	partial genome
contig_22898	1415	MN780445	MAG: Torque teno midi virus isolate SAfiA-232-6 ORF1 gene, complete cds	3148	0.0	1399	1401	99.86	99.01	1	1401	115	1515	plus	Torque teno midi virus	complete cds
contig_23561	1395	PP816650	Betatorquevirus homini1 isolate GE-0867-24-003 genomic sequence	2809	0.0	1361	1379	98.69	98.85	12	1390	1645	267	minus	Betatorquevirus homini1	genomic sequence
contig_23715	1391	MG846494	Gyrovirus 4 strain RS/BR/15/2S, partial genome	1539	0.0	1374	1377	99.78	98.99	1	1377	163	1539	plus	Gyrovirus 4	partial genome
contig_24801	1361	MZ824839	MAG: Anelloviridae sp. isolate SPI17_C49 ORF1 (ORF1) gene, complete cds	2514	0.0	1289	1362	94.64	100.07	1	1361	1909	549	minus	Anelloviridae sp.	complete cds
contig_25052	1355	PV013360	Gammatorquevirus sp. 'homidi62' isolate GE-1979-24-0444 ORF1 gene, complete cds	2654	0.0	1331	1336	99.63	98.6	20	1355	1106	2441	plus	Gammatorquevirus sp. 'homidi62'	complete cds
contig_25612	1340	MN775342	MAG: Torque teno midi virus isolate SAfiA-234-41 ORF1 gene, complete cds	2573	0.0	1187	1298	91.45	96.87	18	1314	1341	45	minus	Torque teno midi virus	complete cds
contig_25647	1339	MN770887	MAG: TTV-like mini virus isolate SAfiA-57-20, complete genome	2914	0.0	1319	1330	99.17	99.33	10	1339	1452	2781	plus	TTV-like mini virus	complete genome
contig_25715	1337	MN777965	MAG: Torque teno midi virus isolate SAfiA-892-12 ORF1 gene, complete cds	2912	0.0	1326	1335	99.33	99.85	1	1335	2362	1028	minus	Torque teno midi virus	complete cds
contig_25919	1332	MN771992	MAG: TTV-like mini virus isolate SAfiA-868-18, partial genome	2847	0.0	1297	1327	97.74	99.62	1	1327	1491	2817	plus	TTV-like mini virus	partial genome
contig_26562	1315	MN770996	MAG: TTV-like mini virus isolate SAfiA-390-9, complete genome	2883	0.0	1285	1294	99.3	98.4	22	1315	478	1769	plus	TTV-like mini virus	complete genome
contig_26624	1314	PV013274	Betatorquevirus homini13 isolate GE-1982-24-0457 ORF1 gene, complete cds	2579	0.0	1300	1314	98.93	100.0	1	1314	557	1870	plus	Betatorquevirus homini13	complete cds
contig_26972	1306	MN772286	MAG: TTV-like mini virus isolate SAfiA-224-50, partial genome	2581	0.0	1251	1297	96.45	99.31	10	1306	1468	172	minus	TTV-like mini virus	partial genome
contig_27323	1298	MN767455	MAG: Torque teno virus isolate SAfiA-258A-12 ORF1 gene, complete cds	3557	0.0	1268	1268	100.0	97.69	14	1281	2890	1623	minus	Torque teno virus	complete cds
contig_28092	1281	MN772170	MAG: TTV-like mini virus isolate SAfiA-385-20, partial genome	2575	0.0	1224	1247	98.16	97.35	19	1265	886	2132	plus	TTV-like mini virus	partial genome
contig_29277	1255	MG846492	Avian gyrovirus 2 strain RS/BR/15/2S, complete genome	2383	0.0	1246	1255	99.28	100.0	1	1255	2216	962	minus	Avian gyrovirus 2	complete genome
contig_30042	1241	MZ824966	MAG: Anelloviridae sp. isolate SPI38_C4 ORF1 (ORF1) gene, complete cds	3411	0.0	1241	1241	100.0	100.0	1	1241	1629	389	minus	Anelloviridae sp.	complete cds
contig_30191	1238	MN780409	MAG: Torque teno midi virus isolate SAfiA-641-1 ORF1 gene, complete cds	3093	0.0	1211	1224	98.94	98.87	1	1224	664	1887	plus	Torque teno midi virus	complete cds
contig_30210	1237	PV013253	Betatorquevirus sp. 'homini402' isolate GE-1978-24-0185 ORF1 gene, complete cds	2955	0.0	1231	1237	99.51	100.0	1	1237	455	1691	plus	Betatorquevirus sp. 'homini402'	complete cds
contig_30674	1229	MN776008	MAG: Torque teno midi virus isolate SAfiA-432-1 ORF1 gene, complete cds	2965	0.0	1084	1199	90.41	97.56	9	1205	1436	2632	plus	Torque teno midi virus	complete cds
contig_30686	1228	MN772728	MAG: TTV-like mini virus isolate SAfiA-373-24, partial genome	2697	0.0	1211	1222	99.1	99.51	1	1222	2323	1102	minus	TTV-like mini virus	partial genome
contig_32356	1199	MN769668	MAG: TTV-like mini virus isolate SAfiA-667-4, complete genome	2974	0.0	1078	1105	97.56	92.16	3	1107	1436	2539	plus	TTV-like mini virus	complete genome
contig_32845	1190	MN769888	MAG: TTV-like mini virus isolate SAfiA-297-86, complete genome	2983	0.0	1087	1137	95.6	95.55	27	1163	848	1984	plus	TTV-like mini virus	complete genome
contig_33077	1186	MN773714	MAG: TTV-like mini virus isolate SAfiA-340-7, partial genome	2655	0.0	1008	1022	98.63	86.17	31	1052	424	1445	plus	TTV-like mini virus	partial genome
contig_33693	1175	MN772444	MAG: TTV-like mini virus isolate SAfiA-30-11, partial genome	2752	0.0	1167	1175	99.32	100.0	1	1175	1676	502	minus	TTV-like mini virus	partial genome
contig_33822	1172	MN780456	MAG: Torque teno midi virus isolate SAfiA-642-41 ORF1 gene, complete cds	2802	0.0	1158	1166	99.31	99.49	3	1166	2692	1527	minus	Torque teno midi virus	complete cds
contig_33967	1170	OZ258780	Betatorquevirus sp., isolate HS12179_1, partial genome >gi|2979092810|emb|OZ258992.1| Betatorquevirus sp., isolate HS12179_1, partial genome	2558	0.0	1070	1168	91.61	99.83	3	1170	1770	603	minus	Betatorquevirus sp.	partial genome
contig_34347	1163	MN770584	MAG: TTV-like mini virus isolate SAfiA-373-17, complete genome	2874	0.0	1074	1140	94.21	98.02	1	1139	1641	2779	plus	TTV-like mini virus	complete genome
contig_35169	1149	PQ754132	MAG: Betatorquevirus isolate BCa22_504 genomic sequence	2962	0.0	1128	1144	98.6	99.56	8	1149	1341	2484	plus	Betatorquevirus	genomic sequence
contig_35170	1149	MN772754	MAG: TTV-like mini virus isolate SAfiA-380-101, partial genome	2722	0.0	1103	1108	99.55	96.43	23	1130	1588	2695	plus	TTV-like mini virus	partial genome
contig_35520	1144	MN770657	MAG: TTV-like mini virus isolate SAfiA-540-4, complete genome	2891	0.0	1140	1144	99.65	100.0	1	1144	1829	686	minus	TTV-like mini virus	complete genome
contig_35806	1139	MN773394	MAG: TTV-like mini virus isolate SAfiA-691-18, partial genome	2332	0.0	1072	1083	98.98	95.08	38	1120	1245	2327	plus	TTV-like mini virus	partial genome
contig_35851	1139	MN771265	MAG: TTV-like mini virus isolate SAfiA-578-13, complete genome	2966	0.0	855	1075	79.53	94.38	40	1101	1790	2847	plus	TTV-like mini virus	complete genome
contig_36473	1129	MN769663	MAG: TTV-like mini virus isolate SAfiA-656-8, complete genome	2914	0.0	1098	1107	99.19	98.05	14	1119	2478	1372	minus	TTV-like mini virus	complete genome
contig_36641	1127	MN771992	MAG: TTV-like mini virus isolate SAfiA-868-18, partial genome	2847	0.0	1071	1120	95.62	99.38	8	1127	1076	2194	plus	TTV-like mini virus	partial genome
contig_36742	1125	PV013274	Betatorquevirus homini13 isolate GE-1982-24-0457 ORF1 gene, complete cds	2579	0.0	1071	1080	99.17	96.0	44	1123	1143	64	minus	Betatorquevirus homini13	complete cds
contig_38226	1105	MN770828	MAG: TTV-like mini virus isolate SAfiA-577-131, complete genome	2824	0.0	943	1093	86.28	98.91	13	1099	823	1906	plus	TTV-like mini virus	complete genome
contig_38908	1096	MN772286	MAG: TTV-like mini virus isolate SAfiA-224-50, partial genome	2581	0.0	1052	1096	95.99	100.0	1	1096	2565	1470	minus	TTV-like mini virus	partial genome
contig_38987	1095	MZ825127	MAG: Anelloviridae sp. isolate SPI29_C4, complete genome	2952	0.0	1093	1095	99.82	100.0	1	1095	2860	1766	minus	Anelloviridae sp.	complete genome
contig_39636	1088	MN772187	MAG: TTV-like mini virus isolate SAfiA-577-135, partial genome	2757	0.0	1070	1088	98.35	100.0	1	1088	1108	2195	plus	TTV-like mini virus	partial genome
contig_40324	1079	MN772709	MAG: TTV-like mini virus isolate SAfiA-368-16, partial genome	2819	0.0	1012	1039	97.4	96.29	36	1074	1762	2800	plus	TTV-like mini virus	partial genome
contig_40383	1079	MN774945	MAG: Torque teno midi virus isolate SAfiA-116-48, complete genome	3019	0.0	967	978	98.88	90.64	1	978	977	1	minus	Torque teno midi virus	complete genome
contig_40400	1079	MN771443	MAG: TTV-like mini virus isolate SAfiA-511-15, complete genome	2819	0.0	873	885	98.64	82.02	26	909	1510	2393	plus	TTV-like mini virus	complete genome
contig_40927	1072	BK038252	MAG TPA_asm: Bacteriophage sp. isolate ctTSw6, partial genome	3046	0.0	1054	1058	99.62	98.69	14	1071	1361	304	minus	Bacteriophage sp.	partial genome
contig_41090	1071	MN778475	MAG: Torque teno midi virus isolate SAfiA-116-81 ORF1 gene, complete cds	2487	0.0	981	1069	91.77	99.81	3	1071	1135	67	minus	Torque teno midi virus	complete cds
contig_41802	1062	MN771669	MAG: TTV-like mini virus isolate SAfiA-339-12, partial genome	2865	0.0	1014	1062	95.48	100.0	1	1062	63	1124	plus	TTV-like mini virus	partial genome
contig_42090	1060	MN770839	MAG: TTV-like mini virus isolate SAfiA-223-6, complete genome	2914	0.0	1033	1039	99.42	98.02	19	1057	2762	1724	minus	TTV-like mini virus	complete genome
contig_42211	1058	MN776889	MAG: Torque teno midi virus isolate SAfiA-5A-6 ORF1 gene, complete cds	3085	0.0	1047	1058	98.96	100.0	1	1058	566	1623	plus	Torque teno midi virus	complete cds
contig_42538	1055	MN778218	MAG: Torque teno midi virus isolate SAfiA-370-8 ORF1 gene, complete cds	2690	0.0	1008	1020	98.82	96.68	14	1033	4	1023	plus	Torque teno midi virus	complete cds
contig_43766	1043	PV013355	Gammatorquevirus homidi2 isolate GE-2003-24-0288 ORF1 gene, complete cds	3292	0.0	1039	1043	99.62	100.0	1	1043	2476	1434	minus	Gammatorquevirus homidi2	complete cds
contig_44065	1040	MZ824884	MAG: Anelloviridae sp. isolate SPI21_C1 ORF1 (ORF1) gene, complete cds	2932	0.0	1023	1031	99.22	99.13	10	1040	422	1452	plus	Anelloviridae sp.	complete cds
contig_45257	1030	BK069035	MAG TPA_asm: Alphatorquevirus sp. isolate DRR140174_NODE_1 genomic sequence	3735	0.0	1000	1001	99.9	97.18	21	1021	1043	2043	plus	Alphatorquevirus sp.	genomic sequence
contig_45997	1023	MN773370	MAG: TTV-like mini virus isolate SAfiA-674-18, partial genome	2678	1.0290299999999999e-91	415	521	79.65	50.93	449	956	339	846	plus	TTV-like mini virus	partial genome
contig_46055	1023	MN774539	MAG: TTV-like mini virus isolate SAfiA-520-20, partial genome	2751	0.0	979	1020	95.98	99.71	4	1023	1580	561	minus	TTV-like mini virus	partial genome
contig_46346	1021	PV013254	Betatorquevirus sp. 'homini403' isolate GE-1998-24-0337 ORF1 gene, complete cds	2418	0.0	986	993	99.3	97.26	29	1021	1237	2229	plus	Betatorquevirus sp. 'homini403'	complete cds
contig_46929	1016	BK069071	MAG TPA_asm: Alphatorquevirus sp. isolate SRR2037083_NODE_1286 genomic sequence	2978	0.0	967	982	98.47	96.65	20	1001	2375	1394	minus	Alphatorquevirus sp.	genomic sequence
contig_47848	1009	KJ452215	Gyrovirus 4 strain G14, complete genome	2028	0.0	992	1006	98.61	99.7	1	1004	1604	599	minus	Gyrovirus 4	complete genome
contig_49639	3146	NC_020498	TTV-like mini virus isolate TTMV_LY1, complete genome >gi|459958115|gb|JX134044.1| Betatorquevirus homini15 isolate TTMV_LY1, complete genome	2912	0.0	1606	1644	97.69	52.26	1	1644	1635	1	minus	TTV-like mini virus	complete genome
contig_49814	2583	PV013324	Betatorquevirus sp. 'homini402' isolate GE-1980-24-0345 ORF1 gene, complete cds	2935	0.0	2543	2578	98.64	99.81	1	2577	284	2861	plus	Betatorquevirus sp. 'homini402'	complete cds
contig_49946	1948	BK069006	MAG TPA_asm: Betatorquevirus sp. isolate DRR140165_NODE_22 genomic sequence	3550	0.0	1939	1948	99.54	100.0	1	1948	282	2229	plus	Betatorquevirus sp.	genomic sequence
contig_5833	3291	MN769877	MAG: TTV-like mini virus isolate SAfiA-247-8, complete genome	3039	0.0	1881	2102	89.49	63.87	1198	3291	3038	941	minus	TTV-like mini virus	complete genome
contig_6273	3098	MN770332	MAG: TTV-like mini virus isolate SAfiA-791-116, complete genome	2883	0.0	1701	1889	90.05	60.97	2	1886	1885	1	minus	TTV-like mini virus	complete genome
contig_6399	3047	MN770543	MAG: TTV-like mini virus isolate SAfiA-330-8, complete genome	2911	0.0	2575	2657	96.91	87.2	1	2657	34	2689	plus	TTV-like mini virus	complete genome
contig_6488	3006	PV013221	Alphatorquevirus homin7 isolate GE-1994-24-0265 ORF1 gene, complete cds	3405	0.0	2995	3006	99.63	100.0	1	3006	63	3068	plus	Alphatorquevirus homin7	complete cds
contig_6571	2981	PV013270	Betatorquevirus sp. 'homini704' isolate GE-1979-24-0379 ORF1 gene, complete cds	2992	0.0	2728	2825	96.57	94.77	24	2848	2817	1	minus	Betatorquevirus sp. 'homini704'	complete cds
contig_6711	2922	PV013310	Alphatorquevirus homin7 isolate GE-1979-24-0377 ORF1 gene, complete cds	3006	0.0	2879	2888	99.69	98.84	10	2897	2936	49	minus	Alphatorquevirus homin7	complete cds
contig_6829	2887	PP857194	MAG: Hetorquevirus hominid6 isolate 1222D4-He6 genomic sequence	2896	0.0	2575	2871	89.69	99.45	31	2887	1	2860	plus	Hetorquevirus hominid6	genomic sequence
contig_685	1575	MN769516	MAG: Torque teno hominid virus 2 isolate SAfiA-573-18, complete genome	2918	0.0	1572	1575	99.81	100.0	1	1575	1711	138	minus	Torque teno hominid virus 2	complete genome
contig_686	1065	NC_075447	Anelloviridae sp. strain vzttmv5, complete genome >gi|1681076333|gb|MK212032.1| Hetorquevirus hominid2 strain vzttmv5, complete genome	2919	0.0	1065	1065	100.0	100.0	1	1065	1726	2790	plus	Anelloviridae sp.	complete genome
contig_6926	2856	MN769957	MAG: TTV-like mini virus isolate SAfiA-57-32, complete genome	2919	0.0	2723	2749	99.05	96.25	91	2839	2919	172	minus	TTV-like mini virus	complete genome
contig_7169	2796	MN769705	MAG: TTV-like mini virus isolate SAfiA-701-7, complete genome	2952	0.0	2584	2784	92.82	99.57	13	2796	74	2849	plus	TTV-like mini virus	complete genome
contig_7210	2791	MN769076	MAG: TTV-like mini virus isolate SAfiA-128A-23, complete genome	2919	0.0	2707	2788	97.09	99.89	4	2791	72	2841	plus	TTV-like mini virus	complete genome
contig_7219	2777	MN773768	MAG: TTV-like mini virus isolate SAfiA-584-9, partial genome	2925	0.0	2711	2756	98.37	99.24	1	2756	78	2829	plus	TTV-like mini virus	partial genome
contig_7262	2765	OQ064573	Torque teno mini virus 1 isolate TTMV_SA_20 ORF1 gene, complete cds	2807	0.0	2732	2754	99.2	99.6	1	2754	21	2770	plus	Torque teno mini virus 1	complete cds
contig_7294	2755	MN771011	MAG: TTV-like mini virus isolate SAfiA-79-3, complete genome	2920	0.0	2244	2709	82.83	98.33	12	2692	237	2920	plus	TTV-like mini virus	complete genome
contig_7325	2748	OZ258750	Alphatorquevirus sp., isolate HS12117_3, complete genome >gi|2979092750|emb|OZ258962.1| Alphatorquevirus sp., isolate HS12117_3, complete genome	3809	0.0	2724	2748	99.13	100.0	1	2748	261	3008	plus	Alphatorquevirus sp.	complete genome
contig_7355	2744	MN768672	MAG: Torque teno mini virus isolate SAfiA-74-5, complete ORF1	2792	0.0	2687	2714	99.01	98.91	1	2714	51	2764	plus	Torque teno mini virus	complete ORF
contig_7521	2249	MN770673	MAG: TTV-like mini virus isolate SAfiA-573-24, complete genome	2900	0.0	2236	2249	99.42	100.0	1	2249	567	2815	plus	TTV-like mini virus	complete genome
contig_7525	2702	PV860302	MAG: Betatorquevirus isolate Beta_L1586_2663 genomic sequence	2516	0.0	2370	2460	96.34	91.04	243	2702	1	2460	plus	Betatorquevirus	genomic sequence
contig_7587	2683	OZ258741	Betatorquevirus sp., isolate HS12077_1, complete genome >gi|2979092732|emb|OZ258953.1| Betatorquevirus sp., isolate HS12077_1, complete genome	2856	0.0	2513	2681	93.73	99.93	5	2683	23	2696	plus	Betatorquevirus sp.	complete genome
contig_7638	2666	PP816629	Alphatorquevirus homin13 isolate GE-0974-24-023 genomic sequence	3119	0.0	2537	2647	95.84	99.29	20	2666	345	2991	plus	Alphatorquevirus homin13	genomic sequence
contig_7778	2631	MN771085	MAG: TTV-like mini virus isolate SAfiA-240-12, complete genome	2943	0.0	2507	2597	96.53	98.71	8	2604	283	2879	plus	TTV-like mini virus	complete genome
contig_7798	2627	PV860611	MAG: Rhinovirus A isolate He_L2273_2952 genomic sequence	2811	0.0	2581	2624	98.36	99.89	2	2625	101	2719	plus	Rhinovirus A	genomic sequence
contig_7799	2627	MZ286287	Anelloviridae sp. isolate SP56_C4, complete genome	2778	0.0	2569	2601	98.77	99.01	25	2625	1	2601	plus	Anelloviridae sp.	complete genome
contig_7949	2594	OR148954	Anellovirus D_HF6_591, complete genome	2876	0.0	2554	2589	98.65	99.81	2	2590	280	2868	plus	Anellovirus D_HF6_591	complete genome
contig_7956	2593	MN770584	MAG: TTV-like mini virus isolate SAfiA-373-17, complete genome	2874	0.0	2540	2567	98.95	99.0	27	2593	2632	68	minus	TTV-like mini virus	complete genome
contig_7962	2590	MN770845	MAG: TTV-like mini virus isolate SAfiA-869-2, complete genome	2872	0.0	2481	2590	95.79	100.0	1	2590	209	2797	plus	TTV-like mini virus	complete genome
contig_8111	2553	PV861299	MAG: Betatorquevirus isolate Beta_L7001_3547 genomic sequence	2660	0.0	2231	2364	94.37	92.6	1	2363	211	2573	plus	Betatorquevirus	genomic sequence
contig_8203	2532	MN776528	MAG: Torque teno midi virus isolate SAfiA-362-25 ORF1 gene, complete cds	2706	0.0	2340	2489	94.01	98.3	20	2508	1	2488	plus	Torque teno midi virus	complete cds
contig_8253	2521	MN771366	MAG: TTV-like mini virus isolate SAfiA-479-12, complete genome	2876	0.0	2283	2508	91.03	99.48	1	2508	2853	346	minus	TTV-like mini virus	complete genome
contig_8312	2510	BK032524	MAG TPA_asm: Anelloviridae sp. ctUGs1, partial genome	3007	0.0	2435	2446	99.55	97.45	36	2481	52	2497	plus	Anelloviridae sp. ctUGs1	partial genome
contig_8313	1486	OZ258713	Betatorquevirus sp., isolate HS12012_2, complete genome >gi|2979092676|emb|OZ258925.1| Betatorquevirus sp., isolate HS12012_2, complete genome	2811	0.0	1448	1486	97.44	100.0	1	1486	679	2164	plus	Betatorquevirus sp.	complete genome
contig_8416	2489	PV013283	Betatorquevirus sp. 'homini903' isolate GE-1994-24-0202 ORF1 gene, complete cds	3627	0.0	2425	2473	98.06	99.36	17	2489	2784	312	minus	Betatorquevirus sp. 'homini903'	complete cds
contig_8484	2476	MN769846	MAG: TTV-like mini virus isolate SAfiA-505-0, complete genome	3039	0.0	2204	2479	88.91	100.12	3	2476	291	2764	plus	TTV-like mini virus	complete genome
