"","Contig","total_PA"
"378","virus_comp_11504_cycle_1",4
"379","virus_comp_1173_cycle_1",4
"380","virus_comp_12176_cycle_1",4
"381","virus_comp_122_cycle_1",4
"382","virus_comp_12288_cycle_1",4
"383","virus_comp_1256_cycle_1",4
"384","virus_comp_1257_cycle_1",4
"385","virus_comp_12629_cycle_1",4
"386","virus_comp_13183_cycle_1",4
"387","virus_comp_13235_cycle_1",4
"388","virus_comp_13268_cycle_1",4
"389","virus_comp_134_cycle_1",4
"390","virus_comp_13493_cycle_1",4
"391","virus_comp_135_cycle_1",4
"392","virus_comp_13519_cycle_1",4
"393","virus_comp_13709_cycle_1",4
"394","virus_comp_14088_cycle_1",4
"395","virus_comp_1435_cycle_1",4
"396","virus_comp_1452_cycle_1",4
"397","virus_comp_14574_cycle_1",4
"398","virus_comp_14614_cycle_1",4
"399","virus_comp_14748_cycle_1",4
"400","virus_comp_14801_cycle_1",4
"401","virus_comp_14861_cycle_1",4
"402","virus_comp_14959_cycle_1",4
"403","virus_comp_15024_cycle_1",4
"404","virus_comp_15056_cycle_1",4
"405","virus_comp_15063_cycle_1",4
"406","virus_comp_15199_cycle_1",4
"407","virus_comp_153_cycle_1",4
"408","virus_comp_15318_cycle_1",4
"409","virus_comp_15349_cycle_1",4
"410","virus_comp_15393_cycle_1",4
"411","virus_comp_15497_cycle_1",4
"412","virus_comp_15570_cycle_1",4
"413","virus_comp_15575_cycle_1",4
"414","virus_comp_15637_cycle_1",4
"415","virus_comp_15699_cycle_1",4
"416","virus_comp_1571_cycle_1",4
"417","virus_comp_15711_cycle_1",4
"418","virus_comp_15766_cycle_1",4
"419","virus_comp_158_cycle_1",4
"420","virus_comp_1583_cycle_1",4
"421","virus_comp_15931_cycle_1",4
"422","virus_comp_15953_cycle_1",4
"423","virus_comp_15998_cycle_1",4
"424","virus_comp_16135_cycle_1",4
"425","virus_comp_1620_cycle_1",4
"426","virus_comp_16204_cycle_1",4
"427","virus_comp_16267_cycle_1",4
"428","virus_comp_1632_cycle_1",4
"429","virus_comp_16345_cycle_1",4
"430","virus_comp_16350_cycle_1",4
"431","virus_comp_16357_cycle_1",4
"432","virus_comp_16471_cycle_1",4
"433","virus_comp_165_cycle_1",4
"434","virus_comp_1654_cycle_1",4
"435","virus_comp_1661_cycle_1",4
"436","virus_comp_16619_cycle_1",4
"437","virus_comp_16624_cycle_1",4
"438","virus_comp_16681_cycle_1",4
"439","virus_comp_16695_cycle_1",4
"440","virus_comp_16712_cycle_1",4
"441","virus_comp_16729_cycle_1",4
"442","virus_comp_16785_cycle_1",4
"443","virus_comp_16795_cycle_1",4
"444","virus_comp_16811_cycle_1",4
"445","virus_comp_16867_cycle_1",4
"446","virus_comp_1687_cycle_1",4
"447","virus_comp_16878_cycle_1",4
"448","virus_comp_16883_cycle_1",4
"449","virus_comp_16901_cycle_1",4
"450","virus_comp_16912_cycle_1",4
"451","virus_comp_1694_cycle_1",4
"452","virus_comp_16967_cycle_1",4
"453","virus_comp_1697_cycle_1",4
"454","virus_comp_17035_cycle_1",4
"455","virus_comp_17063_cycle_1",4
"456","virus_comp_17096_cycle_1",4
