"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_155_cycle_2_33",-2.16684185536768,2.60171117301252,3.87090882305129,4.53549137552468,8.36758120306848,8.58423709608454,6.7568824562046,6.83999123474183,7.2748538315918,-4.11396291277951,6.95477666982051,4.83951610977198,6.71582713352108
"edge_48806_6",2.32778600334672,1.78981946592903,0.922265745255681,-0.737719499520153,0.0274842905140601,0.647822714316661,-4.16241468995374,-4.49972123813413,-4.44810370559829,-4.48852809326134,-4.30113997603166,-2.78257958845756,-4.25736385686775
"virus_comp_733_cycle_1_5",-1.83310648810786,-1.92070539900456,-2.00328849922037,-2.08139921212363,-1.52466894515017,-0.69291253037713,-0.66811125158996,-0.570993840846952,-1.64611000917068,-1.15060641137712,-1.92542176548915,-1.86985140394848,-1.90960612217747
"virus_comp_34_cycle_1_12",-5.33683817408155,-5.20399079177921,-5.05765820590017,-4.89479013954858,-4.38191025494163,-3.96782889594981,-3.75395256666707,-3.22962054160119,-2.81207329806506,-1.40434018854618,1.30612897678562,2.33123212682776,3.14924934612412
"virus_comp_490_cycle_1_5",3.16592905759806,3.02253447195138,2.86329836996615,2.68428081284396,3.0380633825725,2.92685865187157,2.65971450466173,2.57413923114568,2.31672889260784,2.21266452482969,1.91324083314461,1.03272675790955,0.66087652241155
"edge_1847_40",5.81048352651782,5.58116641876268,5.30838127151409,4.97170237293716,6.3649965334317,6.40277903114111,5.52800075192209,5.46879023525705,5.00399265986342,3.0103598482464,3.93526361530058,1.30304082657617,-2.05414981970128
"virus_comp_2915_cycle_1_6",-3.81230605102068,-3.73062418512142,-3.64403867078919,-3.55192292570208,-3.41048848400982,-3.1966315383358,-2.93188951028501,-2.70368181382896,-2.62075398386005,-2.19941213979788,-2.17370539739282,-1.59784620319635,-1.35228665039648
"edge_1847_34",4.2741927677594,4.05100492441665,3.78685619049247,3.46325498799384,5.13503729896935,5.20383492432546,4.29081772377198,4.28900815530102,3.85122125023793,1.87843960123265,3.13685701586715,1.13732693969111,1.154143857709
"virus_comp_733_cycle_1_19",-5.41330239931751,-5.22366500538828,-5.00527310035177,-4.7478208459391,-5.44910023127523,-5.38540052792846,-4.88033831876185,-4.7449939327359,-4.22951136276254,-3.54767939902992,-3.43249711953422,-2.40517038760619,1.04849668838812
"virus_comp_155_cycle_2_30",-7.0537324252951,-6.7431864810165,-6.34692192407235,-5.79878798464426,7.13263229926236,7.47161816979139,-5.85490120184009,-5.73792779698249,4.44561546896582,-6.99176025797094,5.23099876060437,-4.39113974474303,5.79995760067795
