"","Row.names","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR","query_id","query_length","hit_accession","hit_description","hit_length","e_value","identity","align_length","percent_identity","coverage","query_start","query_end","subject_start","subject_end","strand"
"11","19","contig_49002",1,91,0,93,Inf,0.497297297297297,1,"contig_3224",7475,"KY674974","Coxsackievirus A9 strain 16C2, complete genome",7387,0,7065,7415,95.28,99.2,13,7427,1,7387,"plus"
"12","2","contig_3176",1,91,0,93,Inf,0.497297297297297,1,"contig_10454",2168,"PP193995","MAG: Rhinovirus A12 isolate RV-A12/USA/089002/2022 polyprotein gene, partial cds",6557,0,2125,2168,98.02,100,1,2168,4245,2078,"minus"
"13","20","contig_30058",0,92,1,92,0,1,1,"contig_3225",7385,"PP585330","Coxsackievirus A6 strain CVA6_1700689224_FRA17 polyprotein gene, complete cds",7427,0,7289,7384,98.71,99.99,1,7384,44,7427,"plus"
"14","21","contig_3069",0,92,1,92,0,1,1,"contig_3229",7439,"ON497130","Human parechovirus 1 isolate FI0114, complete genome",7301,0,6879,7290,94.36,98,134,7419,21,7292,"plus"
"15","22","contig_11106",1,91,1,92,1.01093022774509,1,1,"contig_3233",7406,"OQ091464","Coxsackievirus A4 strain CVA4_210040002902_FRA21, complete genome",7423,0,7161,7339,97.57,99.1,35,7373,86,7423,"plus"
"16","23","contig_10594",0,92,1,92,0,1,1,"contig_3235",7404,"MH111017","Coxsackievirus A2 isolate C108/CHW/AUS/2016 polyprotein gene, complete cds",7355,0,7195,7355,97.82,99.34,34,7386,1,7355,"plus"
"17","24","contig_48979",1,91,1,92,1.01093022774509,1,1,"contig_3241",7383,"KP036483","Coxsackievirus A14 isolate PZ15G/JS/2012, complete genome",7400,0,6518,7301,89.28,98.89,43,7341,100,7398,"plus"
"18","3","contig_292",1,91,0,93,Inf,0.497297297297297,1,"contig_10594",2150,"OQ424532","MAG: Riboviria sp. isolate Red-flankedBluetail198_contig_256 genomic sequence",5568,0,1378,1463,94.19,68.05,26,1488,4106,5568,"plus"
"19","4","contig_33655",1,91,1,92,1.01093022774509,1,1,"contig_11106",2093,"OQ091651","Coxsackievirus A16 strain CVA16_316188110_FRA16, complete genome",7409,0,2052,2093,98.04,100,1,2093,7110,5018,"minus"
"20","5","contig_9975",1,91,0,93,Inf,0.497297297297297,1,"contig_13618",1856,"PP193995","MAG: Rhinovirus A12 isolate RV-A12/USA/089002/2022 polyprotein gene, partial cds",6557,0,1804,1839,98.1,99.08,3,1841,1,1839,"plus"
"21","6","contig_4215",0,92,1,92,0,1,1,"contig_15445",1736,"OQ091474","Coxsackievirus A4 strain CVA4_180054630902_FRA18, complete genome",7413,0,1707,1736,98.33,100,1,1736,6288,4553,"minus"
"22","7","contig_3279",0,92,1,92,0,1,1,"contig_17084",1644,"OP896717","Coxsackievirus A6 strain CU3495_THA2019 polyprotein gene, partial cds",7193,0,1628,1644,99.03,100,1,1644,579,2222,"plus"
"23","8","contig_49016",0,92,1,92,0,1,1,"contig_18302",1586,"LC318432","Human parechovirus 1 gene for polyprotein, partial cds, strain: 31170176",6795,0,1401,1538,91.09,96.97,1,1537,5179,3642,"minus"
"24","9","contig_27255",1,91,0,93,Inf,0.497297297297297,1,"contig_24559",1368,"JN652233","Saffold virus strain S19 polyprotein gene, complete cds",7886,0,1248,1326,94.12,96.93,26,1351,1476,2799,"plus"
