,02_GEMM_006_12M,02_GEMM_006_18M,02_GEMM_006_24M,02_GEMM_006_36M,02_GEMM_006_48M,02_GEMM_010_12M,02_GEMM_010_18M,02_GEMM_010_24M,02_GEMM_010_30M,02_GEMM_013_12M,02_GEMM_013_18M,02_GEMM_013_24M,02_GEMM_019_12M,02_GEMM_019_18M,02_GEMM_019_24M,02_GEMM_019_30M,02_GEMM_019_36M,02_GEMM_019_48M,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_027_12M,02_GEMM_027_18M,02_GEMM_030_12M,02_GEMM_030_18M,02_GEMM_030_24M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_034_12M,02_GEMM_034_18M,02_GEMM_035_12M,02_GEMM_038_12M,02_GEMM_038_18M,02_GEMM_038_24M,02_GEMM_038_30M,02_GEMM_038_36M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_047_12M,02_GEMM_047_18M,02_GEMM_047_24M,02_GEMM_047_30M,02_GEMM_050_12M,02_GEMM_050_18M,02_GEMM_050_24M,02_GEMM_050_30M,02_GEMM_050_36M,02_GEMM_050_48M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_070_12M,02_GEMM_070_18M,02_GEMM_070_24M,02_GEMM_070_30M,02_GEMM_077_18M,02_GEMM_090_12M,02_GEMM_090_18M,02_GEMM_090_24M,02_GEMM_090_30M,02_GEMM_101_12M,02_GEMM_101_18M,02_GEMM_115_12M,02_GEMM_115_18M,02_GEMM_115_24M,02_GEMM_115_30M,02_GEMM_115_36M,02_GEMM_115_48M,02_GEMM_120_12M,02_GEMM_120_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_174_12M,02_GEMM_174_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
contig_10577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11479,3295,805,0,320,0,0,0,0,0,0,0,2113,0,0
contig_10582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,1630,0,0,0,0,0,0,0,0,0,0,0,0,400,0,153,0,0,0,0,0,0,0,0,5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0
contig_10596,0,0,2286,0,0,0,650,0,0,0,2756,0,4432,7300,0,0,0,0,11206,6285,0,0,0,0,0,0,0,0,229,0,1918,0,0,2433,55276,17542,0,2175,0,481,0,2762,0,0,0,0,0,990,1755,845,0,0,0,0,0,0,3139,4781,2494,0,0,0,0,477,24238,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,2281,6357,3464,0,0,2881,0,0,2260,0,1503,1672,0,20831,0,0,556,0,0,0,2765,3376
contig_10606,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,1866,0,0,0,0,0,0,0,10946
contig_10651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
contig_10660,6136,0,0,0,0,0,0,0,0,1349,0,0,11373,0,0,0,0,0,6972,5298,0,0,0,0,0,0,0,0,26308,0,0,0,0,0,0,1601,0,0,0,0,0,28902,0,0,0,0,0,17609,6947,0,0,0,5201,0,0,0,0,9268,0,0,0,0,0,6165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46972,0,0,0,0,10043,3047,32484,80568,19106,15975,26118,30060,0,0,7274,0,3776,0,0,0,0,8377,4120,5764,0
contig_10707,0,0,0,0,0,0,0,0,0,0,0,0,6751,4961,1241,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,9739,7988,9490,0,0,9928,0,2441,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,850,2465,0,0,0,0,0,4789,1710,0,0,0,0,0,0,0,0,0,0,0,0,2330,0,0,0,0,0,0,0,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,2468,1937,0,0,0,0,0,0,0
contig_10766,0,21504,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,0,0,0,0,0,0,11160,410,0,0,0,0,0,0,0,13286,0,0,87,0,12942,6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,9557,0,14964,0,0,0,0,33041,0,14426,223
contig_10852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,300,0,0,0,0,0,0,81,0,0,0,0,0,0,0,2317,3189,0,0,0,42230,0,0,0,0,4136,543,2218,0,0,0,0,0,0,2786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,2322,0,0,0,0,0,0,0,0,0,1291,0,0,1428,828,0,0,0,0,0,0,0
contig_10860,3924,13719,0,0,0,0,0,0,0,26011,0,0,7952,1020,0,0,0,0,4345,161500,1196,0,0,0,0,0,0,0,0,0,2816,0,0,0,1529,0,0,0,0,4213,0,0,0,0,0,0,6764,10619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22415,8016,0,0,0,0,0,0,0,0,20053,0,0,0,0,0,0,0,0,269294,4531
