,logFC,AveExpr,t,P.Value,adj.P.Val,B
virus_comp_126_cycle_1_137,0.102777253646717,0.379247616149209,4.49202905393091,8.34284695798746e-05,0.000648353653255924,1.39720007217191
virus_comp_7998_cycle_1_1,0.0826449193595802,0.323459769529925,4.21472171308239,7.18994281732242e-05,0.000583578381055076,1.38907842050185
edge_1468_57,0.0915006813827962,0.419689010505325,4.16793791177958,7.01530122711753e-05,0.000578540348033807,1.38905000123106
edge_4_66,0.0778992491871883,0.49438566159348,4.10428366733111,6.72794918042142e-05,0.000562009104323244,1.3868789475974
virus_comp_62_cycle_1_41,0.0583314445759014,0.223558471659778,4.28304116205965,7.5180660072259e-05,0.000598898802675046,1.38437806093922
virus_comp_62_cycle_1_13,0.0532867111139796,0.264559691075156,4.15532782345546,6.97099490285155e-05,0.000576101883197605,1.3788044056871
edge_4_49,0.0908166324648596,0.613704819495651,4.08825100653808,6.87079683872844e-05,0.000571445634948712,1.36864239282488
virus_comp_6059_cycle_1_1,0.111450053868544,0.695892825828325,4.46821061820181,8.93827103444622e-05,0.000673211974444128,1.36859935271254
virus_comp_3629_cycle_1_1,0.0766186946421711,0.202382763862516,4.5148041932006,8.78533934968916e-05,0.000664253220849805,1.36754275222481
virus_comp_8065_cycle_1_3,0.0825563778115927,0.413823349733501,4.12040584085309,7.17526877421739e-05,0.000583578381055076,1.36417857921295
virus_comp_1102_cycle_1_8,0.0880364810846609,0.241038845381297,4.65062680793556,9.53558182417119e-05,0.000687723050750649,1.36353622176303
virus_comp_18020_cycle_1_3,0.0749278904238234,0.273944594358867,4.17310486379806,7.18504497573934e-05,0.000583578381055076,1.36287401333177
virus_comp_357_cycle_1_8,0.078173177567293,0.330912058894703,4.14635565913887,7.15729501275847e-05,0.000583578381055076,1.35599604941923
virus_comp_18364_cycle_1_1,0.0635366880044997,0.285281749978123,4.10720902654148,6.96537569528855e-05,0.000576101883197605,1.35428929435767
virus_comp_2063_cycle_1_2,0.0928981124572458,0.448803508672252,5.00876812710836,0.000114965594993636,0.000776166685371542,1.347553171503
virus_comp_597_cycle_1_5,0.0844051986817591,0.439607200905655,4.78675170575191,0.000104012551373348,0.000729955230374181,1.34660297017362
virus_comp_155_cycle_2_108,0.0724199084738819,0.513877389255002,4.4849100656013,9.01087498639798e-05,0.000674779891222791,1.34365776799924
virus_comp_2709_cycle_1_4,0.096557537096992,0.557072977436409,4.82396769078309,0.000108420742221223,0.000747850605878372,1.34289841854189
virus_comp_2170_cycle_1_10,0.0736607834227786,1.07134791837449,4.14457555324338,7.58341999268468e-05,0.000601082857983525,1.34013560346264
virus_comp_6059_cycle_1_5,0.122926937122111,0.866352776744713,4.45490590217322,9.28893722152315e-05,0.000681486460059344,1.33680991456389
virus_comp_152_cycle_1_7,0.111546928357524,0.737912394653439,4.45623938971151,9.25318738147357e-05,0.000681486460059344,1.33676803809479
edge_1847_22,0.0873730519472165,0.415999502379554,4.78164278129126,0.000105270021600893,0.000732207321063863,1.33653443954344
virus_comp_17832_cycle_1_2,0.0913835003671843,0.256406999017434,4.34587202860582,8.43969356530656e-05,0.000651903092873276,1.32469453629164
virus_comp_2506_cycle_1_5,0.0792155107543804,0.262667156227042,4.10301173068468,7.44426150905998e-05,0.000595389139904428,1.31558760069264
virus_comp_499_cycle_1_1,0.0681197593081265,0.225606152406125,4.44500355231007,9.0690846245923e-05,0.000676546790029223,1.31090688549755
edge_1468_23,0.0895586075878873,0.314072767156172,4.10049989561693,7.44807596350129e-05,0.000595389139904428,1.2973051980564
edge_1515_2,0.0774413722709949,0.309603658365314,4.22918486513302,8.1879839995998e-05,0.000640136589088713,1.29697873836611
edge_1495_14,0.0946326262105282,0.260635293387511,4.81004377632327,0.00011193059462109,0.000762799344002172,1.29126543607555
virus_comp_6059_cycle_1_4,0.119427917053184,0.81000670831249,4.43839995898785,9.74290040595408e-05,0.000696648775678953,1.2909039292439
virus_comp_7540_cycle_1_4,0.0851543585061699,0.254724691331064,4.13965142493624,7.72171602638671e-05,0.000609781574689811,1.28704302559823
edge_4_20,0.0700217350005539,0.302763982606117,4.09016652814632,7.52262246388968e-05,0.000598898802675046,1.28300540255685
virus_comp_126_cycle_1_182,0.104210405402578,0.423166912870362,4.36558826182799,9.17966039360753e-05,0.000681486460059344,1.267632375421
virus_comp_2063_cycle_1_7,0.0895602669989667,0.542628601851681,4.96459907947464,0.000125947337178001,0.000823058745175527,1.26215165724334
virus_comp_169_cycle_1_4,0.11611852749787,0.766277823871889,4.42317938519548,0.000101808806183592,0.000720961274224024,1.24885711992762
