"orf_id","mean_abundance","prevalence","max_abundance","cv","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","direction","celiac_direction","abundance_class","prevalence_class"
"virus_comp_155_cycle_1_17",17.1045751633987,0.0294117647058824,1625,8.32799804256184,0.0599265516045918,1.52778650079738,3.01955177382947,0.00332747984816208,0.00599497730729081,-2.15452401268119,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_171",138.019607843137,0.0326797385620915,22183,10.6521858398275,0.0512562449874398,1.61357493685922,2.5837432633589,0.0114530094203675,0.0158038323455936,-3.2515955692191,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_173",43.9183006535948,0.0326797385620915,4862,8.91202862238194,0.0533311268776658,1.5826042318043,2.7123968607865,0.00805922792189675,0.0120468958665965,-2.94262117321173,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_174",96.1601307189542,0.0326797385620915,10783,9.08205312212368,0.0528329533508244,1.61459152012343,2.67506797712113,0.00893492523889128,0.0130568717534408,-3.03204219370606,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_175",110.712418300654,0.0359477124183007,15587,9.90369585231388,0.0508871683117165,1.63281692595944,3.14967923351023,0.00188845680303061,0.00384834292203747,-1.68034255811044,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_176",24.9183006535948,0.0326797385620915,3408,8.9701652780358,0.0545448461799018,1.5638719793678,2.79111007782717,0.00646355352863914,0.010125830678078,-2.74754880269384,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_177",25.4934640522876,0.0326797385620915,3995,9.78853655601091,0.0547998782333279,1.56116035791463,2.80915751321972,0.00614105382459334,0.00974067005756557,-2.70192962648986,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_179",164.395424836601,0.0326797385620915,27272,10.1833279022398,0.0538770156199071,1.63961263155027,2.72651320674174,0.00774897480877707,0.0116885796485335,-2.90364422937148,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_18",41.6307189542484,0.042483660130719,3794,8.05302301541927,0.0573856790510978,1.65369288433035,3.43655676611149,0.000709845308384441,0.00183947818163296,-0.795120863559214,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_185",134.316993464052,0.0326797385620915,11868,7.56579574998038,0.0516933693726916,1.64622946573195,2.59773146509281,0.0110297883472055,0.0154073697145789,-3.21554845000198,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_186",74.1830065359477,0.0326797385620915,6126,7.67599041466277,0.0534038222832953,1.61783082009755,2.70894941848111,0.0081366961270717,0.0121458374620322,-2.94879293623969,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_189",76.1993464052288,0.0326797385620915,6157,7.5368741629631,0.0541263629173834,1.62299808877985,2.73939690191344,0.00747535811370518,0.0114054913887826,-2.87336070269374,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_19",19.5555555555556,0.0392156862745098,2377,9.48450800139464,0.0601693297093706,1.55717593109825,3.77717923506386,0.000209313092606813,0.000780035296669682,0.321093068075858,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_190",18.7614379084967,0.0326797385620915,2096,7.93193361457478,0.0543680398522633,1.55853773076449,2.77933947060524,0.00668216354438046,0.0103702174328304,-2.77655074129617,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_191",40.7712418300654,0.0359477124183007,3769,8.20577091800856,0.0502629981069506,1.5960025843482,2.71356749776937,0.00771425002161465,0.0116755895407757,-2.91390862864365,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_192",29.7777777777778,0.0326797385620915,2753,8.4285381161736,0.0543730349589244,1.5634016523366,2.78390222447252,0.00659663126250834,0.010281580129843,-2.76548903254688,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_193",56.0457516339869,0.0326797385620915,5059,7.96342224143197,0.0536117788750219,1.60141670875335,2.72833285654663,0.00770978422845517,0.0116755895407757,-2.90213013685674,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_194",99.3137254901961,0.0326797385620915,10032,7.75149646060284,0.053197803042363,1.63271506113047,2.69314679828873,0.00850055055899662,0.0125992777453745,-2.98658235293923,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_195",92.8692810457516,0.0359477124183007,9468,8.10745293869953,0.0523855925483061,1.65652925865449,3.10650011196513,0.00215416895608747,0.00423751591909809,-1.79834313766583,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
