"","T0.72","T0.66","T0.60","T0.54","T0.48","T0.42","T0.36","T0.30","T0.24","T0.18","T0.12","T0.6","T0"
"virus_comp_169_cycle_1_1",-7.86411161667207,-7.5276722541647,-7.08812016205153,-6.45284226116383,-5.59142233066829,-3.5780979130489,4.850603341955,6.06575632151535,6.83966742585313,7.27840705331516,7.72565979642503,7.82618503295587,8.20373129862116
"virus_comp_17732_cycle_1_1",-7.16615536922967,-6.77499307353217,-6.23662736981755,-5.3680156704153,-6.30434838603871,-6.05314353883977,-4.76848529121726,-3.59896335891655,5.67124096033744,5.59973738482732,6.5991066753416,6.99240414136943,7.36431788242069
"edge_330_30",-5.02366799871303,-4.77226557087913,-4.4676114647153,-4.08091212758969,-3.66303867504025,-3.39853159558257,1.93779597271333,3.22609556328688,3.58103191973074,4.16485570761851,4.73348916341905,5.31572941209421,5.4897971926475
"virus_comp_169_cycle_1_12",-5.66268656726193,-5.35419390756169,-4.96127443987476,-4.41955600193378,-2.25027564266028,-2.10350961897251,2.84922576658736,4.06938357800254,4.71070387830854,5.31017754841167,5.76099245911125,5.74934973492807,6.16687216606363
"virus_comp_152_cycle_1_6",-6.31496021247126,-2.69694322204338,6.10110414275419,7.1474726048273,-7.2876795707949,-7.87836538746978,6.12953938217937,6.02226512814607,7.92488094069986,7.35537629887519,8.45020666976514,8.83882364513434,9.14254695134994
"virus_comp_17797_cycle_1_3",-4.58285744904891,-4.28386275226329,-3.90625560418476,-3.39336066803717,-3.05253067032363,0.296154182047903,2.53642303006166,3.28240240472515,4.19237975184726,4.56271923850425,4.58407492761518,4.73403680209816,4.87735863644737
"edge_263_32",-3.91662093746614,-3.67161301426204,-3.37630922576187,-3.00458197811141,-2.43442135703935,-2.06019336714676,1.80052375846716,2.60875043377257,2.85503106929464,3.32735607937365,3.7981101206472,4.3221863593397,4.48023939255102
"virus_comp_167_cycle_1_2",-7.73572640863167,-6.66575130596253,3.59594692809749,6.95084930932791,-6.80420530600454,-7.51048644669897,6.36984908049904,6.85488040219706,8.35640052474709,8.30219407923517,9.05430995066163,9.15672581980521,9.55105045006001
"virus_comp_2552_cycle_1_1",-7.18893715804649,-6.88220433692196,-6.4921419595026,-5.95586890132928,-5.51411777727859,-3.20883433363614,4.0849976814366,5.38438542776264,6.5519542994324,6.90489375946424,7.05779848191764,7.18696201327648,7.40048421894701
"edge_330_23",-4.45793070534938,-3.65223114633857,-1.66376580817104,3.04193064818534,4.62384906905893,5.18332756797806,6.17917222980954,6.38722772987148,6.42600072794558,6.59714807709593,6.81520618415277,7.21366814350268,7.29253417072338
"virus_comp_400_cycle_3_4",-5.13304536143581,-4.94445547716591,-4.7274523103729,-4.47192919866176,-3.51197292682641,-1.86099807330623,2.73064558927224,3.61729341122022,3.97017703206909,3.9924223911043,4.52555823919673,5.12830526172917,5.24256392860674
"virus_comp_1131_cycle_2_29",-6.83145596209835,-6.5338814803051,-6.15854146270465,-5.64983998005084,-5.28403977736029,-2.93502810510471,3.98802664478689,5.15276408501129,6.16742075994258,6.56337327913841,6.66931569545146,6.85874282713733,7.02918832176318
"virus_comp_138_cycle_1_1",-9.19489614580724,-8.92503260827877,-8.592799818747,-8.16042255911796,-7.66124084206435,-7.1956120675271,-5.15251888799254,5.66142648900033,7.364987699913,7.99903617828254,8.58455738184255,8.82318522529018,9.20433676111555
"virus_comp_2273_cycle_1_2",-4.9627351671778,-4.20590908323711,-2.5173235842523,3.1706023582498,-5.13553109714023,-5.53138402747269,-3.74959657614961,-1.96230988108549,4.80705807083028,5.21111702246321,5.75646332374875,6.21635587948479,6.41185393212886
"virus_comp_18206_cycle_1_8",-7.9546281328296,-7.69129422433962,-7.36891675885458,-6.95312999739533,-6.52596640797277,-6.37268961401962,4.65477899951063,6.13150385758206,6.5008198032313,7.11184506987213,7.73531746568058,8.34599501587931,8.52025192915061
