"","T-69","T-63","T-57","T-51","T-45","T-39","T-33","T-27","T-21","T-15","T-9","T-3"
"virus_comp_2265_cycle_1_9",1707.22177977312,1120.25729485487,728.947638242697,1988.58850430652,2504.05932691785,1514.23927701775,1371.28835934058,403.795507797243,-99.675679107654,-548.983875225716,-310.786837986367,-1083.75552035816
"virus_comp_18178_cycle_1_10",313.523469219118,265.898925419721,234.149229553456,45.7445170113726,-38.1787091064925,-43.033559482122,-114.144440644055,-99.4776895412901,-241.796105289503,-211.148309214191,-194.448463244363,-226.421532086555
"virus_comp_593_cycle_1_28",0.32461341705351,-0.107303308878194,-0.39524779283266,-0.386122185747001,-0.376630183040376,-0.789017979892335,-1.05089617013748,-1.5606102771059,-1.36028977331509,-2.01773053267423,-2.29767689611,-2.65809583650175
"edge_1631_4",9.30965835003952,6.23368439747098,4.18303509575866,5.7340492273861,3.0139960077511,-0.342894192676855,-2.0055228391102,-4.41865712859886,-4.69555904177316,-6.76360368268862,-11.0798210849857,-11.7378018986683
"virus_comp_2343_cycle_1_7",148.527592265719,129.010593029683,115.999260205659,-33.2445314616831,-92.6006486640347,-78.8180024303853,-113.598162114982,-102.357811165351,-162.743332658372,-147.279739090695,-127.436062268238,-147.13553645269
"virus_comp_2269_cycle_1_10",7843.77372664105,6656.93533716786,5865.70974418572,137.269545280921,-1494.11504426528,-1284.80649814854,-2708.44893556165,-3553.03461371204,-6051.81013932488,-5983.77821819922,-3382.01617478491,-5464.80202406353
"virus_comp_593_cycle_1_96",0.0552369292609124,-0.392768056877303,-0.691438047636117,-0.518629809412659,-0.41352762883818,-0.860660957185495,-1.1091872218859,-1.68219243993501,-1.40452847584944,-2.14253263628751,-2.40362251881951,-2.79809838580493
"virus_comp_391_cycle_1_1",219.990258145892,187.030771238152,165.057779966324,28.1614488819587,-32.8545588578851,-34.4860016517503,-84.9698286409233,-72.0448613055952,-173.72655361,-150.699950414642,-140.382610057475,-161.62990805101
"virus_comp_645_cycle_1_8",0.00735729173321176,-0.434927427539516,-0.729783907054671,-0.52628359505771,-0.407984428110533,-0.845822567459847,-1.08547649892197,-1.66210000745728,-1.37444932748251,-2.10929329807978,-2.3562401634628,-2.74840290413598
"virus_comp_317_cycle_1_4",-6.43043237564611,-20.8202179642246,-30.4134083566103,22.3583784527229,33.4478191529301,-3.74569491182869,-4.52801647619989,-30.8169583683259,-43.6275064658769,-51.1504514892673,-66.0204025975814,-76.1513563296806
"virus_comp_285_cycle_1_1",4.38211415008767,3.57845517104241,3.04268251834557,1.67232331394953,0.755415325754943,0.266245332186907,-0.525278103796656,-0.648826879693944,-1.82597362017413,-1.98225902643817,-2.39918311856782,-2.82565866255945
"virus_comp_169_cycle_1_2",27.3815502943389,49.271877303496,63.8654286429341,81.8585575338791,85.9463923712877,138.09083708933,148.875986026628,141.120585633203,164.61594833296,189.133930132296,175.380314986468,214.651866571535
"virus_comp_593_cycle_1_95",0.0830390377709365,-0.349197372703377,-0.637354979686248,-0.502152942437041,-0.406047546531648,-0.836813151972023,-1.0812886650697,-1.61314490258387,-1.35849991802075,-2.07383386919371,-2.35294650889152,-2.73132238517333
"virus_comp_2473_cycle_1_6",1102.51347388757,940.781337837998,832.959913804946,156.277956202426,-126.949229356176,-137.553569317811,-386.946754250043,-336.89632796778,-848.586131604608,-733.085344145585,-636.153170204654,-759.694797178964
"virus_comp_593_cycle_1_69",97.3633933107818,83.9452941259945,74.9998946694697,59.8920151508914,46.5364065400353,40.0373956529221,32.102858436142,20.9110200393029,16.9185212180909,7.50765204077092,0.0397161192304414,-8.57117407623531
"virus_comp_12035_cycle_1_1",330.089502477058,271.111707246942,231.793177093532,232.11434080152,218.268192166199,165.893514833198,130.009215645338,98.0152517023176,63.5607925221071,8.90167581176838,-44.7908880425728,-87.2891494027467
"virus_comp_289_cycle_1_1",288.083679834898,254.61497283338,232.302501499035,-99.9188970681131,-231.83775751572,-193.427499539999,-266.01756310909,-229.197684346841,-357.802850974976,-315.322456210565,-275.426664782761,-307.10639045586
"virus_comp_358_cycle_1_6",399.38099255073,335.844863054586,293.487443390488,66.6058978828231,-36.1731418722779,-48.8192365757321,-138.517364600182,-128.328302860679,-305.114371591364,-271.046186917269,-247.367826244322,-292.27314743445
"virus_comp_36_cycle_2_46",-1.02807145538544,-0.897655616922349,-0.810711724613623,-0.465132583594404,-0.373289772834202,-0.30981289613406,-0.180248784292099,-0.122198059865004,0.0746429616067771,0.137452912973845,0.0567122498396808,0.200528647697361
"virus_comp_2375_cycle_1_4",2337.27794896783,1878.36607409769,1572.42482418426,254.456772305862,-132.165954639922,-206.864079501405,-636.853404353119,-974.209870852448,-1740.6788281571,-1835.85754488758,-1157.410046396,-1849.61151224335
"virus_comp_2477_cycle_1_2",151.569176140293,205.468375407259,241.401174918569,11.3156668947476,-81.6044338483729,-69.2140603241791,-91.1160027787439,25.5565452780077,-15.0714887883332,65.8585963025659,29.0456503962886,98.6874437707475
"edge_959_24",-124.710357769825,-118.044166703458,-113.600039325881,-97.0898934779275,-78.3861527283129,-78.292878782464,-71.2558763281691,-89.2940643878065,-109.845329271694,-87.5748806584532,-18.3956791116104,-35.7154636719072
"virus_comp_2475_cycle_5_11",153.628116253928,208.353512434762,244.837109888651,12.1643914177833,-81.8244018666008,-69.0308172960927,-91.1131305194373,27.5281938473372,-13.6987801593197,68.4197048791496,31.2281936761999,101.845724319322
"virus_comp_12035_cycle_1_2",96.8590557486469,81.0479086881395,70.5071439811346,71.3362197438104,69.4172405821775,56.8391237328333,47.1990687764331,42.0083176921272,37.0913111677679,17.7306681706921,-2.06547212929722,-13.4920142815848
"virus_comp_2394_cycle_1_5",-212.999578475178,-1030.16797070339,-1574.94689885554,-350.011088081418,136.016299614129,-679.586858160017,-979.025637960005,-2098.37797473051,-1630.76661704993,-2936.09851083322,-3415.6825712795,-4120.74563470384
"virus_comp_593_cycle_1_118",-1.09946307527702,-1.65740402120414,-2.02936465182222,-1.51884056720899,-1.12581859079514,-1.72822488936086,-2.00591949660548,-2.82728916463691,-2.19966589249701,-3.36386090270466,-3.66389581149365,-4.21276000118897
"virus_comp_2475_cycle_5_12",165.077605014939,218.775087310148,254.573408840287,21.51126531538,-78.2590114618008,-61.115501119302,-84.8871244577914,43.2167207159129,-3.34993296241464,81.7235344599282,35.3650677832257,110.221808947662
"virus_comp_317_cycle_1_3",41.3443027361684,37.0887014902599,34.2516339929876,24.5746241979898,24.7247027044565,24.7055628745269,20.1729278560759,29.9115488356955,24.5022271149523,15.5845701136352,-0.767182329088584,-4.47926328761683
"virus_comp_2475_cycle_5_10",74.5449951788758,133.444639142795,172.711068452076,7.23314509055329,-55.8762872536944,-34.5952684656075,-42.028531040062,62.0231456985271,40.8522339354765,116.699440539003,91.8117529376142,162.135458686868
"edge_1627_29",3.11661417036309,3.32808302289418,3.46906225791493,1.01585204997229,-0.256475653001315,-0.276897998556632,-0.602988433642534,0.500215764522042,0.177141957293444,0.629350451882388,-0.2025572933532,0.315407019957103
"virus_comp_2343_cycle_1_4",449.636016217379,384.407905501366,340.922498357357,-42.0011870194323,-173.059570088759,-149.044360894389,-242.208567768669,-255.370686260705,-418.159519806485,-395.671410485485,-284.108910212421,-378.664622912425
"virus_comp_2477_cycle_1_3",81.9652868300856,140.755029325149,179.948190988526,8.93856988257443,-56.7130376960498,-35.7960014417559,-44.3799400472175,61.6552637212197,38.5687257693359,115.270976084362,89.5404934069464,160.021224155666
"virus_comp_2475_cycle_5_4",813.955751223249,822.465197427224,828.138161563211,-37.8748108775104,-387.746266225643,-512.712942971114,-666.994988057416,-528.007520493883,-707.709342729531,-603.437910436188,-708.006585277818,-669.913497174851
"virus_comp_250_cycle_1_257",-140.889583293672,-133.436823559922,-128.468317070757,-94.9203125401931,-71.7196181260539,-73.7460774423234,-63.8194523013429,-82.1210865631496,-97.465783151416,-77.0685220403254,-14.1905662595971,-28.5136563638026
"edge_263_1",1.29313076000881,1.04938158321544,0.886882132019864,0.662513192906462,0.646718458430221,0.560749012619674,0.376061442921304,0.195517847929557,0.0563599299695918,-0.213809035550632,-0.380928436838414,-0.568646522712165
"virus_comp_2394_cycle_1_3",-32.8224741983214,-32.9087361195639,-32.9662440670588,-26.4984120745408,-18.2129746386522,-19.2622414494336,-17.7210232069456,-21.3986916220665,-18.9209524154501,-23.9497650014512,-24.575792272811,-27.2223146677248
"edge_1990_1",-1.73834089263203,-0.699181086777201,-0.00640788287398175,-4.02684615452217,-5.71769233925605,-3.5580828401656,-3.51443699240988,-1.86687362984233,-1.77460147837446,-0.341192630818147,-0.630697878308239,0.765349244380566
"edge_1989_50",-1.96876180783939,-0.654075629042715,0.222381823488397,-5.3653302156701,-7.74698693823697,-4.917702153117,-4.93102642290262,-2.80694472091043,-2.78411434184408,-0.87291045570789,-1.31896993988625,0.502468991526557
"virus_comp_5225_cycle_1_2",-120.907627040952,-123.835034191771,-125.786638958983,-128.561259067463,-117.276208219341,-117.682004759264,-122.92186374239,-131.005894764905,-100.299056637344,-128.600410828511,-141.647209115533,-141.930868416071
"virus_comp_648_cycle_1_7",13.7713941661192,12.0599781325412,10.9190341101559,9.95168514201527,7.93971807111718,6.38273605840185,5.45630837147326,3.70367668844617,3.75311678919823,2.61117536512623,1.11846753884571,0.44312227780587
