	family	subfamily	genus	species	sample-1_1093_6313	sample-1_10_102032	sample-1_11_101626	sample-1_12_101623	sample-1_13_99291	sample-1_15_98423	sample-1_16_98401	sample-1_17_96846	sample-1_18_96565	sample-1_1971_3823	sample-1_19_96211	sample-1_1_194036	sample-1_2023_3705	sample-1_2087_3578	sample-1_20_95736	sample-1_21_95604	sample-1_22_93708	sample-1_2370_3154	sample-1_23_92914	sample-1_241_22966	sample-1_2468_3000	sample-1_2475_2996	sample-1_2496_2968	sample-1_24_92306	sample-1_2557_2904	sample-1_273_20403	sample-1_2809_2618	sample-1_2895_2535	sample-1_2_180874	sample-1_309_18290	sample-1_30_80291	sample-1_3125_2250	sample-1_3157_2206	sample-1_3406_1938	sample-1_3423_1921	sample-1_347_16656	sample-1_352_16508	sample-1_3596_1751	sample-1_3635_1721	sample-1_3643_1714	sample-1_3684_1680	sample-1_3983_1483	sample-1_3_171347	sample-1_4061_1441	sample-1_41_65330	sample-1_4226_1355	sample-1_4390_1275	sample-1_4409_1266	sample-1_4411_1265	sample-1_4677_1147	sample-1_4798_1110	sample-1_4954_1063	sample-1_4981_1057	sample-1_4_157545	sample-1_516_11797	sample-1_5191_1012	sample-1_5_155540	sample-1_6_155389	sample-1_7_152939	sample-1_9_104613
OGOI01000071	Suoliviridae	Loutivirinae	Buchavirus	Buchavirus intestinalis	0.167	0.491	0.297	0.829	0.548	0.053	0.33	0.067	0.582	0.0	0.078	0.066	0.5	0.833	0.333	0.346	0.35	0.167	0.088	0.111	0.5	0.0	0.8	0.023	0.5	0.318	0.0	0.4	0.036	0.24	0.076	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.026	0.02	0.537
OGOL01000109	Intestiviridae	Churivirinae	Jahgtovirus	Jahgtovirus intestinalis	0.167	0.129	0.078	0.057	0.077	0.044	0.057	0.865	0.071	0.0	0.13	0.652	0.25	0.167	0.057	0.075	0.06	0.167	0.077	0.704	0.5	0.0	0.2	0.023	0.5	0.273	0.0	0.0	0.018	0.08	0.619	0.0	1.0	1.0	0.25	0.05	0.35	0.0	0.5	0.333	1.0	0.0	0.022	1.0	0.0	1.0	1.0	0.5	1.0	1.0	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
OGOO01000044	Epsilon	Epsilon	Epsilon_1	Epsilon_1_11	0.0	0.026	0.016	0.019	0.01	0.009	0.009	0.011	0.02	0.0	0.0	0.007	0.0	0.0	0.01	0.009	0.01	0.0	0.0	0.0	0.5	0.0	0.0	0.692	0.5	0.0	0.0	0.0	0.0	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.338	0.0	0.0	0.348	0.351	0.358	0.028
OGOO01000132	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.739	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
OGOQ01000098	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.266	0.314	0.308	0.062	0.302	0.079	0.337	0.0	0.07	0.066	0.5	0.5	0.305	0.318	0.32	0.167	0.11	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.036	0.56	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.105	1.0	0.018	0.021	0.02	0.315
OGOT01000012	Zeta	Zeta	Zeta_2	Zeta_2_3	1.0	0.086	0.078	0.057	0.058	0.115	0.047	0.09	0.071	0.286	0.061	0.053	0.0	0.0	0.048	0.047	0.05	0.167	0.099	0.037	0.5	0.0	0.0	0.0	0.5	0.091	0.0	0.2	0.518	0.0	0.057	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.246	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.009	0.053	0.0	0.009	0.005	0.01	0.065
OGPL01000016	Zeta	Zeta	Zeta_15	Zeta_15_1	0.667	0.095	0.094	0.076	0.106	0.106	0.066	0.056	0.071	0.143	0.078	0.043	0.0	0.167	0.086	0.065	0.06	0.167	0.088	0.037	0.5	0.0	0.0	0.008	0.5	0.091	0.0	0.2	0.232	0.04	0.057	0.0	0.0	1.0	0.25	0.05	0.0	0.0	0.5	0.0	0.5	0.0	0.368	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.009	0.105	0.0	0.009	0.005	0.01	0.074
OGPN01000023	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.07	0.048	0.077	0.062	0.057	0.337	0.071	0.0	0.122	0.258	0.25	0.167	0.057	0.075	0.06	0.0	0.055	0.222	0.0	0.0	0.2	0.03	0.0	0.136	0.0	0.2	0.027	0.08	0.295	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
OGPX01000023	Suoliviridae	Bearivirinae	Afonbuvirus	Afonbuvirus intestinihominis/faecalis	0.167	0.353	0.336	0.333	0.327	0.062	0.349	0.101	0.337	0.0	0.087	0.073	0.5	0.667	0.352	0.374	0.37	0.167	0.11	0.111	0.5	0.0	0.6	0.03	0.5	0.682	0.0	0.2	0.031	0.28	0.086	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.026	0.02	0.324
OGPX01000026	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.315	0.071	0.0	0.122	0.252	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
OGPZ01000054	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.315	0.082	0.0	0.122	0.252	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
OGPZ01000072	Crevaviridae	Doltivirinae	Kingevirus	Kingevirus communis	0.167	0.095	0.062	0.038	0.067	0.062	0.047	0.146	0.071	0.0	0.243	0.116	0.25	0.167	0.048	0.065	0.05	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.227	0.0	0.0	0.027	0.08	0.152	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
OGQH01000028	Zeta	Zeta	Zeta_1	Zeta_1_2	1.0	0.078	0.055	0.086	0.058	0.159	0.066	0.034	0.061	0.0	0.07	0.023	0.0	0.0	0.067	0.075	0.07	0.167	0.099	0.037	0.5	0.0	0.0	0.0	0.5	0.091	0.0	0.4	0.357	0.0	0.029	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.206	0.0	0.011	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.028	0.053	0.0	0.023	0.031	0.025	0.056
OGQI01000045	Intestiviridae	Crudevirinae	Diorhovirus	Diorhovirus copri	0.0	0.103	0.055	0.048	0.087	0.053	0.085	0.337	0.082	0.0	0.13	0.281	0.25	0.167	0.086	0.093	0.08	0.0	0.077	0.259	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.027	0.08	0.333	0.0	1.0	0.0	0.25	0.1	0.7	0.167	0.0	0.333	0.5	0.0	0.044	1.0	0.023	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.074
OGQQ01000082	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.315	0.082	0.0	0.122	0.252	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
OGQX01000099	Steigviridae	Asinivirinae	Kahnovirus	Kahnovirus copri	0.167	0.147	0.07	0.095	0.106	0.531	0.057	0.067	0.082	0.0	0.061	0.053	0.25	0.333	0.057	0.075	0.06	0.833	0.429	0.111	0.5	0.0	0.2	0.008	0.5	0.273	1.0	0.2	0.054	0.12	0.048	0.0	1.0	1.0	0.5	0.65	0.1	0.0	0.5	0.333	1.0	0.0	0.044	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.005	0.579	1.0	0.005	0.005	0.005	0.074
OGRD01000043	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.739	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
OGRG01000096	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.315	0.082	0.0	0.122	0.252	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
OGRK01000094	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.353	0.273	0.324	0.327	0.062	0.302	0.079	0.327	0.0	0.078	0.066	0.5	0.667	0.305	0.327	0.32	0.167	0.11	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.036	0.56	0.076	0.0	1.0	1.0	1.0	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.021	0.02	0.315
OGRL01000078	Intestiviridae	Crudevirinae	Diorhovirus	Diorhovirus copri	0.0	0.103	0.055	0.048	0.087	0.053	0.085	0.326	0.082	0.0	0.13	0.272	0.25	0.167	0.086	0.093	0.08	0.0	0.055	0.259	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.027	0.08	0.314	0.0	1.0	0.0	0.25	0.1	0.75	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.023	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.074
OGSS01000127	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.315	0.071	0.0	0.122	0.248	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
OGTB01000008	Zeta	Zeta	Zeta_3	Zeta_3_1	1.0	0.078	0.055	0.067	0.058	0.115	0.057	0.045	0.061	0.143	0.07	0.026	0.0	0.0	0.048	0.056	0.06	0.167	0.11	0.037	0.5	0.0	0.0	0.0	0.5	0.091	0.333	0.4	0.938	0.0	0.029	0.0	0.0	1.0	0.0	0.05	0.0	0.0	0.5	0.0	0.5	0.0	0.228	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.014	0.053	0.0	0.014	0.016	0.015	0.046
OGTB01000054	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.371	0.281	0.333	0.337	0.071	0.302	0.101	0.347	0.0	0.07	0.073	0.5	0.667	0.305	0.327	0.32	0.167	0.132	0.111	0.5	0.0	0.6	0.023	0.5	0.364	0.333	0.2	0.031	0.52	0.086	0.0	1.0	1.0	1.0	0.2	0.1	0.0	1.0	0.667	1.0	0.0	0.022	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.023	0.158	1.0	0.023	0.026	0.025	0.333
OGTL01000065	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.739	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
OGUN01000050	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.258	0.305	0.308	0.062	0.302	0.079	0.337	0.0	0.078	0.066	0.5	0.5	0.305	0.318	0.32	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.56	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.105	1.0	0.018	0.021	0.02	0.315
OGWT01000016	Suoliviridae	Loutivirinae	Buchavirus	Buchavirus hiberniae	0.167	0.595	0.32	0.638	0.567	0.062	0.34	0.135	0.622	0.0	0.078	0.106	0.5	0.667	0.343	0.364	0.36	0.167	0.099	0.148	0.5	0.0	0.8	0.023	0.5	0.409	0.0	0.6	0.022	0.28	0.124	0.0	1.0	1.0	0.5	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.018	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.105	1.0	0.014	0.021	0.015	0.574
OGXF01000053	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	0.167	0.414	0.422	0.362	0.51	0.062	0.934	0.067	0.378	0.0	0.07	0.07	0.5	0.667	0.914	0.916	0.93	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.409	0.0	0.4	0.027	0.28	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	0.5	1.0	1.0	0.0	0.022	1.0	0.023	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.021	0.015	0.389
OGXI01000029	Suoliviridae	Boorivirinae	Canhaevirus	Canhaevirus hiberniae	0.167	0.328	0.258	0.295	0.288	0.062	0.283	0.067	0.296	0.0	0.07	0.063	0.5	0.833	0.286	0.308	0.3	0.167	0.11	0.111	0.5	0.0	0.8	0.015	0.5	0.364	0.333	0.2	0.018	0.56	0.076	0.0	1.0	1.0	1.0	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.021	0.02	0.278
OGXT01000133	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.704	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
OGXX01000055	Suoliviridae	Boorivirinae	Canhaevirus	Canhaevirus hiberniae	0.167	0.328	0.25	0.276	0.269	0.062	0.283	0.067	0.296	0.0	0.07	0.063	0.5	0.667	0.286	0.299	0.3	0.167	0.099	0.111	0.5	0.0	0.8	0.015	0.5	0.364	0.333	0.2	0.018	0.56	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.013	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.105	1.0	0.018	0.021	0.02	0.269
OGYC01000074	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.258	0.305	0.308	0.062	0.302	0.079	0.337	0.0	0.078	0.066	0.5	0.5	0.305	0.318	0.32	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.56	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.037	0.105	1.0	0.032	0.026	0.035	0.315
OGYG01000098	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	0.167	0.414	0.422	0.362	0.519	0.062	0.915	0.067	0.378	0.0	0.07	0.07	0.5	0.667	0.895	0.916	0.9	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.409	0.0	0.4	0.027	0.28	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	0.5	1.0	1.0	0.0	0.018	1.0	0.034	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.021	0.015	0.38
OGYM01000002	Zeta	Zeta	Zeta_11	Zeta_11_1	0.667	0.103	0.055	0.038	0.058	0.15	0.047	0.067	0.051	0.286	0.052	0.033	0.0	0.0	0.048	0.056	0.05	0.167	0.132	0.037	0.5	0.0	0.0	0.0	0.5	0.182	0.0	0.0	0.192	0.04	0.048	0.0	0.0	1.0	0.0	0.05	0.0	0.0	0.5	0.0	0.5	0.0	0.474	0.0	0.034	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.005	0.053	0.0	0.005	0.0	0.005	0.046
OGZA01000030	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.258	0.305	0.308	0.062	0.302	0.079	0.337	0.0	0.078	0.066	0.5	0.5	0.305	0.318	0.32	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.56	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.105	1.0	0.018	0.021	0.02	0.315
OGZA01000036	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.315	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
OGZB01000001	Epsilon	Epsilon	Epsilon_1	Epsilon_1_5	0.0	0.026	0.031	0.019	0.019	0.009	0.009	0.034	0.02	0.0	0.0	0.013	0.0	0.0	0.01	0.009	0.01	0.0	0.022	0.0	0.5	0.0	0.0	0.699	0.5	0.0	0.0	0.0	0.0	0.04	0.01	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.347	0.0	0.0	0.348	0.351	0.353	0.028
OGZD01000102	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	0.167	0.405	0.422	0.362	0.519	0.071	0.925	0.09	0.357	0.0	0.07	0.076	0.5	0.667	0.886	0.925	0.93	0.167	0.121	0.111	0.5	0.0	0.6	0.023	0.5	0.409	0.0	0.4	0.027	0.28	0.086	0.0	1.0	1.0	0.75	0.15	0.1	0.0	0.5	1.0	1.0	0.0	0.018	1.0	0.034	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.021	0.015	0.38
OGZF01000022	Epsilon	Epsilon	Epsilon_1	Epsilon_1_3	0.0	0.026	0.016	0.019	0.01	0.0	0.009	0.011	0.02	0.0	0.0	0.007	0.0	0.0	0.01	0.009	0.01	0.0	0.0	0.0	0.5	0.0	0.0	0.699	0.5	0.0	0.0	0.0	0.0	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.356	0.0	0.0	0.344	0.361	0.353	0.028
OGZF01000025	Epsilon	Epsilon	Epsilon_2	Epsilon_2_5	0.0	0.06	0.023	0.038	0.019	0.009	0.028	0.011	0.041	0.0	0.009	0.023	0.0	0.0	0.029	0.037	0.03	0.0	0.011	0.037	0.0	0.0	0.0	0.301	0.0	0.045	0.0	0.0	0.009	0.08	0.019	0.0	1.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.5	0.0	0.013	0.0	0.0	1.0	0.0	0.5	1.0	0.0	0.0	0.5	0.0	0.801	0.105	0.0	0.738	0.832	0.811	0.056
OHAB01000087	Suoliviridae	Bearivirinae	Afonbuvirus	Afonbuvirus intestinihominis/faecalis	0.167	0.371	0.328	0.352	0.308	0.053	0.349	0.079	0.357	0.0	0.078	0.066	0.5	0.667	0.352	0.374	0.37	0.167	0.088	0.111	0.5	0.0	0.6	0.023	0.5	0.773	0.0	0.0	0.022	0.28	0.076	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.021	0.02	0.343
OHAD01000101	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.258	0.305	0.308	0.062	0.302	0.079	0.337	0.0	0.078	0.066	0.5	0.5	0.305	0.318	0.32	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.52	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.037	0.105	1.0	0.032	0.026	0.035	0.315
OHAF01000067	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.303	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
OHAT01000070	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.303	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
OHAU01000141	Suoliviridae	Loutivirinae	Buchavirus	Buchavirus hiberniae	0.167	0.569	0.289	0.6	0.529	0.062	0.33	0.112	0.602	0.0	0.078	0.126	0.5	0.667	0.333	0.336	0.35	0.167	0.088	0.148	0.5	0.0	0.8	0.015	0.5	0.409	0.333	0.6	0.027	0.28	0.133	0.0	1.0	1.0	0.5	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.105	1.0	0.014	0.021	0.015	0.546
OHAY01000006	Zeta	Zeta	Zeta_9	Zeta_9_1	0.5	0.078	0.086	0.076	0.087	0.133	0.028	0.067	0.061	0.286	0.061	0.046	0.0	0.167	0.029	0.037	0.03	0.0	0.11	0.0	0.0	0.0	0.0	0.023	0.0	0.045	0.0	0.2	0.205	0.08	0.076	0.0	0.0	0.0	0.25	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.846	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.053	0.0	0.032	0.016	0.015	0.074
OHBE01000017	Epsilon	Epsilon	Epsilon_1	Epsilon_1_3	0.0	0.026	0.016	0.019	0.01	0.0	0.009	0.011	0.02	0.0	0.0	0.007	0.0	0.0	0.01	0.009	0.01	0.0	0.0	0.0	0.5	0.0	0.0	0.692	0.5	0.0	0.0	0.0	0.0	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.338	0.0	0.0	0.344	0.356	0.348	0.028
OHBE01000089	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.07	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.739	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
