"contig_id","contrast","onset_timeline_combined","estimate","SE","df","z.ratio","p.value","odds_ratio","conf.low.OR","conf.high.OR","p.adj"
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-30",-9.76328974522828,NA,Inf,NA,NA,5.75250676962974e-05,NA,NA,NA
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-36",-132.668861348482,NA,Inf,NA,NA,2.41349051268041e-58,NA,NA,NA
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-over42",11.4163413193829,NA,Inf,NA,NA,90793.3495788094,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0",46.5784667337075,NA,Inf,NA,NA,1.6934449292083e+20,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-6",10.6871429386409,NA,Inf,NA,NA,43789.2196185942,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-12",-50.0743461407117,NA,Inf,NA,NA,1.79055549687213e-22,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-18",-20.7893882365523,NA,Inf,NA,NA,9.3601628925485e-10,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-24",-64.1614192026157,NA,Inf,NA,NA,1.36473927247642e-28,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-30",-4.27343878315185,NA,Inf,NA,NA,0.0139337854072169,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-36",97.8728811291598,NA,Inf,NA,NA,3.20370266402645e+42,NA,NA,NA
"virus_comp_1068_cycle_1","CELIAC - CONTROL","t0-over42",70.5808251622794,NA,Inf,NA,NA,4.49637884832115e+30,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0",1.20497225360747,NA,Inf,NA,NA,3.33666649632466,NA,NA,NA
"virus_comp_1069_cycle_1","CELIAC - CONTROL","t0-6",-14.8595384360822,NA,Inf,NA,NA,3.5203387292336e-07,NA,NA,NA
