"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj","OR"
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.530462231132104,5.35955364505612,-0.0989750763333481,0.921158059124406,-11.0349943486525,9.97406988638826,0.999993904043189,NA
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",5.21083992133781,2.87718556319188,1.81108927696586,0.0701270331336714,-0.428340159356875,10.8500200020325,0.0935027108448953,NA
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",5.59712027123555,7.48487362765883,0.747790884611936,0.454586301155875,-9.07296246780942,20.2672030102805,0.945149993220193,NA
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",5.76301632336772,3.78050736933102,1.52440288044923,0.127408101005548,-1.64664196380933,13.1726746105448,0.339754936014796,NA
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",1.43077133399496,6.28712883072942,0.227571499251266,0.819979378899397,-10.8917747403981,13.753317408388,0.999934249453664,NA
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",2.69295352464143,3.75486080036987,0.717191306899091,0.473256062449324,-4.66643841104475,10.0523454603276,0.819217186974376,NA
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",0.412306781356084,2.37047489527548,0.173934253502469,0.861917132510864,-4.23373863964021,5.05835220235238,0.999991800234522,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"(Intercept)",-4.61089650461252,1.83280552097061,-2.51575873809607,0.0118776458943115,-8.20312931638108,-1.01866369284396,0.0624224080882976,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",-1.24377956929373,1.4542871273341,-0.855250346314857,0.392412569611831,-4.09412996204878,1.60657082346133,0.897141310429395,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",-19.0394550621958,23902.9690049179,-0.000796530968946933,0.99936446030488,-46867.9978282784,46829.918918154,0.99936446030488,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-23.1067447933226,76663.9583474131,-0.000301402970723364,0.999759515226721,-150281.704018002,150235.490528415,0.999759515226721,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",1.40191820355136,1.28374073575197,1.09205711442206,0.274807997809054,-1.11416740400946,3.91800381111217,0.999989488589519,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",1.08484736780747,1.09886124789219,0.9872469066394,0.323521611729122,-1.06888110206795,3.2385758376829,0.647043223458243,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-0.166325258773817,1.36656793988975,-0.121710201094894,0.903128533999933,-2.84474920338482,2.51209868583719,0.999862345843037,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",0.965043062591551,1.09083566949463,0.884682349119222,0.376327978168511,-1.17295556266957,3.10304168785267,0.602124765069618,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",0.720621195732361,1.15353201512309,0.624708448733834,0.532162427021514,-1.54026000892281,2.98150240038754,0.709549902695352,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"SexMale",-0.897585250680196,0.952884323981452,-0.941966645993084,0.34620971670119,-2.76520420711664,0.970033705756246,0.936200741372379,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.223106321059656,0.153731405488434,1.45127354004736,0.146703706200418,-0.0782016969903971,0.524414339109709,0.672004085087241,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",1.81050894786532,0.811108080366343,2.23214265976439,0.0256055357250641,0.220766322777863,3.40025157295277,0.204844285800513,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",-2.77932098337757,4.24273422755368,-0.655077795193432,0.512417667619026,-11.0949272653581,5.536285298603,0.99501547131841,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",-0.657609684692835,1.01538043510267,-0.647648567924534,0.517212276697125,-2.64771876810068,1.33249939871501,0.983835508340325,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",0.0303550781144549,0.83112116770273,0.03652304777456,0.970865301500554,-1.59861247737177,1.65932263360068,0.970865301500554,NA
"virus_comp_17776_cycle_1","fixed","cond",NA,"Delivery.ModeC-Section",2.61978032803197,3.63133640154235,0.721436969298483,0.470640707772182,-4.49750823474031,9.73706889080426,0.73164901453653,NA
