OCPX01000081	OCPX01000081,OJSE01000155,3300008737_____Ga0113999_100109,OLWC01000027,ERR844035_ms_1,OAUH01000043,3300014919_____Ga0169798_100120,OGOQ01000098,3300008497_____Ga0111011_100059,OLPS01000138,OKRW01000057,Long_crAss_ms_15,OHAD01000101,3300008520_____Ga0111044_100220,OICB01000025,OGTB01000054,ERR844030_ms_1,OBJQ01000077,OGUN01000050,ERR589534_NODE_206_length_99607_cov_6.90286,OBZD01000096,OGRK01000094,OJMH01000169,SRS143876_NODE_156_length_99405_cov_8.65265,OLRV01000041,ERR589548_NODE_125_length_99181_cov_12.0749,ERR589531_NODE_143_length_100354_cov_37.9907,OLGN01000078,ERR589746_NODE_110_length_100335_cov_36.0815,E11_NODE_1_length_96694_cov_1258.521291,G3_WGS_contig_51_2_length_97737_read_count_6388982,3300008103_____Ga0114180_100183,E12_NODE_1_length_99984_cov_69.391838,MZ130475_1_99984,OLQL01000074,EM245_T3_ms_3,ERR589544_NODE_118_length_99073_cov_42.2977,OGYC01000074,QWCY01000259,OGZA01000030,3300014921_____Ga0169822_100099,sample-1_3157_2206
MT774388_1_102301	MT774388_1_102301,sample-1_5191_1012
OLPB01000025	OLPB01000025,QWCY01000236,OLOK01000029,OLQG01000044,MZ130482_1_99704,NG-16262_31_lib261986_NODE_2_length_99704_cov_87.7682,OFMV01000048,ERR589817_NODE_85_length_101984_cov_21.9381
NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91,MZ130496_1_102100,MT774403_1_98557,MT774399_1_99168
ERR589843_NODE_134_length_102073_cov_9.78706	ERR589843_NODE_134_length_102073_cov_9.78706,OGXX01000055,3300008101_____Ga0114024_100210,ERR589535_NODE_102_length_100207_cov_5.55539,3300007210_____Ga0103359_100138,ERR589742_NODE_186_length_98834_cov_12.9141,MT774382_1_99985,ERR589503_NODE_243_length_99288_cov_256.502,OLGF01000091,A1_NODE_2_length_99974_cov_261.284550,OLOZ01000092,OGXI01000029,Long_crAss_ms_1
NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006,sample-1_15_98423,OLPO01000063,ERR844065_ms_1,MT774391_1_99212
MT774378_1_101662	MT774378_1_101662
sample-1_11_101626	sample-1_11_101626,sample-1_3643_1714,sample-1_4954_1063
sample-1_12_101623	sample-1_12_101623
ERR589851_NODE_110_length_101537_cov_76.3839	ERR589851_NODE_110_length_101537_cov_76.3839,OGCO01000213,ERR589736_NODE_224_length_101034_cov_15.6328,MT774390_1_98164,ERR844029_ms_3,ERR589797_NODE_176_length_100385_cov_85.2729,OIWT01000163,ERR589836_NODE_124_length_100491_cov_5.94573,OIXG01000120,OFMQ01000046
MT774406_1_101532	MT774406_1_101532
MT774385_1_101437	MT774385_1_101437
MN019_S19_74	MN019_S19_74,Monaco_MBA4038_NODE_5_length_99783_cov_26.247343,CS_crAss_ms_9,MZ130483_1_93564,OIWS01000145,OJPC01000037,OGQX01000099,OLVR01000187,3300014547_____Ga0134415_100047
3300007714_____Ga0105661_1000061	3300007714_____Ga0105661_1000061,OLQO01000079,OGZD01000102,ERR844047_ms_3,3300008716_____Ga0113874_100156,OIRC01000027,OLSC01000138,OLYB01000074,3300007991_____Ga0105643_100224,OLZQ01000035,OLRO01000069,sample-1_21_95604,sample-1_20_95736,sample-1_22_93708,sample-1_16_98401,OOAG01000060,ERR589818_NODE_123_length_100672_cov_68.5318,OGYG01000098,ERR589530_NODE_123_length_101106_cov_84.032,OGXF01000053,ERR589750_NODE_144_length_100756_cov_12.0751,ERR589503_NODE_236_length_100385_cov_32.3335,MZ130500_1_98182,Sib2_ms_1,Zuo_N1_NODE_2_length_100997_cov_2297.472945,ERR589848_NODE_158_length_99263_cov_37.5295,3300008360_____Ga0114875_1000146
MT774396_1_101153	MT774396_1_101153,sample-1_18_96565,ERR844016_ms_1,sample-1_2496_2968
NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63,MZ130495_1_101130,sample-1_2557_2904
MT774389_1_101082	MT774389_1_101082
MZ130477_1_100971	MZ130477_1_100971,OLPO01000062,OLNW01000116
MZ130493_1_100650	MZ130493_1_100650,F4_NODE_1_length_100650_cov_839.811104,OGOI01000071,OJPW01000082,ERR844077_ms_2
OLNQ01000088	OLNQ01000088,3300013752_____Ga0117817_1000004,OLGL01000107,SRS050752_NODE_138_length_97080_cov_254.851,OIZB01000074,OLSB01000088,OBJP01000067,3300014553_____Ga0134451_100057,MZ130499_1_97706,Long_crAss_ms_14,ERR589813_NODE_172_length_99988_cov_9.80768
KC821624_1_100418	KC821624_1_100418
MN037_S1_79	MN037_S1_79,MT774407_1_98095
MZ130478_1_100314	MZ130478_1_100314
MT774398_1_100198	MT774398_1_100198
OLWW01000036	OLWW01000036,3300014538_____Ga0134452_100100,OLNI01000077,MT774404_1_98308
KJ003983_1_99915	KJ003983_1_99915
MT774405_1_99848	MT774405_1_99848
ERR843949_ms_1	ERR843949_ms_1,MT774376_1_98340
OLGJ01000028	OLGJ01000028,OLWB01000065,OJML01000021,OBVI01000054,3300014788_____Ga0134381_1000061,5_lib200737_3,OLOS01000113,OGRG01000096,HvCF_E10_ms_1,3300007705_____Ga0105636_100113,F3T1.2.NODE_1_length_93869_cov_36.327307,HvCF_E5_ms_1,HvCF_A11_ms_1,OLTF01000001,OGPZ01000054,OCRP01000110,OLRW01000060,ERR589821_NODE_65_length_97126_cov_5571.81,OGSS01000127,4_lib200738_4,SRS045739_NODE_78_length_98134_cov_152.188,HvCF_E6_ms_1,OGPX01000026,ERR589548_NODE_133_length_97812_cov_182.454,MN099_S58_106,ERR589443_NODE_109_length_97897_cov_28.0204,CF1_ms_1,ERR843936_ms_1,OLRB01000064,HvCF_D6_ms_5,OKRW01000064,OODH01000049,OMCC01000013,ERR843983_ms_1,OLRG01000090,OGPN01000023,HvCF_F2_ms_2,HvCF_D1_ms_1,SRS053398_NODE_95_length_96600_cov_69.939,OHPM01000044,OKUM01000038,OHAF01000067,NODE_27_length_98043_cov_23.463220,OHXQ01000012,OGQQ01000082,OBCT01000057,OFLY01000041,OCMA01000041,OLYR01000006,OIWV01000054,F2M.1.NODE_1_length_97876_cov_8.385428,3300006257_____Ga0099346_100106,EM195_T0_ms_1,OBXZ01000146,JQ995537_1_97065,F2T1.2.NODE_1_length_97120_cov_58.884747,OBAG01000123,3300006312_____Ga0099626_100158,ERR844045_ms_1,EM210_T0_ms_1,3300013899_____Ga0117808_100015,OFME01000049,17T1_lib200766_3,Long_crAss_ms_2,OFMN01000076,OFSC01000046,3300007298_____Ga0104838_100088,3300008523_____Ga0115231_1000091,OHQM01000028,SRS019030_NODE_87_length_93563_cov_510.146,SRS014683_NODE_81_length_94199_cov_303.827,ERR589774_NODE_217_length_97586_cov_21.2143,ERR844018_ms_1,3300008716_____Ga0113874_100160,OJNH01000048,3300014971_____Ga0134442_1000062,OLSX01000045,OLGO01000101,ERR589773_NODE_178_length_95143_cov_627.55,ERR589786_NODE_135_length_99040_cov_1290.66,OKRV01000014,3300008326_____Ga0115311_100028,ERR589509_NODE_117_length_99450_cov_1258.73,OFRY01000048,ERR589836_NODE_132_length_97990_cov_15.6475,OFMO01000072,HvCF_E8_ms_1,OCHG01000105,OFMP01000048,ERR589737_NODE_227_length_97168_cov_1455.68,ERR589826_NODE_104_length_99479_cov_523.136,ERR589801_NODE_173_length_98624_cov_58.2029,OODC01000039,MN045_S8_84,ERR589750_NODE_148_length_99248_cov_188.387,OFRZ01000076,OKUZ01000024,OAWB01000083,OLZQ01000040,F4T2.1.NODE_1_length_94988_cov_32.078160,OOAW01000092,OAVV01000098,HvCF_D10_ms_2,3300007714_____Ga0105661_1000069,SRR4295172_ms_8,ERR589512_NODE_279_length_97295_cov_607.21,ERR589811_NODE_183_length_95797_cov_1140.66,OLWZ01000040,MN038_S2_110,OGZA01000036,OODN01000068,OHAT01000070,ERR589440_NODE_121_length_98649_cov_14.7648,OODS01000049,ERR589827_NODE_122_length_98326_cov_41.0203,ERR589574_NODE_223_length_98544_cov_57.8223,ERR589557_NODE_190_length_93533_cov_205.404,ERR589813_NODE_178_length_98616_cov_51.5115,ERR589807_NODE_175_length_98624_cov_2094.64,ERR589741_NODE_169_length_97150_cov_107.747
AP017903_1_99517	AP017903_1_99517
MT074136_1_99494	MT074136_1_99494
sample-1_13_99291	sample-1_13_99291
MT774375_1_98826	MT774375_1_98826
MT774410_1_98667	MT774410_1_98667
MZ130491_1_98573	MZ130491_1_98573
MZ130481_1_98001	MZ130481_1_98001,NG-15813_53_lib254058_NODE_2_length_98001_cov_18.457,OJQF01000018,ERR844006_ms_1,OLOF01000050
MT774411_1_97886	MT774411_1_97886
