qname	tname	num_alns	pid	qcov	tcov
sample-1_16_98401	OJRV01000117	11	76.13	15.78	15.11
sample-1_16_98401	3300008725_____Ga0115670_1000139	10	76.12	15.03	14.16
sample-1_16_98401	MZ130498_1_104752	8	76.0	13.75	12.88
sample-1_16_98401	HvCF_E4_ms_4	8	76.0	13.75	12.88
sample-1_16_98401	MT774399_1_99168	8	76.3	13.95	13.88
sample-1_16_98401	OJPW01000082	9	76.03	13.29	12.98
sample-1_16_98401	sample-1_12_101623	9	76.13	13.43	12.99
sample-1_16_98401	F4_NODE_1_length_100650_cov_839.811104	10	76.07	13.47	13.15
sample-1_16_98401	MZ130493_1_100650	10	76.07	13.47	13.15
sample-1_16_98401	MZ130495_1_101130	19	77.52	20.08	19.53
sample-1_16_98401	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	19	77.52	20.08	19.53
sample-1_16_98401	ERR844077_ms_2	10	76.11	13.81	13.55
sample-1_16_98401	OGOI01000071	8	76.29	12.19	12.22
sample-1_16_98401	ERR844016_ms_1	18	77.51	19.02	18.67
sample-1_16_98401	OLGL01000107	4	75.89	8.06	8.09
sample-1_16_98401	MT774395_1_103665	8	75.88	13.34	12.67
sample-1_16_98401	ERR589813_NODE_172_length_99988_cov_9.80768	4	75.67	8.48	8.34
sample-1_16_98401	OGPX01000023	3	75.27	7.7	7.73
sample-1_16_98401	sample-1_10_102032	14	77.46	17.67	17.05
sample-1_16_98401	sample-1_9_104613	12	77.14	17.36	16.32
sample-1_16_98401	ERR589835_NODE_174_length_96977_cov_65.8124	6	75.05	9.44	9.58
sample-1_16_98401	MZ130499_1_97706	4	75.9	7.53	7.6
sample-1_16_98401	Long_crAss_ms_14	4	75.9	7.53	7.6
sample-1_16_98401	sample-1_18_96565	16	77.31	16.0	16.25
sample-1_16_98401	SRS050752_NODE_138_length_97080_cov_254.851	5	75.06	9.01	9.16
sample-1_16_98401	OIZB01000074	4	75.67	7.68	7.83
sample-1_16_98401	F10_NODE_1_length_96892_cov_1695.602518	7	75.31	9.53	9.69
sample-1_16_98401	MZ130492_1_96892	7	75.31	9.53	9.69
sample-1_16_98401	ERR589590_NODE_72_length_96711_cov_28.1345	7	74.72	10.39	10.6
sample-1_16_98401	3300013752_____Ga0117817_1000004	5	75.93	8.16	8.06
sample-1_16_98401	OAUB01000058	7	74.54	10.16	10.33
sample-1_16_98401	OLNQ01000088	5	75.95	8.18	8.03
sample-1_16_98401	ERR589531_NODE_142_length_100626_cov_28.4295	7	74.63	10.5	10.29
sample-1_16_98401	OBJP01000067	5	74.92	9.27	9.26
sample-1_16_98401	MT774401_1_97422	6	74.93	8.43	8.52
sample-1_16_98401	OIHW01000011	7	74.9	9.89	10.27
sample-1_16_98401	OHCF01000051	7	74.77	10.4	10.64
sample-1_16_98401	OCHV01000088	7	74.68	10.34	10.24
sample-1_16_98401	30T1_lib200751_4	6	74.44	9.92	10.35
sample-1_16_98401	OOCN01000077	7	75.64	9.16	9.01
sample-1_16_98401	ERR589773_NODE_168_length_99796_cov_16.6781	8	74.61	10.52	10.39
sample-1_16_98401	OLSB01000088	5	75.88	8.12	8.04
sample-1_16_98401	OIXA01000142	6	75.04	9.71	9.8
sample-1_16_98401	sample-1_273_20403	2	75.3	6.56	31.74
sample-1_16_98401	ERR589777_NODE_213_length_102559_cov_114.718	6	75.56	9.08	8.76
sample-1_16_98401	OHAB01000087	6	76.07	8.29	8.24
sample-1_16_98401	3300014553_____Ga0134451_100057	5	76.01	7.4	7.27
sample-1_16_98401	QWCH01000269	5	74.82	9.19	9.46
sample-1_16_98401	OHJU01000015	9	75.83	9.07	9.07
sample-1_16_98401	ERR589856_NODE_160_length_99420_cov_996.622	7	74.77	9.96	9.9
sample-1_16_98401	ERR589530_NODE_125_length_100283_cov_10.4903	6	75.44	9.06	8.91
sample-1_16_98401	MT774396_1_101153	16	78.3	14.37	13.95
sample-1_16_98401	sample-1_11_101626	9	77.66	10.42	10.09
sample-1_16_98401	MZ130496_1_102100	7	75.96	10.48	10.08
sample-1_16_98401	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	7	75.96	10.48	10.08
sample-1_16_98401	MT774397_1_97290	5	75.82	5.51	5.59
sample-1_16_98401	OGWT01000016	9	76.27	11.09	10.53
sample-1_16_98401	ERR589512_NODE_245_length_104299_cov_30.5927	11	76.28	11.63	10.98
sample-1_16_98401	ERR589814_NODE_185_length_102005_cov_6.51113	10	77.5	6.79	6.6
sample-1_16_98401	OFMV01000048	3	74.6	3.5	3.41
sample-1_16_98401	QWCY01000236	2	75.85	2.68	2.75
sample-1_16_98401	MZ130482_1_99704	2	74.19	3.46	3.42
sample-1_16_98401	OLOK01000029	3	74.44	3.57	3.46
sample-1_16_98401	NG-16262_31_lib261986_NODE_2_length_99704_cov_87.7682	2	74.19	3.46	3.42
sample-1_16_98401	ERR589531_NODE_143_length_100354_cov_37.9907	3	77.32	1.9	1.88
sample-1_16_98401	SRS143876_NODE_156_length_99405_cov_8.65265	3	77.31	1.86	1.86
sample-1_16_98401	ERR589534_NODE_206_length_99607_cov_6.90286	4	78.15	1.89	1.89
sample-1_16_98401	OJSE01000155	3	77.18	1.9	1.93
sample-1_16_98401	OGZA01000030	3	76.98	1.97	1.95
sample-1_16_98401	ERR589544_NODE_118_length_99073_cov_42.2977	3	77.21	1.91	1.91
sample-1_16_98401	Long_crAss_ms_15	3	77.51	1.86	1.88
sample-1_16_98401	ERR589548_NODE_125_length_99181_cov_12.0749	3	76.99	1.95	1.95
sample-1_16_98401	ERR589746_NODE_110_length_100335_cov_36.0815	3	77.24	1.88	1.86
sample-1_16_98401	3300014919_____Ga0169798_100120	4	77.86	1.97	2.02
sample-1_16_98401	OGYC01000074	4	77.82	1.91	1.93
sample-1_16_98401	OGOQ01000098	4	77.86	1.97	2.02
sample-1_16_98401	3300008103_____Ga0114180_100183	3	77.27	1.86	1.93
sample-1_16_98401	OGRK01000094	2	77.82	1.57	1.54
sample-1_16_98401	QWCY01000259	4	77.84	1.86	1.89
sample-1_16_98401	OKRW01000057	4	78.02	1.91	1.88
sample-1_16_98401	3300008520_____Ga0111044_100220	4	77.7	1.95	1.95
sample-1_16_98401	OLPS01000138	3	77.38	1.85	1.86
sample-1_16_98401	OLNW01000116	3	77.9	1.63	1.62
sample-1_16_98401	OLRV01000041	3	77.21	1.86	1.82
sample-1_16_98401	OLWC01000027	5	76.21	3.23	3.24
sample-1_16_98401	OLQL01000074	4	77.65	1.9	1.87
sample-1_16_98401	3300014921_____Ga0169822_100099	4	77.52	1.92	1.91
sample-1_16_98401	ERR844030_ms_1	3	76.96	1.91	1.89
sample-1_16_98401	OBZD01000096	3	76.91	1.91	1.91
sample-1_16_98401	3300008497_____Ga0111011_100059	4	78.31	1.79	1.83
sample-1_16_98401	C12_NODE_4_length_93683_cov_7.991701	3	74.72	2.36	2.5
sample-1_16_98401	EM245_T3_ms_3	3	77.02	1.85	1.87
sample-1_16_98401	ERR844035_ms_1	4	77.27	1.9	1.86
sample-1_16_98401	OGUN01000050	3	76.47	1.97	1.96
sample-1_16_98401	OLGN01000078	3	76.47	1.97	1.99
sample-1_16_98401	SRS050299_NODE_72_length_100548_cov_36.2955	3	76.37	2.61	2.55
sample-1_16_98401	ERR844025_ms_1	2	76.35	2.24	2.29
sample-1_16_98401	OJMH01000169	3	76.65	1.9	1.93
sample-1_16_98401	OAUH01000043	4	77.87	1.82	1.83
sample-1_16_98401	MN037_S1_78	4	76.27	2.94	2.87
sample-1_16_98401	MT774376_1_98340	3	74.72	3.02	3.03
sample-1_16_98401	sample-1_3643_1714	1	88.67	0.62	35.47
sample-1_16_98401	sample-1_309_18290	1	78.21	1.16	6.24
sample-1_16_98401	OLPO01000062	6	76.88	2.66	2.62
sample-1_16_98401	ERR589817_NODE_85_length_101984_cov_21.9381	1	77.34	1.16	1.12
sample-1_16_98401	MT774375_1_98826	4	77.18	1.72	1.71
sample-1_16_98401	OBJQ01000077	4	77.34	1.66	1.66
sample-1_16_98401	sample-1_2557_2904	1	75.43	1.37	46.97
sample-1_16_98401	OHAD01000101	3	74.84	1.89	1.84
sample-1_16_98401	E11_NODE_1_length_96694_cov_1258.521291	3	74.53	1.94	1.98
sample-1_16_98401	3300008737_____Ga0113999_100109	4	75.12	1.87	1.82
sample-1_16_98401	sample-1_2468_3000	1	73.21	1.51	48.87
sample-1_16_98401	OLPB01000025	4	73.3	3.24	3.12
sample-1_16_98401	OLQG01000044	4	72.36	2.56	2.52
sample-1_16_98401	MT774379_1_92600	3	80.12	0.81	0.86
sample-1_16_98401	MT774380_1_99882	3	72.81	2.63	2.61
sample-1_16_98401	OLRA01000126	4	74.99	2.1	2.02
sample-1_16_98401	MZ130477_1_100971	4	76.42	1.25	1.21
sample-1_16_98401	ERR843949_ms_1	5	73.55	2.96	2.93
sample-1_16_98401	sample-1_2496_2968	1	77.54	0.65	21.29
sample-1_16_98401	sample-1_2087_3578	1	75.9	0.64	17.33
sample-1_16_98401	OLNZ01000083	2	73.18	1.3	1.22
sample-1_16_98401	OLQG01000039	1	71.82	1.08	1.03
sample-1_16_98401	MT774406_1_101532	2	72.35	1.3	1.26
sample-1_16_98401	3300006463_____Ga0100176_1000099	2	72.39	1.29	1.22
sample-1_16_98401	OHAY01000006	1	72.93	0.62	0.35
sample-1_16_98401	SRS011586_NODE_119_length_103914_cov_1098.85	2	71.74	1.31	1.24
sample-1_16_98401	OLRZ01000056	1	84.43	0.17	0.17
sample-1_16_98401	E12_NODE_1_length_99984_cov_69.391838	2	76.98	0.49	0.49
sample-1_16_98401	MZ130475_1_99984	2	76.98	0.49	0.49
sample-1_16_98401	OCPX01000081	4	79.2	0.59	0.57
sample-1_16_98401	OICB01000025	2	76.04	0.5	0.49
sample-1_16_98401	G3_WGS_contig_51_2_length_97737_read_count_6388982	2	76.19	0.49	0.5
sample-1_16_98401	SRS147652_NODE_155_length_104176_cov_11.0954	1	91.01	0.09	0.08
sample-1_16_98401	OFMT01000069	1	91.01	0.09	0.09
sample-1_16_98401	phage_2	1	95.83	0.07	0.04
sample-1_16_98401	MZ130497_1_104085	1	91.67	0.09	0.08
sample-1_16_98401	HvCF_B1_ms_5	1	91.67	0.09	0.08
sample-1_16_98401	HvCF_C7_ms_2	1	91.67	0.09	0.08
sample-1_16_98401	MT774402_1_103832	1	91.67	0.09	0.08
sample-1_16_98401	OLNE01000081	1	90.91	0.09	0.08
sample-1_16_98401	OGTB01000054	2	75.84	0.49	0.51
sample-1_16_98401	OBKN01000015	1	89.02	0.08	0.08
sample-1_16_98401	MT774378_1_101662	2	79.24	0.24	0.23
sample-1_16_98401	QWCN01000029	2	100.0	0.08	0.04
sample-1_16_98401	OFMT01000010	2	100.0	0.08	0.04
sample-1_16_98401	OHTA01000010	2	100.0	0.08	0.04
sample-1_16_98401	OHPI01000007	2	100.0	0.08	0.04
sample-1_16_98401	OGQH01000028	2	100.0	0.08	0.04
sample-1_16_98401	OHMA01000001	2	98.75	0.08	0.04
sample-1_16_98401	OHIN01000009	2	98.75	0.08	0.04
sample-1_16_98401	OGTB01000008	1	96.36	0.05	0.03
sample-1_16_98401	OKSX01000010	2	100.0	0.08	0.04
sample-1_16_98401	OMFN01000011	1	98.04	0.05	0.03
sample-1_16_98401	OMEV01000014	2	100.0	0.08	0.04
sample-1_16_98401	OLOZ01000092	1	98.04	0.05	0.05
sample-1_16_98401	ERR589535_NODE_102_length_100207_cov_5.55539	1	98.04	0.05	0.05
sample-1_16_98401	OMBP01000015	2	100.0	0.08	0.04
sample-1_16_98401	OMGK01000003	2	97.59	0.08	0.04
sample-1_16_98401	OLGF01000091	1	98.04	0.05	0.05
sample-1_16_98401	A1_NODE_2_length_99974_cov_261.284550	1	98.04	0.05	0.05
sample-1_16_98401	OCPV01000032	1	98.04	0.05	0.03
sample-1_16_98401	OMAL01000015	2	100.0	0.08	0.04
sample-1_16_98401	ERR589503_NODE_243_length_99288_cov_256.502	1	100.0	0.05	0.05
sample-1_16_98401	OJOE01000015	1	97.96	0.05	0.03
sample-1_16_98401	OLSP01000004	1	100.0	0.05	0.03
sample-1_16_98401	OGXI01000029	1	100.0	0.05	0.05
sample-1_16_98401	MT774382_1_99985	1	100.0	0.05	0.05
sample-1_16_98401	OGXX01000055	1	100.0	0.05	0.05
sample-1_16_98401	ERR589843_NODE_134_length_102073_cov_9.78706	1	100.0	0.05	0.05
sample-1_16_98401	MZ130491_1_98573	1	86.84	0.07	0.08
sample-1_16_98401	OLHG01000007	1	84.34	0.08	0.05
sample-1_16_98401	OLGM01000006	1	84.34	0.08	0.05
sample-1_16_98401	OHFX01000006	1	100.0	0.03	0.02
sample-1_16_98401	MT774409_1_96717	1	100.0	0.03	0.03
sample-1_16_98401	MT774410_1_98667	1	100.0	0.03	0.03
sample-1_16_98401	MT774392_1_95150	1	100.0	0.03	0.03
sample-1_16_98401	PPYE01511035	1	94.44	0.04	0.02
sample-1_16_98401	OGOG01000008	1	94.44	0.04	0.02
sample-1_16_98401	phage_1	1	94.44	0.04	0.02
sample-1_21_95604	sample-1_16_98401	12	98.96	96.95	94.22
sample-1_21_95604	sample-1_20_95736	13	98.86	93.89	93.92
sample-1_21_95604	sample-1_22_93708	12	98.83	91.46	93.34
sample-1_21_95604	MZ130500_1_98182	17	97.95	96.15	93.65
sample-1_21_95604	Sib2_ms_1	17	97.95	96.15	93.65
sample-1_21_95604	OLZQ01000035	19	98.17	97.1	92.11
sample-1_21_95604	OLRO01000069	18	98.3	96.8	94.07
sample-1_21_95604	OGYG01000098	17	97.96	97.1	93.1
sample-1_21_95604	ERR589530_NODE_123_length_101106_cov_84.032	17	98.17	95.82	90.62
sample-1_21_95604	ERR589503_NODE_236_length_100385_cov_32.3335	19	98.07	96.27	91.75
sample-1_21_95604	OGXF01000053	17	97.74	96.62	93.65
sample-1_21_95604	OOAG01000060	19	98.06	96.18	92.33
sample-1_21_95604	ERR589818_NODE_123_length_100672_cov_68.5318	19	97.99	96.28	91.48
sample-1_21_95604	ERR589750_NODE_144_length_100756_cov_12.0751	23	98.14	94.44	89.64
sample-1_21_95604	Zuo_N1_NODE_2_length_100997_cov_2297.472945	19	97.84	96.39	91.25
sample-1_21_95604	3300008360_____Ga0114875_1000146	17	98.46	97.47	92.43
sample-1_21_95604	3300008716_____Ga0113874_100156	18	97.81	96.38	94.46
sample-1_21_95604	OGZD01000102	16	98.24	97.62	92.89
sample-1_21_95604	OLYB01000074	20	98.11	96.48	91.28
sample-1_21_95604	3300007714_____Ga0105661_1000061	19	97.61	97.8	92.32
sample-1_21_95604	OIRC01000027	16	97.9	96.71	92.94
sample-1_21_95604	OLQO01000079	17	98.26	95.66	90.8
sample-1_21_95604	OLSC01000138	19	96.53	94.02	92.49
sample-1_21_95604	ERR589848_NODE_158_length_99263_cov_37.5295	21	98.18	96.59	93.05
sample-1_21_95604	ERR844047_ms_3	18	95.82	94.46	93.59
sample-1_21_95604	3300007991_____Ga0105643_100224	19	95.55	90.71	88.81
sample-1_21_95604	sample-1_13_99291	26	84.21	32.95	31.69
sample-1_21_95604	MT774407_1_98095	33	80.9	68.53	66.75
sample-1_21_95604	MN037_S1_79	37	80.83	71.76	68.27
sample-1_21_95604	OCLC01000020	26	80.38	34.37	32.4
sample-1_21_95604	OIWL01000154	27	80.49	34.51	33.19
sample-1_21_95604	MT774405_1_99848	23	80.75	31.3	29.98
sample-1_21_95604	3300007312_____Ga0104941_100072	30	79.69	37.25	34.87
sample-1_21_95604	MT774404_1_98308	28	81.48	45.58	44.18
sample-1_21_95604	OLWW01000036	30	81.34	47.61	45.28
sample-1_21_95604	3300014538_____Ga0134452_100100	30	81.59	46.0	44.54
sample-1_21_95604	OLNI01000077	33	81.65	50.33	48.76
sample-1_21_95604	OKRV01000012	27	80.72	34.07	32.42
sample-1_21_95604	MZ130494_1_100255	30	80.25	36.82	35.1
sample-1_21_95604	G10_NODE_3_length_100255_cov_4594.188553	30	80.25	36.82	35.1
sample-1_21_95604	OEIM01000003	30	80.03	36.08	34.06
sample-1_21_95604	3300014788_____Ga0134381_1000049	26	80.59	32.81	30.31
sample-1_21_95604	OLZJ01000019	30	80.44	34.17	32.72
sample-1_21_95604	MT774400_1_96055	25	79.9	26.87	26.74
sample-1_21_95604	MT774398_1_100198	11	76.96	12.23	11.65
sample-1_21_95604	SRS011302_NODE_90_length_100096_cov_55.6308	10	75.94	11.8	11.22
sample-1_21_95604	3300007098_____Ga0102540_100090	11	76.13	13.44	12.83
sample-1_21_95604	OHAU01000141	9	76.47	12.04	11.37
sample-1_21_95604	MT774403_1_98557	6	75.66	12.65	12.22
sample-1_21_95604	MZ130498_1_104752	8	75.74	14.04	12.74
sample-1_21_95604	HvCF_E4_ms_4	8	75.74	14.04	12.74
sample-1_21_95604	OJRV01000117	11	76.19	13.66	12.66
sample-1_21_95604	OJPW01000082	9	76.02	13.51	12.82
sample-1_21_95604	3300008725_____Ga0115670_1000139	9	76.12	12.85	11.73
sample-1_21_95604	MT774399_1_99168	8	76.01	12.52	12.06
sample-1_21_95604	sample-1_12_101623	9	76.11	13.65	12.82
sample-1_21_95604	F4_NODE_1_length_100650_cov_839.811104	10	76.05	13.69	12.99
sample-1_21_95604	MZ130493_1_100650	10	76.05	13.69	12.99
sample-1_21_95604	ERR844077_ms_2	9	76.16	13.84	13.19
sample-1_21_95604	OGOI01000071	8	76.3	12.47	12.15
sample-1_21_95604	OLGL01000107	4	75.85	8.3	8.09
sample-1_21_95604	MT774395_1_103665	8	75.93	12.75	11.73
sample-1_21_95604	ERR589813_NODE_172_length_99988_cov_9.80768	3	75.43	8.27	7.88
sample-1_21_95604	OGPX01000023	3	75.2	7.93	7.73
sample-1_21_95604	ERR589835_NODE_174_length_96977_cov_65.8124	5	74.9	9.67	9.53
sample-1_21_95604	MZ130495_1_101130	18	77.07	18.49	17.44
sample-1_21_95604	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	18	77.07	18.49	17.44
sample-1_21_95604	ERR844016_ms_1	15	77.35	14.98	14.28
sample-1_21_95604	sample-1_18_96565	16	77.17	16.4	16.2
sample-1_21_95604	F10_NODE_1_length_96892_cov_1695.602518	6	75.12	9.29	9.15
sample-1_21_95604	MZ130492_1_96892	6	75.12	9.29	9.15
sample-1_21_95604	MZ130499_1_97706	4	75.79	7.75	7.6
sample-1_21_95604	Long_crAss_ms_14	4	75.79	7.75	7.6
sample-1_21_95604	OBJP01000067	4	74.71	9.02	8.74
sample-1_21_95604	ERR589531_NODE_142_length_100626_cov_28.4295	6	74.46	10.22	9.71
sample-1_21_95604	OIZB01000074	4	75.62	7.9	7.83
sample-1_21_95604	SRS050752_NODE_138_length_97080_cov_254.851	4	74.91	8.7	8.58
sample-1_21_95604	OAUB01000058	7	74.48	10.4	10.27
sample-1_21_95604	ERR589590_NODE_72_length_96711_cov_28.1345	6	74.47	10.24	10.13
sample-1_21_95604	3300013752_____Ga0117817_1000004	4	75.72	7.88	7.54
sample-1_21_95604	OLNQ01000088	4	75.79	7.89	7.52
sample-1_21_95604	OHCF01000051	6	74.51	10.22	10.15
sample-1_21_95604	ERR589773_NODE_168_length_99796_cov_16.6781	7	74.38	10.28	9.85
sample-1_21_95604	OCHV01000088	6	74.42	10.1	9.7
sample-1_21_95604	sample-1_10_102032	13	77.98	13.5	12.62
sample-1_21_95604	30T1_lib200751_4	6	74.43	10.17	10.3
sample-1_21_95604	OIHW01000011	6	74.67	9.66	9.73
sample-1_21_95604	MT774401_1_97422	6	74.86	8.67	8.52
sample-1_21_95604	OIXA01000142	5	74.81	9.54	9.34
sample-1_21_95604	OLSB01000088	4	75.69	7.9	7.59
sample-1_21_95604	OOCN01000077	6	75.37	8.97	8.56
sample-1_21_95604	ERR589777_NODE_213_length_102559_cov_114.718	5	75.36	8.89	8.31
sample-1_21_95604	sample-1_273_20403	2	75.23	6.76	31.74
sample-1_21_95604	OHAB01000087	5	75.74	8.06	7.77
sample-1_21_95604	3300014553_____Ga0134451_100057	5	75.9	7.59	7.24
sample-1_21_95604	QWCH01000269	5	74.76	9.46	9.46
sample-1_21_95604	ERR589856_NODE_160_length_99420_cov_996.622	6	74.64	9.73	9.38
sample-1_21_95604	sample-1_9_104613	11	77.33	13.63	12.41
sample-1_21_95604	OHJU01000015	8	75.63	8.8	8.53
sample-1_21_95604	ERR589530_NODE_125_length_100283_cov_10.4903	5	75.27	8.87	8.46
sample-1_21_95604	MT774396_1_101153	14	77.97	13.33	12.55
sample-1_21_95604	sample-1_11_101626	8	78.5	9.37	8.82
sample-1_21_95604	MZ130496_1_102100	7	76.12	8.2	7.64
sample-1_21_95604	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	7	76.12	8.2	7.64
sample-1_21_95604	MT774397_1_97290	5	75.77	5.67	5.59
sample-1_21_95604	OGWT01000016	8	76.39	10.49	9.64
sample-1_21_95604	ERR589512_NODE_245_length_104299_cov_30.5927	10	76.41	9.36	8.55
sample-1_21_95604	ERR589814_NODE_185_length_102005_cov_6.51113	10	77.37	6.97	6.58
sample-1_21_95604	OFMV01000048	2	74.3	3.56	3.37
sample-1_21_95604	QWCY01000236	2	75.85	2.75	2.75
sample-1_21_95604	MZ130482_1_99704	2	74.11	3.56	3.42
sample-1_21_95604	OLOK01000029	2	74.08	3.64	3.42
sample-1_21_95604	NG-16262_31_lib261986_NODE_2_length_99704_cov_87.7682	2	74.11	3.56	3.42
sample-1_21_95604	3300006746_____Ga0101796_100038	1	93.64	0.61	0.62
sample-1_21_95604	OBJP01000075	1	92.84	0.61	0.62
sample-1_21_95604	OOAT01000079	1	92.71	0.62	0.63
sample-1_21_95604	3300007362_____Ga0104788_100129	1	92.97	0.61	0.63
sample-1_21_95604	ERR589531_NODE_143_length_100354_cov_37.9907	3	77.39	1.96	1.88
sample-1_21_95604	ERR589534_NODE_206_length_99607_cov_6.90286	4	78.1	1.94	1.87
sample-1_21_95604	ERR589548_NODE_125_length_99181_cov_12.0749	3	77.05	2.01	1.95
sample-1_21_95604	3300008103_____Ga0114180_100183	3	77.33	1.92	1.93
sample-1_21_95604	OFMB01000041	1	92.06	0.6	0.62
sample-1_21_95604	SRS143876_NODE_156_length_99405_cov_8.65265	3	77.27	1.92	1.86
sample-1_21_95604	OJSE01000155	3	77.14	1.96	1.93
sample-1_21_95604	OGZA01000030	3	76.94	2.03	1.95
sample-1_21_95604	Long_crAss_ms_15	3	77.47	1.92	1.88
sample-1_21_95604	OGRK01000094	2	77.9	1.62	1.54
sample-1_21_95604	3300014919_____Ga0169798_100120	4	77.61	2.01	2.0
sample-1_21_95604	OGYC01000074	3	77.31	1.92	1.88
sample-1_21_95604	QWCY01000259	4	77.91	1.92	1.89
sample-1_21_95604	OGOQ01000098	4	77.61	2.01	2.0
sample-1_21_95604	ERR589746_NODE_110_length_100335_cov_36.0815	3	77.2	1.94	1.86
sample-1_21_95604	ERR589544_NODE_118_length_99073_cov_42.2977	3	77.07	1.97	1.91
sample-1_21_95604	3300007524_____Ga0105481_1000141	1	91.54	0.6	0.63
sample-1_21_95604	3300008520_____Ga0111044_100220	4	77.45	1.99	1.92
sample-1_21_95604	OLPS01000138	3	77.34	1.9	1.86
sample-1_21_95604	OKRW01000057	4	77.65	1.94	1.86
sample-1_21_95604	OLNW01000116	3	77.52	1.66	1.6
sample-1_21_95604	OLQL01000074	4	77.43	1.95	1.85
sample-1_21_95604	OLRV01000041	3	77.17	1.92	1.82
sample-1_21_95604	OLWC01000027	5	76.05	3.31	3.22
sample-1_21_95604	3300014921_____Ga0169822_100099	4	77.27	1.95	1.88
sample-1_21_95604	ERR844030_ms_1	3	76.92	1.97	1.89
sample-1_21_95604	OBZD01000096	3	76.87	1.97	1.91
sample-1_21_95604	EM245_T3_ms_3	3	76.98	1.9	1.87
sample-1_21_95604	3300008497_____Ga0111011_100059	4	77.41	1.95	1.93
sample-1_21_95604	ERR844035_ms_1	4	77.23	1.95	1.86
sample-1_21_95604	OAUH01000043	4	77.43	1.93	1.88
sample-1_21_95604	OGUN01000050	3	76.44	2.03	1.96
