query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_3246	7365	MZ546176	Norovirus sp. strain Norozj-2, complete genome	7379	0.0	7258	7332	98.99	99.55	16	7347	45	7376	plus	Norovirus sp.	complete genome
contig_3270	7260	MT755733	Norovirus GII isolate Hu/US/2019/GII.3[P12]/CA-RGDS-1098, complete genome	7557	0.0	7201	7256	99.24	99.94	5	7260	7459	204	minus	Norovirus GII	complete genome
contig_3640	6166	MW305735	Norovirus GII isolate SSM nonstructural polyprotein (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds	7515	0.0	6066	6135	98.88	99.5	20	6154	1360	7494	plus	Norovirus GII	complete cds
contig_37552	1114	PQ207934	Norovirus GII isolate Hu/GII.4 Sydney[P16]/Milwaukee0499/2023/USA nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds	7524	0.0	1109	1114	99.55	100.0	1	1114	4757	3644	minus	Norovirus GII	complete cds
contig_4341	4674	NC_010624	Sapovirus Mc10, complete genome >gi|45545440|gb|AY237420.2| Sapovirus Mc10 polyprotein precursor, mRNA, complete cds; and unknown mRNA	7458	0.0	4427	4648	95.25	99.44	10	4657	2657	7304	plus	Sapovirus Mc10	complete genome
contig_48991	7070	MG012438	Sapovirus GI.1 strain Hu/US/2014/GI.1/Nashville9478 ORF1 polyprotein and ORF2 protein genes, complete cds	7428	0.0	6959	7038	98.88	99.55	33	7070	1	7038	plus	Sapovirus GI.1	complete cds
contig_48995	4933	LC504312	Sapovirus GI Hu/GI.1/JPN/2013/EH-33 genomic RNA, complete genome	7429	0.0	4833	4932	97.99	99.98	2	4933	5060	129	minus	Sapovirus GI Hu/GI.1/JPN/2013/EH-33	complete genome
contig_5160	3710	MK956173	Norovirus GI isolate G19-001 nonstructural polyprotein (ORF1) gene, partial cds; VP1 (ORF2) gene, complete cds; and VP2 (ORF3) gene, partial cds	7134	0.0	3634	3687	98.56	99.38	17	3703	7133	3447	minus	Norovirus GI	complete cds
contig_6302	3086	MW305722	Norovirus GII isolate CMH-ST093-16 nonstructural polyprotein (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds	7494	0.0	2956	3059	96.63	99.13	1	3059	4086	7143	plus	Norovirus GII	complete cds
contig_7353	2744	MK956174	Norovirus GI isolate G19-002 nonstructural polyprotein (ORF1) gene, partial cds; VP1 (ORF2) gene, complete cds; and VP2 (ORF3) gene, partial cds	7173	0.0	2708	2735	99.01	99.67	5	2738	833	3566	plus	Norovirus GI	complete cds
contig_7879	2609	MK588004	Norovirus GII isolate Hu/USA/2017/GII.P7-GII.14/RGDS-1012 nonstructural polyprotein (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds	7506	0.0	2495	2598	96.04	99.58	12	2609	3855	1258	minus	Norovirus GII	complete cds
contig_9179	2345	AB689846	Sapovirus Hu/Kumamoto130/Jul2010/JPN RNA, complete genome	7458	0.0	2145	2244	95.59	95.69	1	2244	2699	456	minus	Sapovirus Hu/Kumamoto130/Jul2010/JPN RNA	complete genome
contig_9439	2306	PP658559	Norovirus GII isolate PBH23425-STN nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds	7526	0.0	2288	2303	99.35	99.87	4	2306	1321	3622	plus	Norovirus GII	complete cds
