"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"virus_comp_2179_cycle_1_4",-4.03183684080823,0.317728562315576,-3.36963529496433,0.0021827819272962,0.00592620126166856,-1.37505548775704
"virus_comp_17949_cycle_1_26",-4.51106950215898,0.260564115296441,-3.59163435797192,0.00218309793215726,0.00592620126166856,-1.29692783287416
"virus_comp_1105_cycle_1_2",-4.54780391100206,0.316992838333692,-3.26650943260028,0.00219212189060271,0.00594358117225123,-1.42372870592562
"virus_comp_3124_cycle_1_7",-3.57937791780906,0.349574517080822,-3.21272119571984,0.00219254132780411,0.00594358117225123,-1.45043050882966
"virus_comp_4442_cycle_1_4",-4.1976161084517,0.34823327708589,-3.23498362228973,0.00219580769815204,0.00594607983022603,-1.43939081801055
"virus_comp_732_cycle_1_7",-3.71743695451252,0.383469299544175,-3.20933288250313,0.00219650531461918,0.00594607983022603,-1.45353042142847
"virus_comp_720_cycle_1_15",-4.40919669223012,0.259171468918406,-3.35560742754505,0.00219850560340427,0.00594737605792892,-1.38583099938661
"virus_comp_229_cycle_1_96",-4.34943045097997,0.336756793484627,-3.50098924909878,0.00220075244169447,0.00594863985623677,-1.32846013099639
"virus_comp_18153_cycle_1_3",-4.06019746213412,0.58341305717837,-3.5876857629546,0.00220207073845258,0.00594863985623677,-1.2946917475919
"edge_61_15",-4.29826904402402,0.416840977076593,-3.18727391227264,0.00220353812019208,0.00594863985623677,-1.46666608746763
"edge_48732_24",-4.27916541440007,0.378594513113079,-3.33268080958621,0.00221453967952808,0.00597421366961716,-1.40092293592226
"virus_comp_1342_cycle_1_19",-4.70056178702867,0.216648865269954,-3.34002585622302,0.00222833332162894,0.00600727927879139,-1.40176789683068
"virus_comp_155_cycle_2_93",-4.0237566944434,0.385889150954004,-3.54856916281475,0.00223469189743854,0.00601096310520102,-1.31903539039312
"virus_comp_733_cycle_1_31",-3.42493422651918,0.627897986721672,-3.1366384937683,0.00223704816124044,0.00601096310520102,-1.5023811219841
"virus_comp_126_cycle_1_193",-3.74235172106609,0.326047499699928,-3.24927327567696,0.00223787777087752,0.00601096310520102,-1.44834528025888
"virus_comp_1131_cycle_2_17",-5.2635040032104,0.294239896726182,-3.27579690146834,0.00223888632833167,0.00601096310520102,-1.441782384399
"edge_2143_44",-4.19688329523621,0.252436308204331,-3.37186194004743,0.00223898808605173,0.00601096310520102,-1.39129456023212
"virus_comp_229_cycle_1_78",-4.23048477608881,0.350974998823343,-3.61696214387976,0.00223932973648874,0.00601096310520102,-1.29943247990812
"virus_comp_164_cycle_1_19",-4.40861755994593,0.760427003137707,-3.17776014291116,0.00224109763719315,0.00601096310520102,-1.48069160484729
"edge_1476_1",-3.85925775463402,0.256003160820813,-3.29497623556612,0.00224313464911382,0.00601096310520102,-1.42699378433765
"edge_1512_17",-4.7517718455633,0.333360748866492,-3.22035635168962,0.00224353931196938,0.00601096310520102,-1.46341190238433
"virus_comp_1131_cycle_2_29",-5.1950145033768,0.370078678775353,-3.24738474082353,0.00224982824102568,0.00602368396860917,-1.46691325924743
"edge_1468_62",-3.98772889360276,0.412337057714046,-3.15055790778825,0.00225506365684568,0.00603356867529758,-1.50079585344377
"virus_comp_590_cycle_2_45",-4.14692524798734,0.293232842124348,-3.61279978682556,0.00225932291799224,0.00604082988128021,-1.30858346396558
"virus_comp_317_cycle_1_1",-4.76483261548142,0.73365551947228,-3.1318829239604,0.00227602277760287,0.00607991328838588,-1.51663014250072
"virus_comp_169_cycle_1_6",-3.72980823999251,0.78858826791775,-3.16883499971781,0.00227705117784521,0.00607991328838588,-1.50316831294099
"virus_comp_2365_cycle_1_3",-3.73644115829871,0.363831131483989,-3.60840840879011,0.00228060953793235,0.00608525780462631,-1.31277934820958
"edge_2104_5",-3.80333875767842,0.228545840147709,-3.2369539229001,0.00228744608288644,0.00609731487251273,-1.4677391968581
"virus_comp_2365_cycle_1_2",-3.74626387929499,0.346334555130154,-3.60670576831635,0.00228891666167617,0.00609731487251273,-1.31587648859519
"virus_comp_6380_cycle_1_4",-3.65506292726785,0.344326583213477,-3.19786642311207,0.00228990643939354,0.00609731487251273,-1.48834323828448
"edge_1845_43",-4.09131757123483,0.44486937629516,-3.42194144349081,0.00229226803223343,0.00609731487251273,-1.39928389083802
"edge_294_14",-5.23909164298878,0.397095892756727,-3.18238112040203,0.00229292731199635,0.00609731487251273,-1.4992254352069
"virus_comp_2527_cycle_1_4",-3.78489486336447,0.348274796815331,-3.4596441145956,0.00229884286668106,0.00610888971166299,-1.37281591294366
