"ORF","in_t24","in_t36","in_t42","timepoint_pattern"
"virus_comp_2591_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_209",TRUE,TRUE,TRUE,"All_three"
"edge_1633_46",TRUE,TRUE,TRUE,"All_three"
"virus_comp_609_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_18196_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2194_cycle_1_8",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_150",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2263_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2188_cycle_1_5",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3464_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2838_cycle_1_5",TRUE,TRUE,TRUE,"All_three"
"virus_comp_18196_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_5397_cycle_1_5",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_45",TRUE,TRUE,TRUE,"All_three"
"virus_comp_62_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"edge_1633_50",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_11",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_808_cycle_4_26",TRUE,FALSE,TRUE,"t24_t42"
"edge_311_11",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2383_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1102_cycle_1_8",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_176",TRUE,TRUE,TRUE,"All_three"
"virus_comp_62_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_7146_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2309_cycle_1_1",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_808_cycle_4_32",TRUE,FALSE,TRUE,"t24_t42"
"edge_1468_14",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2283_cycle_1_5",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2343_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"edge_284_6",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1795_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_7248_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"edge_1631_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_46",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_30",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_14666_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_210",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_23",TRUE,TRUE,TRUE,"All_three"
"virus_comp_17785_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"edge_2254_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2311_cycle_1_11",TRUE,TRUE,TRUE,"All_three"
"edge_1474_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_17959_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_62_cycle_1_38",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_208",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_128",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_147",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_35",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_490_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"edge_284_13",TRUE,TRUE,TRUE,"All_three"
"edge_2381_19",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_3468_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3264_cycle_1_8",TRUE,TRUE,TRUE,"All_three"
"virus_comp_18200_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_16",TRUE,TRUE,TRUE,"All_three"
"edge_1627_21",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2382_cycle_1_6",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_207",TRUE,TRUE,TRUE,"All_three"
"virus_comp_164_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_613_cycle_1_13",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_15",TRUE,TRUE,TRUE,"All_three"
"virus_comp_7271_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3464_cycle_1_6",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_155_cycle_1_18",TRUE,TRUE,TRUE,"All_three"
"virus_comp_245_cycle_1_43",TRUE,TRUE,TRUE,"All_three"
"virus_comp_18153_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2332_cycle_1_10",TRUE,TRUE,TRUE,"All_three"
"virus_comp_158_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2133_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_547_cycle_1_11",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_101",TRUE,TRUE,TRUE,"All_three"
"virus_comp_536_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_197",TRUE,TRUE,TRUE,"All_three"
"virus_comp_536_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2382_cycle_1_9",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1968_cycle_1_7",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_155_cycle_2_105",TRUE,TRUE,TRUE,"All_three"
"virus_comp_811_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_182",TRUE,TRUE,TRUE,"All_three"
"virus_comp_464_cycle_1_67",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_38",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_2308_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_17",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1260_cycle_2_12",TRUE,TRUE,TRUE,"All_three"
"virus_comp_11007_cycle_1_2",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_155_cycle_1_107",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_2239_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_62_cycle_1_22",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_43",TRUE,FALSE,TRUE,"t24_t42"
"edge_1633_14",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2641_cycle_1_8",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2109_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_17906_cycle_1_36",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_131",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3522_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2438_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"edge_3513_16",TRUE,TRUE,TRUE,"All_three"
"virus_comp_490_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_158_cycle_1_5",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_214",TRUE,TRUE,TRUE,"All_three"
"edge_1468_47",TRUE,TRUE,TRUE,"All_three"
"virus_comp_163_cycle_1_23",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2915_cycle_1_7",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_1260_cycle_2_17",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_19",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_126",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2109_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_10609_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_4695_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_59",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_78",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_69_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_213",TRUE,TRUE,TRUE,"All_three"
"edge_1633_38",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_51",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_31",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_155_cycle_2_23",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1191_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3404_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_60",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_155_cycle_1_125",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_60",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1420_cycle_1_1",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_16658_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"edge_284_18",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_158",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_151",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_110",TRUE,TRUE,TRUE,"All_three"
"edge_284_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_164_cycle_1_26",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_41",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_155_cycle_2_112",TRUE,TRUE,TRUE,"All_three"
"virus_comp_475_cycle_1_24",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_162",TRUE,TRUE,TRUE,"All_three"
"virus_comp_150_cycle_1_24",TRUE,TRUE,TRUE,"All_three"
"virus_comp_454_cycle_1_6",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_155_cycle_2_31",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_33",TRUE,TRUE,TRUE,"All_three"
"edge_1627_15",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_124",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_57",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_58",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_79",TRUE,TRUE,TRUE,"All_three"
"virus_comp_164_cycle_1_7",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_20",TRUE,TRUE,TRUE,"All_three"
"edge_3278_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_164_cycle_1_8",TRUE,TRUE,TRUE,"All_three"
"edge_1627_28",TRUE,TRUE,TRUE,"All_three"
"edge_1633_25",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_155",TRUE,TRUE,TRUE,"All_three"
"virus_comp_301_cycle_1_51",TRUE,TRUE,TRUE,"All_three"
