"","t0","t0-6","t0-12","t0-18","t0-24","t0-30","t0-36","t0-over42"
"virus_comp_150_cycle_1_156",3.59989008709308,4.13802050836688,3.56431544833529,3.15692279466057,-1.55954970730373,2.33811094160406,-0.788504531100988,1.95488898834458
"virus_comp_887_cycle_1_27",1.3883000985367,2.89838830507925,2.87060313874268,2.17463634229026,-2.61548425783246,2.29599347432504,-1.67468989206834,0.518097268330933
"virus_comp_5225_cycle_1_4",3.68807295012432,4.78788468065397,3.71275889046889,3.01059732830066,-1.84653952318463,4.74915491638023,-1.96456323795057,-0.108179346413391
"virus_comp_1830_cycle_1_4",2.20419246861637,2.8920615524044,3.24821410312172,1.39402991436298,-1.05314790688173,2.61783600772347,-2.11849949639466,0.245161389115077
"virus_comp_808_cycle_4_34",1.71290734816057,4.7065519830183,2.6367479086783,1.47112436434333,-3.0032194574647,1.24644152874486,-1.38831857955005,-0.81819947480168
"virus_comp_18200_cycle_1_5",2.07163530742346,3.15468642827149,3.16055938318162,2.48507740726328,-1.63592710013685,0.837406343309367,-2.12735309774444,0.329518468243716
"virus_comp_12318_cycle_1_2",1.76526451128928,2.31808558330264,2.97568931095715,2.48002880904829,-1.75978909660526,2.81041384205449,-1.59192693887891,0.336733428261073
"virus_comp_18259_cycle_1_7",1.8942870441404,5.36167369849854,3.05516527412114,0.824052709642246,-2.45710345867388,2.79843251518267,-1.99745769804426,0.755313063288058
"virus_comp_7998_cycle_1_1",1.35132475822689,2.86456677460562,2.29436083230726,2.62332955068765,-2.85489311635635,1.5541681169402,-3.30414187359543,0.434501269898351
"virus_comp_155_cycle_1_139",2.74597883166418,3.8682560446988,3.37207786140927,3.16598467225158,-2.16000031808964,2.48830107322906,-0.993048153931857,0.64995494814461
"virus_comp_155_cycle_1_138",2.94552258356913,3.9698789057165,3.31777127528894,3.40395007069767,-2.1484834994691,2.60749723812108,-0.879366404447024,0.663764530835065
"virus_comp_12035_cycle_1_1",4.57956499852032,4.17176740297564,3.64756529416744,2.70051647705578,-1.81574221891848,0.922340097140148,-1.64404268989833,-1.65807560700813
"virus_comp_17959_cycle_1_5",3.8839994559063,2.57474068365927,2.60890402771858,1.95898896935432,-2.09195728947501,1.71176359596606,-3.32325571844616,-0.554144812542859
