"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1468_16","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.87290956878694,0.865505662793453,-2.16394837064619,0.0304683120295651,-3.56926949627758,-0.176549641296309
"edge_1468_16","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.407001666688146,1.01141370000511,0.40240869456889,0.687383272298814,-1.57533275879226,2.38933609216856
"edge_1468_16","fixed","cond",NA,"feeding_first_yearFormula",0.602775952733433,0.843551838347639,0.714568951582346,0.474875435741541,-1.05055526952049,2.25610717498736
"edge_1468_16","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.560031072679107,0.69857810903229,-0.80167280571516,0.422742250469197,-1.92921900677049,0.809156861412276
"edge_1468_16","fixed","cond",NA,"Delivery.ModeC-Section",-27.2974286919922,234581.255198862,-0.000116366623875601,0.999907152867626,-459798.10906666,459743.514209276
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-20.1435493119114,34899.1305820237,-0.000577193442242577,0.999539466289409,-68421.1825818387,68380.8954832149
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",0.00903891419421482,1.84744914235688,0.00489264574974088,0.996096249069464,-3.61189486809467,3.6299726964831
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",1.17023448207965,2.02923216508257,0.576688316997989,0.564150026062355,-2.80698747775242,5.14745644191173
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-21.0623463743001,51267.6808585376,-0.000410830878666371,0.999672204394032,-100503.870400001,100461.745707253
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-27.3671464080783,646718.494690896,-4.23169379455563e-05,0.999966235968563,-1267572.32487652,1267517.59058371
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-0.388268263638047,1.87037160139005,-0.20758883600964,0.835550022055156,-4.05412924006905,3.27759271279296
"edge_1468_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-3.41110411196139,79799.1740226026,-4.2746108011033e-05,0.999965893540394,-156406.918184457,156400.095976233
"edge_1468_16","ran_pars","cond","patientID","sd__(Intercept)",1.80166084939224e-06,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"(Intercept)",-46.7171825557261,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC",44.6069081082919,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-6",-16.0838215506205,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-12",45.3095341605187,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-18",44.900353382024,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-24",-38.4551515429101,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-30",45.7723506267819,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-36",44.7969243391254,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"onset_timeline_combinedt0-over42",-11.5981708650358,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"SexMale",0.292736875034709,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.00239914538310712,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.02361627001261,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.577540374834216,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"feeding_first_yearFormula",-0.513006381242731,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.859102335961046,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Delivery.ModeC-Section",-34.9327145254894,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-6.73698604199992,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-86.5484426474908,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-43.989918658202,NA,NA,NA,NA,NA
"edge_1468_40","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",38.9972419057859,NA,NA,NA,NA,NA
