"orf_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_1497_6","edge_1497_6","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_6","edge_1497_6","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_6","edge_1497_6","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_6","edge_1497_6","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_6","edge_1497_6","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_6","edge_1497_6","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_7","edge_1497_7","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_8","edge_1497_8","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-6",60.5340672626995,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-12",-219.708056594008,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-18",-866.300839393001,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-24",-850.29423409333,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-30",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-36",-439.355254199022,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1497_9","edge_1497_9","t0-over42",-546.219884802544,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-6",74.818941811811,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-12",61.6269137538297,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-18",-20.211757606535,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-24",-37.2162723516934,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-30",-37.0989898705744,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-36",-37.0989898705744,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_16","edge_1501_16","t0-over42",-40.0953021138687,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-6",-32.8971400899669,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-12",218.383905124711,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-18",-134.769924751277,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-24",-138.275617374924,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-30",2.37967132728764,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-36",2.37967132728765,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1501_9","edge_1501_9","t0-over42",2.56412660935065,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-6",-0.461074915553118,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-12",-45.501241087964,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-18",-46.700293694931,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-24",-3.36274249211186,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-30",-5.53088650558353,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-36",-56.1109815513692,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_1512_1","edge_1512_1","t0-over42",-80.6693500320718,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-6",2.9213272451248,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-12",-37.8615201327308,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-18",-4.11780053221268,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-24",-39.3517558487446,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-30",-7.60826746627138,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-36",-7.60826746627138,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_2","edge_16_2","t0-over42",-13.7558766628919,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-6",3.8529254841766,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-12",-59.922903203759,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-18",-10.2419120958048,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-24",-63.9993684550318,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-30",-4.58342760863478,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-36",-77.9192944594894,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
"edge_16_4","edge_16_4","t0-over42",-22.7112748446562,NA,NA,NA,NA,"PA_glmmTMB_logit",NA,7
