"gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model"
"edge_1468_62","t0-12",-23.9804236563009,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_62","t0-18",-3.91537218006208,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_62","t0-24",-18.2637139356652,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_62","t0-30",-23.0917043008039,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_62","t0-36",0.0469468345938475,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_62","t0-over42",-5.13989816936189,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-6",4.32332875554988,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-12",-30.3621289018098,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-18",34.0603453271418,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-24",5.7520274845752,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-30",-18.9498079671095,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-36",-32.0972982408532,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_66","t0-over42",7.23760792626719,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-6",2.48172749931951,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-12",-36.790177172188,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-18",100.962924338401,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-24",5.24798380764119,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-30",-26.3580479411382,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-36",-39.0780544134807,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_69","t0-over42",8.481101512531,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-6",-13.2996867733351,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-12",17.8498234890443,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-18",20.0921033753445,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-24",-9.14499384039099,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-30",-9.527320554267,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-36",19.1149820469824,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_71","t0-over42",-12.1569378040868,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-6",-2.37066588356514,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-12",10.2703817373157,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-18",10.919590777438,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-24",-8.59201777205337,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-30",-13.1260664276813,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-36",10.7425853642501,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_72","t0-over42",-4.66176633971967,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_73","t0-6",-3.58082058996817,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_73","t0-12",18.5183068928504,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_73","t0-18",19.402430651644,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_73","t0-24",19.4029043383023,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_73","t0-30",-28.0647054711988,NA,NA,NA,NA,"PA_glmmTMB_logit"
