protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_3_171347|610|45	sample-1_3_171347	34963	36792	+	False		cl_312
sample-1_3_171347|1068|46	sample-1_3_171347	36798	40001	+	False		cl_789
sample-1_3_171347|755|47	sample-1_3_171347	40001	42265	+	False	Tstab	cl_333
sample-1_3_171347|692|48	sample-1_3_171347	42448	44523	+	False	Tstab	cl_333
sample-1_3_171347|438|49	sample-1_3_171347	44537	45850	+	False		cl_149
sample-1_3_171347|201|50	sample-1_3_171347	45850	46452	+	False	cls524_unk	cl_147
sample-1_3_171347|55|51	sample-1_3_171347	46965	47129	+	False	cls164	cl_2987
sample-1_3_171347|1538|52	sample-1_3_171347	47186	51799	+	False		cl_207
sample-1_3_171347|632|53	sample-1_3_171347	51802	53697	+	False		cl_156
sample-1_3_171347|2031|54	sample-1_3_171347	53701	59793	+	False	SF1_tr	cl_144
sample-1_3_171347|520|55	sample-1_3_171347	59859	61418	+	False	GIY	
sample-1_3_171347|51|56	sample-1_3_171347	61438	61590	+	False	GIY	
sample-1_3_171347|332|57	sample-1_3_171347	61580	62575	+	False	RNApA	
sample-1_3_171347|1805|58	sample-1_3_171347	62544	67958	+	False		cl_77
sample-1_3_171347|839|59	sample-1_3_171347	68236	70752	+	False	ZnMc_tr	cl_77
sample-1_3_171347|752|60	sample-1_3_171347	70752	73007	+	False	cls14_unk	cl_146
sample-1_3_171347|655|61	sample-1_3_171347	73225	75189	+	False	cls14_unk	cl_146
sample-1_3_171347|103|62	sample-1_3_171347	75295	75603	-	False		cl_918
sample-1_3_171347|55|63	sample-1_3_171347	75603	75767	-	False	12z253_unk	cl_532
sample-1_3_171347|242|64	sample-1_3_171347	75751	76476	-	False	dNK	cl_20
sample-1_3_171347|402|65	sample-1_3_171347	76477	77682	-	False		cl_664
sample-1_3_171347|262|66	sample-1_3_171347	77684	78469	-	False	AAA_ATP_3	cl_784
sample-1_3_171347|248|67	sample-1_3_171347	78704	79447	-	False	GIY	cl_1293
sample-1_3_171347|166|68	sample-1_3_171347	79512	80009	-	False	AAA_ATP_3	cl_714
sample-1_3_171347|398|69	sample-1_3_171347	80013	81206	-	False	Pept_M48	cl_618
sample-1_3_171347|76|70	sample-1_3_171347	81220	81447	-	False		cl_859
sample-1_3_171347|143|71	sample-1_3_171347	81449	81877	-	False	Thy1	cl_7
sample-1_3_171347|71|72	sample-1_3_171347	81901	82113	-	False		cl_2149
sample-1_3_171347|169|73	sample-1_3_171347	82238	82744	-	False	Thy1	cl_7
sample-1_3_171347|87|74	sample-1_3_171347	82731	82991	-	False	TRX	cl_241
sample-1_3_171347|84|75	sample-1_3_171347	83184	83435	-	False	DNApB	
sample-1_3_171347|138|76	sample-1_3_171347	83612	84025	-	False	DNApB	cl_1
sample-1_3_171347|170|77	sample-1_3_171347	84467	84976	-	False	DNApB	cl_1440
sample-1_3_171347|66|78	sample-1_3_171347	84970	85167	-	False	12z003_unk	cl_657
sample-1_3_171347|117|79	sample-1_3_171347	85151	85501	-	False		cl_812
sample-1_3_171347|55|80	sample-1_3_171347	85604	85768	-	False	11z110_unk	cl_566
sample-1_3_171347|139|81	sample-1_3_171347	85770	86186	-	False	PNK	cl_131
sample-1_3_171347|168|82	sample-1_3_171347	86203	86706	-	False	12z280_unk	cl_527
sample-1_3_171347|150|83	sample-1_3_171347	86699	87148	-	False		cl_831
sample-1_3_171347|133|84	sample-1_3_171347	87132	87530	-	False	14z202_unk	cl_764
sample-1_3_171347|251|85	sample-1_3_171347	87530	88282	-	False	DNA_lig	cl_8
sample-1_3_171347|213|86	sample-1_3_171347	88358	88996	-	False	HNH	cl_509
sample-1_3_171347|150|87	sample-1_3_171347	89202	89651	-	False	DNA_lig	cl_2093
sample-1_3_171347|101|88	sample-1_3_171347	89653	89955	-	False	SF1	cl_2203
sample-1_3_171347|199|89	sample-1_3_171347	89991	90587	-	False	SF1	
sample-1_3_171347|161|90	sample-1_3_171347	90559	91041	-	False	SF1	cl_5
sample-1_3_171347|185|91	sample-1_3_171347	91043	91597	-	False	dUTP	cl_21
sample-1_3_171347|121|92	sample-1_3_171347	91584	91946	-	False	HNH	cl_623
sample-1_3_171347|177|93	sample-1_3_171347	91988	92518	-	False	RNR	cl_175
sample-1_3_171347|272|94	sample-1_3_171347	92619	93434	-	False	RNR	cl_175
sample-1_3_171347|269|95	sample-1_3_171347	93532	94338	-	False	GIY	cl_14
sample-1_3_171347|265|96	sample-1_3_171347	94574	95368	-	False	RNR	cl_175
sample-1_3_171347|78|97	sample-1_3_171347	95410	95643	-	False	cls495_unk	cl_172
sample-1_3_171347|124|98	sample-1_3_171347	95591	95962	-	False	cls495_unk	cl_172
sample-1_3_171347|340|99	sample-1_3_171347	95965	96984	-	False	PDDEXK_beta	cl_237
sample-1_3_171347|98|100	sample-1_3_171347	96974	97267	-	False		cl_833
sample-1_3_171347|192|101	sample-1_3_171347	97518	98093	-	False		cl_655
sample-1_3_171347|311|102	sample-1_3_171347	98101	99033	-	False	LAGLIDADG	cl_713
sample-1_3_171347|215|103	sample-1_3_171347	99094	99738	-	False	NT5C	cl_170
sample-1_3_171347|69|104	sample-1_3_171347	99719	99925	-	False	12z357_unk	cl_538
sample-1_3_171347|132|105	sample-1_3_171347	99918	100313	-	False	endonucl	cl_167
sample-1_3_171347|343|106	sample-1_3_171347	100261	101289	-	False	primase	cl_2
sample-1_3_171347|222|107	sample-1_3_171347	101312	101977	-	False	ssb	cl_164
sample-1_3_171347|152|108	sample-1_3_171347	101990	102445	-	False	cls82_unk	cl_163
sample-1_3_171347|130|109	sample-1_3_171347	102456	102845	-	False	ATP_43b	cl_785
sample-1_3_171347|201|110	sample-1_3_171347	102922	103524	-	False	HNH	cl_332
sample-1_3_171347|125|111	sample-1_3_171347	103623	103997	-	False	ATP_43b	cl_230
sample-1_3_171347|375|112	sample-1_3_171347	104000	105124	-	False	DnaB	cl_87
sample-1_3_171347|202|113	sample-1_3_171347	105124	105729	-	False	Rep_Org	cl_162
sample-1_3_171347|408|114	sample-1_3_171347	105776	106999	-	False	SNF2	cl_24
sample-1_3_171347|281|115	sample-1_3_171347	107045	107887	-	False		cl_159
sample-1_3_171347|110|116	sample-1_3_171347	107890	108219	-	False		cl_157
sample-1_3_171347|153|117	sample-1_3_171347	108182	108640	-	False	MPP	cl_1659
sample-1_3_171347|52|118	sample-1_3_171347	108826	108981	-	False	MPP	cl_529
sample-1_3_171347|50|119	sample-1_3_171347	108993	109142	-	False	ferritin	cl_226
sample-1_3_171347|139|120	sample-1_3_171347	109151	109567	-	False	ferritin	cl_226
sample-1_3_171347|120|121	sample-1_3_171347	109607	109966	-	False		cl_521
sample-1_3_171347|147|122	sample-1_3_171347	109953	110393	-	False	Rnase_H	cl_158
sample-1_3_171347|114|123	sample-1_3_171347	110386	110727	-	False		cl_619
sample-1_3_171347|61|124	sample-1_3_171347	110708	110890	-	False		cl_749
sample-1_3_171347|133|125	sample-1_3_171347	110865	111263	-	False		cl_498
sample-1_3_171347|162|126	sample-1_3_171347	111285	111770	-	False		cl_753
sample-1_3_171347|170|127	sample-1_3_171347	111758	112267	-	False		cl_439
sample-1_3_171347|87|128	sample-1_3_171347	112257	112517	-	False		cl_682
sample-1_3_171347|30|129	sample-1_3_171347	112701	112790	-	False		cl_845
sample-1_3_171347|37|130	sample-1_3_171347	112848	112958	-	False		cl_846
sample-1_3_171347|103|131	sample-1_3_171347	112958	113266	-	False		cl_847
sample-1_3_171347|202|132	sample-1_3_171347	113268	113873	-	False		cl_171
sample-1_3_171347|55|133	sample-1_3_171347	114006	114170	-	False		cl_947
sample-1_3_171347|190|134	sample-1_3_171347	114173	114742	-	False	HNH	cl_933
sample-1_3_171347|649|135	sample-1_3_171347	115265	117211	-	False		cl_810
sample-1_3_171347|392|136	sample-1_3_171347	117213	118388	-	False		cl_850
sample-1_3_171347|347|137	sample-1_3_171347	118388	119428	-	False		cl_643
sample-1_3_171347|46|138	sample-1_3_171347	119432	119569	-	False		cl_811
sample-1_3_171347|261|139	sample-1_3_171347	119605	120387	-	False		cl_750
sample-1_3_171347|286|140	sample-1_3_171347	120399	121256	-	False	NT	cl_598
sample-1_3_171347|90|141	sample-1_3_171347	121270	121539	-	False		cl_878
sample-1_3_171347|204|142	sample-1_3_171347	121620	122231	-	False	HNH	cl_86
sample-1_3_171347|80|143	sample-1_3_171347	122342	122581	-	False		cl_851
sample-1_3_171347|248|144	sample-1_3_171347	122595	123338	-	False		cl_752
sample-1_3_171347|97|145	sample-1_3_171347	123493	123783	-	False		cl_855
sample-1_3_171347|253|146	sample-1_3_171347	123785	124543	-	False		cl_818
sample-1_3_171347|89|147	sample-1_3_171347	124534	124800	-	False		cl_856
sample-1_3_171347|159|148	sample-1_3_171347	125012	125488	-	False		cl_843
sample-1_3_171347|174|149	sample-1_3_171347	125463	125984	-	False		cl_344
sample-1_3_171347|63|150	sample-1_3_171347	126100	126288	-	False		cl_1019
sample-1_3_171347|131|151	sample-1_3_171347	126257	126649	-	False	3A10_A	cl_685
sample-1_3_171347|72|152	sample-1_3_171347	126604	126819	-	False		cl_969
sample-1_3_171347|88|153	sample-1_3_171347	126822	127085	-	False		cl_969
sample-1_3_171347|63|154	sample-1_3_171347	127087	127275	-	False		cl_783
sample-1_3_171347|73|155	sample-1_3_171347	127262	127480	-	False		cl_412
sample-1_3_171347|121|156	sample-1_3_171347	127485	127847	-	False		cl_883
sample-1_3_171347|135|157	sample-1_3_171347	127847	128251	-	False	YqeY	cl_867
sample-1_3_171347|290|158	sample-1_3_171347	128559	129428	-	False		cl_747
sample-1_3_171347|243|159	sample-1_3_171347	129456	130184	-	False	HNH	cl_86
sample-1_3_171347|42|160	sample-1_3_171347	130414	130539	-	False		cl_965
sample-1_3_171347|101|161	sample-1_3_171347	130491	130793	-	False		cl_848
sample-1_3_171347|145|162	sample-1_3_171347	130736	131170	-	False		cl_782
sample-1_3_171347|88|163	sample-1_3_171347	131170	131433	-	False		cl_882
sample-1_3_171347|83|164	sample-1_3_171347	131435	131683	-	False		cl_690
sample-1_3_171347|92|165	sample-1_3_171347	131750	132025	-	False		cl_808
sample-1_3_171347|47|166	sample-1_3_171347	132038	132178	-	False		cl_841
sample-1_3_171347|106|167	sample-1_3_171347	132188	132505	-	False		cl_727
sample-1_3_171347|105|168	sample-1_3_171347	132661	132975	-	False		cl_826
sample-1_3_171347|87|169	sample-1_3_171347	133502	133762	-	False	52eps	cl_323
sample-1_3_171347|78|170	sample-1_3_171347	133746	133979	-	False		cl_323
sample-1_3_171347|82|171	sample-1_3_171347	133972	134217	-	False		cl_1163
sample-1_3_171347|114|172	sample-1_3_171347	134356	134697	-	False		cl_1061
sample-1_3_171347|94|173	sample-1_3_171347	134712	134993	-	False		cl_869
sample-1_3_171347|87|174	sample-1_3_171347	135229	135489	-	False		cl_870
sample-1_3_171347|67|175	sample-1_3_171347	135840	136040	-	False		cl_779
sample-1_3_171347|156|176	sample-1_3_171347	136040	136507	-	False	AAA_ATP_2	cl_615
sample-1_3_171347|207|177	sample-1_3_171347	136515	137135	-	False	AAA_ATP_2	cl_2943
sample-1_3_171347|304|178	sample-1_3_171347	137484	138395	-	False		
sample-1_3_171347|78|179	sample-1_3_171347	138505	138738	-	False		cl_759
sample-1_3_171347|148|180	sample-1_3_171347	139539	139982	-	False		cl_329
sample-1_3_171347|103|181	sample-1_3_171347	140159	140467	-	False		cl_924
sample-1_3_171347|193|182	sample-1_3_171347	140445	141023	-	False		cl_842
sample-1_3_171347|470|183	sample-1_3_171347	141145	142554	-	False	AAA_ATP_2	cl_549
sample-1_3_171347|95|184	sample-1_3_171347	142532	142816	-	False		cl_548
sample-1_3_171347|64|185	sample-1_3_171347	142824	143015	-	False		cl_853
sample-1_3_171347|123|186	sample-1_3_171347	143059	143427	-	False		cl_208
sample-1_3_171347|41|187	sample-1_3_171347	143617	143739	-	False		cl_966
sample-1_3_171347|91|188	sample-1_3_171347	143727	143999	-	False		cl_976
sample-1_3_171347|90|189	sample-1_3_171347	143987	144256	-	False		cl_370
sample-1_3_171347|91|190	sample-1_3_171347	144244	144516	-	False		cl_370
sample-1_3_171347|169|191	sample-1_3_171347	144673	145179	+	False	HNH	cl_86
sample-1_3_171347|289|192	sample-1_3_171347	146453	147319	-	False		cl_285
sample-1_3_171347|59|193	sample-1_3_171347	147324	147500	-	False		cl_1326
sample-1_3_171347|231|194	sample-1_3_171347	147502	148194	-	False	RNA_lig	cl_787
sample-1_3_171347|100|195	sample-1_3_171347	148197	148496	-	False		cl_711
sample-1_3_171347|55|196	sample-1_3_171347	149677	149841	-	False		cl_760
sample-1_3_171347|68|197	sample-1_3_171347	149871	150074	-	False		cl_892
sample-1_3_171347|388|198	sample-1_3_171347	150235	151398	-	False	portal	cl_449
sample-1_3_171347|108|199	sample-1_3_171347	151646	151969	-	False		cl_763
sample-1_3_171347|96|200	sample-1_3_171347	151927	152214	-	False		cl_849
sample-1_3_171347|56|201	sample-1_3_171347	153792	153959	-	False		cl_852
sample-1_3_171347|72|202	sample-1_3_171347	153946	154161	-	False		cl_830
sample-1_3_171347|68|203	sample-1_3_171347	154514	154717	-	False		cl_1400
sample-1_3_171347|64|204	sample-1_3_171347	154736	154927	-	False		cl_803
sample-1_3_171347|48|205	sample-1_3_171347	154938	155081	-	False		cl_2030
sample-1_3_171347|63|206	sample-1_3_171347	155081	155269	-	False		cl_1385
sample-1_3_171347|123|207	sample-1_3_171347	155272	155640	-	False		cl_844
sample-1_3_171347|243|208	sample-1_3_171347	155797	156525	-	False		cl_539
sample-1_3_171347|176|209	sample-1_3_171347	156773	157300	-	False		cl_814
sample-1_3_171347|83|210	sample-1_3_171347	158585	158833	-	False		cl_1430
sample-1_3_171347|92|211	sample-1_3_171347	158861	159136	-	False		cl_923
sample-1_3_171347|49|212	sample-1_3_171347	160733	160879	-	False		cl_1177
sample-1_3_171347|214|213	sample-1_3_171347	161020	161661	+	False		cl_1560
sample-1_3_171347|178|214	sample-1_3_171347	161798	162331	-	False		cl_1020
sample-1_3_171347|57|215	sample-1_3_171347	162381	162551	-	False		cl_880
sample-1_3_171347|151|216	sample-1_3_171347	162895	163347	-	False		cl_881
sample-1_3_171347|248|217	sample-1_3_171347	163853	164596	+	False	HTH	cl_393
sample-1_3_171347|112|218	sample-1_3_171347	164613	164948	+	False		cl_835
sample-1_3_171347|516|219	sample-1_3_171347	164990	166537	+	False		cl_367
sample-1_3_171347|73|220	sample-1_3_171347	166819	167037	+	False	lysozyme_gene42_IAS	
sample-1_3_171347|109|221	sample-1_3_171347	167338	167664	+	False		cl_839
sample-1_3_171347|79|222	sample-1_3_171347	168521	168757	+	False		cl_1721
sample-1_3_171347|83|223	sample-1_3_171347	168826	169074	+	False		
sample-1_3_171347|63|224	sample-1_3_171347	169429	169617	-	False		cl_1648
sample-1_3_171347|132|225	sample-1_3_171347	169610	170005	-	False		cl_2216
sample-1_3_171347|270|226	sample-1_3_171347	170007	170816	-	False		cl_1010
sample-1_3_171347|51|227	sample-1_3_171347	170779	170931	-	False		cl_1180
sample-1_3_171347|132|228	sample-1_3_171347	170937	171332	-	False		cl_136
