contigID	superkingdom	phylum	class	order	family	genus	species
virus_comp_11485_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11488_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_11491_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_11493_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Siphoviridae sp. ctZCl11
virus_comp_11495_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_11496_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11501_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_11522_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_11529_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11535_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	Skunavirus L6
virus_comp_11538_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11550_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11553_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_11565_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_11569_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Audreyjarvisvirus	NA
virus_comp_11570_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_11583_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11597_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_11606_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	Skunavirus S0139
virus_comp_11608_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_11634_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Arawnvirus	NA
virus_comp_11656_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11660_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Cequinquevirus	NA
virus_comp_11677_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_1814_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_1817_cycle_1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	NA
virus_comp_1819_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1820_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1824_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1828_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	Salasmaviridae	NA	NA
virus_comp_924_cycle_2	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_925_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_926_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_927_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_936_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Unaquatrovirus	NA
virus_comp_18177_cycle_1	Viruses	Uroviricota	Caudoviricetes	Crassvirales	Suoliviridae	NA	NA
virus_comp_18178_cycle_1	Viruses	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
virus_comp_18181_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Myoviridae sp. ctgXL3
virus_comp_18182_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_18186_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_18195_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_18303_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_18326_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_18332_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_18338_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_18347_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_18390_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_18407_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
edge_2104	Viruses	Uroviricota	Caudoviricetes	NA	NA	Leicestervirus	NA
edge_61	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
edge_2143	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
edge_3176	Viruses	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
edge_2429	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
edge_2435	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
edge_2454	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
edge_2455	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
edge_2461	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
edge_2483	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
edge_2484	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
edge_2486	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
edge_48771	Viruses	NA	NA	NA	NA	NA	NA
edge_1672	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
edge_48778	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
edge_1677	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
edge_1710	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
edge_976	Viruses	Uroviricota	Caudoviricetes	Crassvirales	Intestiviridae	Jahgtovirus	NA
edge_2007	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
edge_2008	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
edge_2018	Viruses	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
virus_comp_64_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_85_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Teubervirus	NA
virus_comp_996_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Ceduovirus	NA
virus_comp_999_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Jimmervirus	NA
virus_comp_1002_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	Herelleviridae	NA	NA
virus_comp_1003_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Cbastvirus	NA
virus_comp_1035_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_1036_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Unaquatrovirus	NA
virus_comp_1040_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1041_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1044_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1045_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9308_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_9312_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9318_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9325_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Myoviridae sp. ctgXL3
virus_comp_9347_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_9364_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Brigitvirus	NA
virus_comp_9365_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9370_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_9375_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9395_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_9399_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9406_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Unaquatrovirus	NA
virus_comp_9411_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9438_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Lughvirus	NA
virus_comp_9481_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9506_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Jimmervirus	NA
virus_comp_9510_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9529_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_9538_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9539_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9556_cycle_1	Viruses	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
virus_comp_9570_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9579_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9587_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9597_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_9606_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9611_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9633_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9646_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_9659_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9669_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_9673_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9681_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_9691_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9697_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_9699_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9700_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9707_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_9713_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_9717_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Badaztecvirus	NA
virus_comp_9730_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_9740_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_9749_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_1469_cycle_1	Viruses	Uroviricota	Caudoviricetes	Crassvirales	Suoliviridae	Culoivirus	NA
virus_comp_1470_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1471_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_1472_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Sozzivirus	NA
virus_comp_1473_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_1483_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_1485_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_3792_cycle_1	Viruses	Uroviricota	Caudoviricetes	Crassvirales	Intestiviridae	Endlipuvirus	NA
virus_comp_3793_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
