query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_3295	7146	OQ091527	Coxsackievirus A5 strain CVA5_200002659201_FRA19, complete genome	7385	0.0	6861	7136	96.15	99.86	12	7146	7218	83	minus	Coxsackievirus A5	complete genome
contig_3299	7126	JX575746	Human parechovirus 1 isolate CAU10-NN, complete genome	7348	0.0	6905	7111	97.1	99.79	8	7116	186	7295	plus	Human parechovirus 1	complete genome
contig_3301	5753	KY351623	Parechovirus A isolate 11-620/BE/DE/2011 polyprotein gene, partial cds	6859	0.0	4852	5631	86.17	97.88	124	5753	6855	1226	minus	Parechovirus A	partial cds
contig_3302	1278	OR728261	Human parechovirus 1B strain HPeV-1B/USA/WA-UW-6bd44/2021, complete genome	7268	0.0	1237	1278	96.79	100.0	1	1278	1492	215	minus	Human parechovirus 1B	complete genome
contig_3303	5587	KY351623	Parechovirus A isolate 11-620/BE/DE/2011 polyprotein gene, partial cds	6859	0.0	4812	5588	86.11	100.02	1	5587	1225	6811	plus	Parechovirus A	partial cds
contig_33655	1175	MH361019	Coxsackievirus A16 isolate SCO_SWG_2015_Coxsackievirus_A16.1 polyprotein gene, partial cds	3855	0.0	1143	1161	98.45	98.81	1	1161	2528	1368	minus	Coxsackievirus A16	partial cds
contig_3516	6521	PP558497	Echovirus E11 strain E11_315203045_FRA15 polyprotein gene, complete cds	7372	0.0	6314	6519	96.86	99.97	3	6521	772	7290	plus	Echovirus E11	complete cds
contig_37308	1117	OR728261	Human parechovirus 1B strain HPeV-1B/USA/WA-UW-6bd44/2021, complete genome	7268	0.0	1096	1117	98.12	100.0	1	1117	2272	3388	plus	Human parechovirus 1B	complete genome
contig_4110	5044	OP207971	Echovirus E3 isolate JH-114/2019, complete genome	7223	0.0	4296	5029	85.42	99.7	1	5027	2149	7176	plus	Echovirus E3	complete genome
contig_4215	4863	OQ091651	Coxsackievirus A16 strain CVA16_316188110_FRA16, complete genome	7409	0.0	4789	4863	98.48	100.0	1	4863	4931	69	minus	Coxsackievirus A16	complete genome
contig_42204	1058	OQ091474	Coxsackievirus A4 strain CVA4_180054630902_FRA18, complete genome	7413	0.0	1036	1058	97.92	100.0	1	1058	3329	4386	plus	Coxsackievirus A4	complete genome
contig_43881	1042	OQ091540	Coxsackievirus A8 strain CVA8_180032955402_FRA18, complete genome	7386	0.0	948	1001	94.71	96.07	42	1042	4855	3855	minus	Coxsackievirus A8	complete genome
contig_44945	1032	HF948107	Echovirus E18 partial gene for polyprotein, VP1 to 3Dpol region, strain E18_CF272084_FRA06	4110	0.0	923	1014	91.03	98.26	13	1026	2256	1243	minus	Echovirus E18 partial	
contig_48979	7188	PP756362	Coxsackievirus A1 strain CVA1_Wastewater_31/03/15_CFD_FRA_2015, complete genome	7399	0.0	6493	7189	90.32	100.01	1	7188	71	7258	plus	Coxsackievirus A1	complete genome
contig_49002	7313	KY271949	Coxsackievirus A4 strain USA/TN/2015-OB2038, complete genome	7378	0.0	6978	7302	95.56	99.85	12	7313	1	7302	plus	Coxsackievirus A4	complete genome
contig_49003	6484	PQ057347	Coxsackievirus A4 isolate CU3417/THA/2019 polyprotein gene, partial cds	6951	0.0	5950	6485	91.75	100.02	1	6484	6894	411	minus	Coxsackievirus A4	partial cds
contig_49004	6745	HM777023	Human echovirus 18 isolate Kor05-ECV18-054cn, complete genome	7413	0.0	5887	6743	87.31	99.97	1	6739	379	7117	plus	Human echovirus 18	complete genome
contig_49016	7265	OW122596	Coxsackievirus A2 isolate EVCG297 genome assembly, chromosome: EVCG-03-BE	7372	0.0	6651	7259	91.62	99.92	9	7265	7311	56	minus	Coxsackievirus A2	
contig_8104	2575	OP207971	Echovirus E3 isolate JH-114/2019, complete genome	7223	0.0	2285	2385	95.81	92.62	191	2575	1	2372	plus	Echovirus E3	complete genome
contig_9150	2351	MG672479	Enterovirus A71 isolate GIN-13-365, complete genome	7419	0.0	1991	2349	84.76	99.91	3	2351	3707	6055	plus	Enterovirus A71	complete genome
contig_9184	2344	OL839942	Coxsackievirus A6 strain HF705/YunN, complete genome	7413	0.0	2303	2340	98.42	99.83	1	2340	5002	7340	plus	Coxsackievirus A6	complete genome
contig_9975	2230	MN774490	MAG: TTV-like mini virus isolate SAfiA-494-7, partial genome	2842	0.0	1932	2056	93.97	92.2	173	2228	291	2346	plus	TTV-like mini virus	partial genome
