"","orf","total_PA"
"285","virus_comp_808_cycle_4_39",8
"286","virus_comp_808_cycle_4_40",8
"287","virus_comp_808_cycle_4_43",8
"288","virus_comp_808_cycle_4_44",8
"289","virus_comp_808_cycle_4_45",8
"290","virus_comp_808_cycle_4_46",8
"291","virus_comp_808_cycle_4_49",8
"292","virus_comp_808_cycle_4_50",8
"293","virus_comp_808_cycle_4_51",8
"294","virus_comp_808_cycle_4_6",8
"295","virus_comp_809_cycle_1_2",8
"296","virus_comp_809_cycle_1_5",8
"297","virus_comp_8430_cycle_1_3",8
"298","virus_comp_85_cycle_1_3",8
"299","virus_comp_8506_cycle_1_4",8
"300","virus_comp_86_cycle_1_3",8
"301","virus_comp_8731_cycle_1_4",8
"302","virus_comp_921_cycle_1_10",8
"303","virus_comp_952_cycle_1_13",8
"304","edge_1980_2",8
"305","edge_2044_9",8
"306","edge_2254_6",8
"307","edge_2381_37",8
"308","edge_2381_38",8
"309","edge_2486_41",8
"310","edge_263_27",8
"311","edge_284_11",8
"312","edge_284_17",8
"313","edge_295_31",8
"314","edge_295_61",8
"315","edge_300_3",8
"316","edge_303_12",8
"317","edge_311_1",8
"318","edge_311_14",8
"319","edge_311_20",8
"320","edge_311_5",8
"321","edge_330_48",8
"322","edge_48806_6",8
"323","edge_48806_8",8
"324","edge_965_25",8
"325","virus_comp_1035_cycle_1_1",7
"326","virus_comp_1102_cycle_1_7",7
"327","virus_comp_1146_cycle_3_1",7
"328","virus_comp_1146_cycle_3_11",7
"329","virus_comp_1146_cycle_3_12",7
"330","virus_comp_1146_cycle_3_13",7
"331","virus_comp_1146_cycle_3_14",7
"332","virus_comp_1146_cycle_3_17",7
"333","virus_comp_1146_cycle_3_18",7
"334","virus_comp_1146_cycle_3_19",7
"335","virus_comp_1146_cycle_3_8",7
"336","virus_comp_12035_cycle_1_1",7
"337","virus_comp_12586_cycle_1_2",7
"338","virus_comp_12981_cycle_1_1",7
"339","virus_comp_13158_cycle_1_2",7
"340","virus_comp_13172_cycle_1_3",7
"341","virus_comp_13172_cycle_1_5",7
"342","virus_comp_13909_cycle_1_1",7
"343","virus_comp_1420_cycle_1_11",7
"344","virus_comp_1533_cycle_1_4",7
"345","virus_comp_16893_cycle_1_2",7
"346","virus_comp_17787_cycle_1_3",7
"347","virus_comp_17787_cycle_1_4",7
"348","virus_comp_17794_cycle_1_1",7
"349","virus_comp_17808_cycle_1_2",7
"350","virus_comp_17808_cycle_1_3",7
"351","virus_comp_17832_cycle_1_2",7
"352","virus_comp_17861_cycle_1_51",7
"353","virus_comp_17861_cycle_1_52",7
"354","virus_comp_17870_cycle_1_1",7
"355","virus_comp_17889_cycle_1_34",7
"356","virus_comp_17889_cycle_1_50",7
"357","virus_comp_17896_cycle_1_3",7
"358","virus_comp_17903_cycle_1_1",7
"359","virus_comp_17903_cycle_1_11",7
"360","virus_comp_17903_cycle_1_13",7
"361","virus_comp_17903_cycle_1_2",7
"362","virus_comp_17903_cycle_1_36",7
"363","virus_comp_17903_cycle_1_39",7
"364","virus_comp_17903_cycle_1_42",7
"365","virus_comp_17910_cycle_1_44",7
"366","virus_comp_17910_cycle_1_46",7
"367","virus_comp_17910_cycle_1_5",7
"368","virus_comp_17920_cycle_1_2",7
"369","virus_comp_17955_cycle_1_16",7
