,02_GEMM_006_12M,02_GEMM_006_24M,02_GEMM_006_48M,02_GEMM_010_12M,02_GEMM_010_18M,02_GEMM_013_18M,02_GEMM_013_24M,02_GEMM_019_12M,02_GEMM_019_18M,02_GEMM_019_24M,02_GEMM_019_30M,02_GEMM_019_36M,02_GEMM_019_48M,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_18M,02_GEMM_027_12M,02_GEMM_027_18M,02_GEMM_030_18M,02_GEMM_030_24M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_034_12M,02_GEMM_034_18M,02_GEMM_035_12M,02_GEMM_038_18M,02_GEMM_038_24M,02_GEMM_038_30M,02_GEMM_038_36M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_047_12M,02_GEMM_047_18M,02_GEMM_047_24M,02_GEMM_047_30M,02_GEMM_050_12M,02_GEMM_050_18M,02_GEMM_050_24M,02_GEMM_050_30M,02_GEMM_050_36M,02_GEMM_050_48M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_070_12M,02_GEMM_070_18M,02_GEMM_070_30M,02_GEMM_077_18M,02_GEMM_090_12M,02_GEMM_090_18M,02_GEMM_090_24M,02_GEMM_090_30M,02_GEMM_101_12M,02_GEMM_101_18M,02_GEMM_115_12M,02_GEMM_115_18M,02_GEMM_115_24M,02_GEMM_115_30M,02_GEMM_115_36M,02_GEMM_115_48M,02_GEMM_120_12M,02_GEMM_120_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_174_12M,02_GEMM_174_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_30M
virus_comp_1103_cycle_1_6,0,0,0,0,0,0,0,0,0,831,2977,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,72,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185,0,0,149,449,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1006,842,0,0,0,0
virus_comp_1105_cycle_1_1,0,0,0,0,0,0,0,0,0,300,166,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,124,284,0,0,0,0,0,0,474,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,1186,98,0,0,0
virus_comp_1133_cycle_1_3,0,0,11338,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,3084,0,0,0,10217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,723,574,0,0,0,0,0,0,0,0,0,0,0,0,0,14383,66156,98996,0,0,217
virus_comp_1133_cycle_1_4,0,0,1838,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,419,0,0,0,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,228,234,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,26074,26854,0,0,191
virus_comp_15228_cycle_1_3,0,0,1327,0,0,0,0,0,9,548,2084,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,37,0,0,345,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_54_cycle_1_2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,252,504,831,257,107,0,0,0,0,0,0,26,0,0,0,0,0,0,234,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
virus_comp_5552_cycle_1_2,0,0,10974,0,0,0,0,0,90,5502,1666,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,36,209,138,411,6,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,0
edge_1980_3,0,25,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,4,0,0,0,0,0,0,0,56,0,401,139,0,0,0,357,0,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,60,0,0,0,0,0,0,0
virus_comp_103_cycle_1_1,0,0,1778,0,0,0,0,0,28,841,319,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,46,49,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,91,69,0,0,0,5739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_1133_cycle_1_2,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,451,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,117,123,0,0,0,0,0,0,0,0,0,0,0,0,0,725,5037,22679,0,0,28
virus_comp_12691_cycle_1_3,0,316,0,0,19,0,0,0,0,0,0,0,0,0,2084,0,0,5,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,182,394,946,126,85,0,0,0,0,0,0,45,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_54_cycle_1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,241,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,56,215,310,49,28,0,0,0,0,0,0,12,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_9222_cycle_1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,91,13,288,44,30,0,0,0,0,0,0,9,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
virus_comp_99_cycle_1_2,0,0,3584,0,0,0,0,0,0,551,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,40,40,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79,26,0,0,0,8182,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
edge_311_11,0,0,0,71,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,2475,63,236,0,0,0,56,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0,0,0,0
virus_comp_104_cycle_1_1,0,0,4026,0,0,0,0,0,0,1452,2207,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8906,0,0,0,349,148,275,0,0,14505,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_1102_cycle_1_2,0,0,0,0,0,0,0,0,0,138,176,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,107,78,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,484,218,130,0,0,0
virus_comp_1102_cycle_1_6,0,0,0,0,0,0,0,0,0,88,186,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,0,0,28,45,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,90,288,0,0,0
virus_comp_1103_cycle_1_11,0,0,0,0,0,0,0,0,0,432,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,97,222,0,0,0,0,0,0,511,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,154,128,0,0,0
virus_comp_1133_cycle_1_7,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,49,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,1661,10013,0,0,12
virus_comp_14513_cycle_1_1,0,0,0,79,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3061,144,367,0,0,0,107,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0
virus_comp_14666_cycle_1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,64,102,183,32,10,0,0,0,0,0,0,7,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
