,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
contig_11407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7443,0,0,0,0,0,0
contig_11444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27035,0,0,0,0,0
contig_1145,0,531,397,0,0,0,0,0,0,0,0,0,0,0,144,1800,0,0,0,0,0,0,0,0,0,0,0,2437,0,0,0,0,0,0,0,0,2394,0,269,0,0,1894,0,0,0,11594,1216
contig_11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
contig_1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380,16806,0,0,0,0,1767,2235,6242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11481,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0
contig_11517,0,1519,0,0,0,0,0,0,0,0,0,0,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,10176,0,42289,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0
contig_11533,2513,0,2861,0,0,0,0,0,0,0,0,0,4505,0,1109,0,14129,0,3760,0,0,0,0,0,0,0,0,1709,0,0,0,0,0,0,0,0,0,0,14855,10016,0,3699,0,2734,0,0,4961
contig_11534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
contig_11538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,0,0,4247,21683,0,3418,0,0,0,0,436,0,0,0,0,0,0,0,0,14506,0,0,0,8665,1585,0,0,0,0,0,0,315
