"orf_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_1468_32","edge_1468_32","t0-12",-13.2961149837309,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_32","edge_1468_32","t0-18",-4.03535187181784,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_32","edge_1468_32","t0-24",-12.3977739987934,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_32","edge_1468_32","t0-30",-18.1514995916711,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_32","edge_1468_32","t0-36",44.7094321826621,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_32","edge_1468_32","t0-over42",-1.69739649671704,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-6",-4.86483852091245,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-12",-9.82090531890256,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-18",-3.50181207001705,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-24",-6.68203976858553,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-30",-11.8516319994767,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-36",39.087454023682,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_33","edge_1468_33","t0-over42",-6.73249532251932,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-6",-10.1030803432248,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-12",-23.9748475691245,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-18",46.8449777262185,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-24",-9.87169343392756,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-30",-25.7170934534936,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-36",37.9420264295109,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_36","edge_1468_36","t0-over42",2.09728513918387,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-6",-10.9284470567946,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-12",-22.8008500368472,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-18",-11.0121598960122,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-24",87.2594688370127,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-30",-39.3323351218797,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-36",40.6839893353805,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_37","edge_1468_37","t0-over42",-15.035229231965,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-6",-5.62780264827268,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-12",-3.33931137454657,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-18",-5.81290901938368,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-24",-11.3280066604473,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-30",-15.0386601387645,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-36",42.2551148747318,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_38","edge_1468_38","t0-over42",-10.713745191756,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-6",-5.96860486146009,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-12",-41.8975702486768,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-18",10.8426779710175,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-24",68.857069268944,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-30",-10.6210042694328,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-36",20.8996091883201,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_39","edge_1468_39","t0-over42",-18.84514653624,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-6",-10.7656636769145,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-12",-54.3925053646483,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-18",-30.0206212069769,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-24",32.7385440973818,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-30",-30.8280709135368,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-36",-20.5938041510171,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_40","edge_1468_40","t0-over42",-14.9685583621617,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-6",-8.72234445373448,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-12",-30.5022147179742,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-18",15.1150502558679,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-24",21.3249521001585,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-30",13.4912203021794,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-36",28.0982809953073,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_41","edge_1468_41","t0-over42",-7.27731143240429,NA,NA,NA,NA,"abundance_nbinom",NA,7
