"orf_id","term","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","OR","source"
"edge_1497_6","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_6","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_6","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_6","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_6","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_6","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_7","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_8","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_9","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-12) vs t0",0.406600551895771,NA,NA,NA,NA,NA,NA,1.50170413297192,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-18) vs t0",-38.1877969699127,NA,NA,NA,NA,NA,NA,2.60165976103772e-17,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-24) vs t0",-74.4280333650933,NA,NA,NA,NA,NA,NA,4.74586970366505e-33,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-30) vs t0",-111.318999233173,NA,NA,NA,NA,NA,NA,4.51619725075952e-49,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-36) vs t0",-111.318999233173,NA,NA,NA,NA,NA,NA,4.51619725076022e-49,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-6) vs t0",-1.28432545989497,NA,NA,NA,NA,NA,NA,0.276837258498476,"model_or_emmeans"
"edge_1501_16","TP (CELIAC): (t0-over42) vs t0",-77.7170196935217,NA,NA,NA,NA,NA,NA,1.76981225134965e-34,"model_or_emmeans"
