old_id	new_id
virus_comp_1219_cycle_1	sample-1_396_14856
virus_comp_1220_cycle_1	sample-1_397_14854
virus_comp_17981_cycle_1	sample-1_398_14845
virus_comp_17951_cycle_1	sample-1_399_14820
virus_comp_462_cycle_1	sample-1_400_14794
virus_comp_1146_cycle_3	sample-1_401_14759
virus_comp_472_cycle_1	sample-1_402_14753
virus_comp_1223_cycle_1	sample-1_403_14716
virus_comp_1222_cycle_1	sample-1_404_14715
virus_comp_17968_cycle_1	sample-1_405_14707
virus_comp_1146_cycle_2	sample-1_406_14668
virus_comp_1146_cycle_1	sample-1_407_14635
virus_comp_17969_cycle_1	sample-1_408_14613
virus_comp_1226_cycle_1	sample-1_409_14603
virus_comp_1227_cycle_1	sample-1_410_14599
virus_comp_1228_cycle_1	sample-1_411_14596
virus_comp_1232_cycle_1	sample-1_412_14508
virus_comp_1233_cycle_1	sample-1_413_14495
edge_2261	sample-1_414_14472
virus_comp_1231_cycle_1	sample-1_415_14470
virus_comp_1235_cycle_1	sample-1_416_14459
virus_comp_17971_cycle_1	sample-1_417_14446
virus_comp_125_cycle_1	sample-1_418_14443
virus_comp_1234_cycle_1	sample-1_419_14443
virus_comp_1017_cycle_3	sample-1_420_14438
virus_comp_17972_cycle_1	sample-1_421_14397
virus_comp_1236_cycle_1	sample-1_422_14382
virus_comp_622_cycle_1	sample-1_423_14337
virus_comp_1239_cycle_1	sample-1_424_14329
edge_311	sample-1_425_14326
virus_comp_1240_cycle_1	sample-1_426_14283
virus_comp_1242_cycle_1	sample-1_427_14221
virus_comp_1017_cycle_1	sample-1_428_14217
edge_2429	sample-1_429_14210
virus_comp_645_cycle_1	sample-1_430_14184
virus_comp_1243_cycle_1	sample-1_431_14178
virus_comp_1244_cycle_1	sample-1_432_14133
virus_comp_1111_cycle_2	sample-1_433_14110
virus_comp_1111_cycle_1	sample-1_434_14040
virus_comp_1121_cycle_1	sample-1_435_13980
virus_comp_1256_cycle_1	sample-1_436_13977
virus_comp_1255_cycle_1	sample-1_437_13973
edge_16	sample-1_438_13970
virus_comp_1111_cycle_3	sample-1_439_13946
virus_comp_17923_cycle_1	sample-1_440_13942
virus_comp_1121_cycle_2	sample-1_441_13854
virus_comp_1265_cycle_1	sample-1_442_13805
virus_comp_1264_cycle_1	sample-1_443_13786
virus_comp_1270_cycle_1	sample-1_444_13766
edge_1474	sample-1_445_13750
virus_comp_1271_cycle_1	sample-1_446_13733
virus_comp_1272_cycle_1	sample-1_447_13731
edge_48778	sample-1_448_13699
edge_3739	sample-1_449_13699
virus_comp_989_cycle_1	sample-1_450_13661
virus_comp_1281_cycle_1	sample-1_451_13659
virus_comp_1282_cycle_1	sample-1_452_13640
virus_comp_17927_cycle_1	sample-1_453_13638
virus_comp_1283_cycle_1	sample-1_454_13631
virus_comp_1286_cycle_1	sample-1_455_13594
virus_comp_17999_cycle_1	sample-1_456_13584
virus_comp_473_cycle_1	sample-1_457_13524
virus_comp_1297_cycle_1	sample-1_458_13515
virus_comp_1285_cycle_1	sample-1_459_13478
virus_comp_1298_cycle_1	sample-1_460_13466
edge_2435	sample-1_461_13408
virus_comp_17986_cycle_1	sample-1_462_13389
virus_comp_73_cycle_1	sample-1_463_13320
virus_comp_17799_cycle_1	sample-1_464_13311
virus_comp_1306_cycle_1	sample-1_465_13304
virus_comp_1047_cycle_1	sample-1_466_13243
virus_comp_1311_cycle_1	sample-1_467_13207
edge_2375	sample-1_468_13153
edge_48622	sample-1_469_13135
edge_1333	sample-1_470_13100
virus_comp_1313_cycle_1	sample-1_471_13094
virus_comp_1314_cycle_1	sample-1_472_13090
edge_1707	sample-1_473_13077
virus_comp_17990_cycle_1	sample-1_474_13006
virus_comp_17980_cycle_1	sample-1_475_12992
edge_2434	sample-1_476_12960
virus_comp_1330_cycle_1	sample-1_477_12914
virus_comp_17991_cycle_1	sample-1_478_12886
virus_comp_1331_cycle_1	sample-1_479_12870
virus_comp_1333_cycle_1	sample-1_480_12857
virus_comp_1334_cycle_1	sample-1_481_12803
virus_comp_17995_cycle_1	sample-1_482_12794
virus_comp_1346_cycle_1	sample-1_483_12730
virus_comp_1347_cycle_1	sample-1_484_12725
virus_comp_1353_cycle_1	sample-1_485_12637
virus_comp_1354_cycle_1	sample-1_486_12598
virus_comp_1355_cycle_1	sample-1_487_12551
virus_comp_1357_cycle_1	sample-1_488_12526
virus_comp_17796_cycle_1	sample-1_489_12497
edge_1677	sample-1_490_12496
virus_comp_1359_cycle_1	sample-1_491_12485
virus_comp_1166_cycle_1	sample-1_492_12437
virus_comp_1366_cycle_1	sample-1_493_12429
virus_comp_17994_cycle_1	sample-1_494_12416
virus_comp_18009_cycle_1	sample-1_495_12384
virus_comp_1367_cycle_1	sample-1_496_12340
virus_comp_1393_cycle_1	sample-1_497_12276
virus_comp_1372_cycle_1	sample-1_498_12247
virus_comp_1373_cycle_1	sample-1_499_12239
edge_1632	sample-1_500_12209
virus_comp_1375_cycle_1	sample-1_501_12205
virus_comp_1379_cycle_1	sample-1_502_12172
edge_1862	sample-1_503_12170
virus_comp_1378_cycle_1	sample-1_504_12155
virus_comp_1193_cycle_1	sample-1_505_12135
virus_comp_355_cycle_1	sample-1_506_12102
virus_comp_1380_cycle_1	sample-1_507_12055
virus_comp_17789_cycle_1	sample-1_508_12043
virus_comp_791_cycle_1	sample-1_509_12009
virus_comp_1381_cycle_1	sample-1_510_11978
virus_comp_1382_cycle_1	sample-1_511_11932
virus_comp_430_cycle_1	sample-1_512_11928
virus_comp_1383_cycle_1	sample-1_513_11928
virus_comp_1388_cycle_1	sample-1_514_11810
virus_comp_1392_cycle_1	sample-1_515_11798
virus_comp_1390_cycle_1	sample-1_516_11797
virus_comp_1391_cycle_1	sample-1_517_11779
virus_comp_792_cycle_1	sample-1_518_11757
virus_comp_17983_cycle_1	sample-1_519_11660
virus_comp_1400_cycle_1	sample-1_520_11656
virus_comp_1403_cycle_1	sample-1_521_11632
virus_comp_1405_cycle_1	sample-1_522_11602
virus_comp_1158_cycle_2	sample-1_523_11582
edge_48967	sample-1_524_11575
virus_comp_1260_cycle_2	sample-1_525_11558
virus_comp_1406_cycle_1	sample-1_526_11555
virus_comp_1407_cycle_1	sample-1_527_11548
edge_1494	sample-1_528_11542
virus_comp_1408_cycle_1	sample-1_529_11530
virus_comp_1158_cycle_1	sample-1_530_11521
virus_comp_1409_cycle_1	sample-1_531_11513
virus_comp_1417_cycle_1	sample-1_532_11492
edge_2018	sample-1_533_11472
virus_comp_1420_cycle_1	sample-1_534_11439
virus_comp_465_cycle_1	sample-1_535_11421
virus_comp_18128_cycle_1	sample-1_536_11347
virus_comp_1422_cycle_1	sample-1_537_11327
virus_comp_1421_cycle_1	sample-1_538_11310
virus_comp_1430_cycle_1	sample-1_539_11237
virus_comp_1428_cycle_1	sample-1_540_11220
virus_comp_1426_cycle_1	sample-1_541_11214
virus_comp_1278_cycle_1	sample-1_542_11191
virus_comp_522_cycle_1	sample-1_543_11138
virus_comp_377_cycle_1	sample-1_544_11134
virus_comp_18018_cycle_1	sample-1_545_11124
virus_comp_1436_cycle_1	sample-1_546_11120
virus_comp_1434_cycle_1	sample-1_547_11102
virus_comp_1435_cycle_1	sample-1_548_11099
virus_comp_1438_cycle_1	sample-1_549_11085
virus_comp_1260_cycle_1	sample-1_550_11013
virus_comp_1444_cycle_1	sample-1_551_10991
virus_comp_1445_cycle_1	sample-1_552_10958
virus_comp_1448_cycle_1	sample-1_553_10956
virus_comp_1447_cycle_1	sample-1_554_10952
virus_comp_1455_cycle_1	sample-1_555_10931
virus_comp_1450_cycle_1	sample-1_556_10899
virus_comp_1796_cycle_1	sample-1_557_10889
virus_comp_1451_cycle_1	sample-1_558_10884
virus_comp_17947_cycle_1	sample-1_559_10868
virus_comp_1458_cycle_1	sample-1_560_10835
virus_comp_1465_cycle_1	sample-1_561_10784
virus_comp_1466_cycle_1	sample-1_562_10775
virus_comp_1342_cycle_1	sample-1_563_10773
virus_comp_1470_cycle_1	sample-1_564_10758
virus_comp_1468_cycle_1	sample-1_565_10734
virus_comp_1469_cycle_1	sample-1_566_10727
virus_comp_18052_cycle_1	sample-1_567_10651
virus_comp_1483_cycle_1	sample-1_568_10644
edge_2859	sample-1_569_10580
virus_comp_1485_cycle_1	sample-1_570_10557
virus_comp_1487_cycle_1	sample-1_571_10552
virus_comp_17792_cycle_1	sample-1_572_10546
virus_comp_1488_cycle_1	sample-1_573_10539
virus_comp_1491_cycle_1	sample-1_574_10538
virus_comp_17954_cycle_1	sample-1_575_10486
