qname	tname	num_alns	pid	qcov	tcov
sample-1_2895_2535	MZ130493_1_100650	1	86.42	3.2	0.08
sample-1_2895_2535	sample-1_9_104613	1	85.71	3.2	0.08
sample-1_2895_2535	MT774405_1_99848	1	88.14	2.21	0.06
sample-1_2895_2535	3300014788_____Ga0134381_1000049	1	88.14	2.21	0.06
sample-1_2809_2618	MN019_S19_74	1	70.48	33.42	0.85
sample-1_2809_2618	MT774388_1_102301	1	87.91	3.44	0.09
sample-1_2809_2618	sample-1_4061_1441	1	98.33	2.29	4.16
sample-1_347_16656	MZ130478_1_100314	3	79.99	59.97	9.99
sample-1_347_16656	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	3	80.35	65.37	10.73
sample-1_347_16656	MT074136_1_99494	2	79.37	38.76	6.44
sample-1_347_16656	MH675552_1_102679	2	74.28	21.95	3.56
sample-1_347_16656	MT774378_1_101662	2	78.61	9.27	1.51
sample-1_347_16656	Monaco_MBA4038_NODE_3_length_106353_cov_62.035654	2	80.01	8.7	1.35
sample-1_347_16656	MT774388_1_102301	2	77.83	9.3	1.51
sample-1_347_16656	MN019_S19_74	2	78.13	8.48	1.38
sample-1_347_16656	KJ003983_1_99915	1	76.3	5.47	0.91
sample-1_347_16656	OLRZ01000056	1	76.43	4.85	0.84
sample-1_347_16656	MT774389_1_101082	1	75.2	5.1	0.83
sample-1_347_16656	ERR589851_NODE_110_length_101537_cov_76.3839	1	80.76	2.2	0.36
sample-1_347_16656	sample-1_516_11797	1	100.0	0.76	1.08
sample-1_7_152939	sample-1_4_157545	36	94.94	83.73	81.51
sample-1_7_152939	OMGY01000027	47	94.54	78.73	81.83
sample-1_7_152939	OBWI01000023	32	94.59	87.53	86.9
sample-1_7_152939	OJSE01000052	48	94.17	77.85	79.82
sample-1_7_152939	OLOZ01000027	33	94.94	83.5	82.65
sample-1_7_152939	OIWQ01000029	40	94.45	87.58	88.5
sample-1_7_152939	sample-1_5_155540	46	89.27	83.71	82.82
sample-1_7_152939	OGZF01000025	41	93.62	86.02	87.27
sample-1_7_152939	OJOU01000011	2	79.06	1.93	1.92
sample-1_7_152939	OGZF01000022	1	83.25	0.75	0.72
sample-1_7_152939	OLOG01000029	3	78.77	1.77	1.74
sample-1_7_152939	OHXK01000005	2	79.55	1.24	1.26
sample-1_7_152939	PPYF01266999	4	79.34	2.11	2.09
sample-1_7_152939	OHKV01000027	2	80.4	0.99	1.0
sample-1_7_152939	OIAT01000008	4	80.02	1.7	1.7
sample-1_7_152939	OGOO01000044	2	76.83	1.36	1.37
sample-1_7_152939	OJQQ01000027	2	81.04	0.92	0.88
sample-1_7_152939	OLQV01000028	3	82.08	0.94	0.92
sample-1_7_152939	OHEN01000023	2	80.84	0.68	0.68
sample-1_7_152939	OLRA01000126	2	78.77	0.55	0.84
sample-1_7_152939	MZ130477_1_100971	3	87.69	0.34	0.52
sample-1_7_152939	ERR843949_ms_1	4	93.67	0.34	0.52
sample-1_7_152939	OHYE01000011	2	78.42	0.59	0.57
sample-1_7_152939	OLPB01000025	3	92.98	0.26	0.39
sample-1_7_152939	OFMU01000028	1	79.03	0.24	0.24
sample-1_24_92306	OLZO01000021	19	80.71	42.72	26.08
sample-1_24_92306	OJOU01000011	17	80.11	43.63	26.26
sample-1_24_92306	OHXK01000005	19	80.78	43.62	26.87
sample-1_24_92306	PPYF01266999	21	79.72	49.25	29.49
sample-1_24_92306	OHEN01000023	21	81.25	41.52	25.14
sample-1_24_92306	OHYE01000011	19	79.9	47.85	27.81
sample-1_24_92306	OLOG01000029	21	80.14	43.93	26.11
sample-1_24_92306	OHKV01000027	19	80.12	44.52	27.05
sample-1_24_92306	OGOO01000044	17	80.11	43.42	26.35
sample-1_24_92306	OGZF01000022	17	79.91	43.82	25.51
sample-1_24_92306	OLQV01000028	18	80.7	40.87	24.11
sample-1_24_92306	OIAT01000008	21	80.3	41.25	24.95
sample-1_24_92306	OFMU01000028	17	80.13	43.18	25.9
sample-1_24_92306	OJQQ01000027	22	79.88	46.3	26.85
sample-1_24_92306	OJSE01000052	1	73.87	0.64	0.38
sample-1_24_92306	sample-1_4_157545	1	77.53	0.28	0.16
sample-1_24_92306	OHMA01000001	1	93.94	0.07	0.03
sample-1_13_99291	OLWW01000036	32	81.16	43.95	43.47
sample-1_13_99291	3300007714_____Ga0105661_1000061	32	84.5	31.52	30.96
sample-1_13_99291	MT774400_1_96055	37	83.56	40.32	41.59
sample-1_13_99291	MZ130493_1_100650	18	77.45	25.94	25.63
sample-1_13_99291	MT774397_1_97290	11	80.36	15.8	16.12
sample-1_13_99291	MT774396_1_101153	31	80.67	25.99	25.55
sample-1_13_99291	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	33	78.71	33.94	33.36
sample-1_13_99291	sample-1_9_104613	31	80.08	27.78	26.48
sample-1_13_99291	sample-1_12_101623	16	80.05	14.82	14.48
sample-1_13_99291	HvCF_E4_ms_4	15	79.67	13.43	12.71
sample-1_13_99291	MT774398_1_100198	17	79.01	16.93	16.84
sample-1_13_99291	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	17	79.03	15.97	15.51
sample-1_13_99291	MT774395_1_103665	13	78.58	14.43	13.8
sample-1_13_99291	MT774405_1_99848	17	79.14	14.92	14.86
sample-1_13_99291	MN037_S1_79	23	80.43	16.27	16.06
sample-1_13_99291	sample-1_11_101626	10	75.66	8.06	7.94
sample-1_13_99291	3300014788_____Ga0134381_1000049	20	79.26	13.35	12.82
sample-1_13_99291	ERR589777_NODE_213_length_102559_cov_114.718	8	74.26	10.05	9.75
sample-1_13_99291	OCPX01000081	6	75.26	5.51	5.31
sample-1_13_99291	OLNQ01000088	5	76.39	5.68	5.6
sample-1_13_99291	MT774375_1_98826	4	75.96	2.66	2.66
sample-1_13_99291	OLRA01000126	4	77.31	2.17	2.1
sample-1_13_99291	MT774379_1_92600	3	75.02	1.33	1.45
sample-1_13_99291	MT774406_1_101532	1	72.53	1.2	1.18
sample-1_13_99291	ERR589843_NODE_134_length_102073_cov_9.78706	3	75.58	1.19	1.15
sample-1_13_99291	OLVX01000015	1	84.57	0.16	0.09
sample-1_13_99291	ERR843949_ms_1	2	74.86	0.51	0.5
sample-1_13_99291	phage_2	1	93.85	0.07	0.04
sample-1_13_99291	OLWB01000021	1	89.19	0.07	0.04
sample-1_13_99291	OGTB01000008	1	100.0	0.05	0.03
sample-1_13_99291	OMGK01000003	1	100.0	0.05	0.02
sample-1_13_99291	MZ130477_1_100971	1	100.0	0.05	0.05
sample-1_13_99291	OLPB01000025	3	73.03	0.66	0.64
sample-1_13_99291	OGQH01000028	1	100.0	0.05	0.02
sample-1_13_99291	OHMA01000001	1	100.0	0.05	0.02
sample-1_13_99291	OKSX01000010	1	94.55	0.06	0.03
sample-1_13_99291	OJMP01000008	1	97.22	0.04	0.02
sample-1_13_99291	MT774409_1_96717	1	100.0	0.03	0.03
sample-1_13_99291	OHFX01000006	1	100.0	0.03	0.02
sample-1_3596_1751	OLGJ01000028	1	98.46	7.42	0.13
sample-1_3596_1751	MZ130481_1_98001	1	99.21	7.2	0.13
sample-1_516_11797	MZ130478_1_100314	3	82.39	42.74	5.05
sample-1_516_11797	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	3	82.77	37.51	4.37
sample-1_516_11797	MT074136_1_99494	2	78.9	27.15	3.25
sample-1_516_11797	MH675552_1_102679	2	79.01	18.73	2.15
sample-1_516_11797	MT774378_1_101662	1	76.54	18.01	2.1
sample-1_516_11797	MT774388_1_102301	1	76.22	18.06	2.09
sample-1_516_11797	MT774389_1_101082	1	74.72	14.82	1.73
sample-1_516_11797	sample-1_4_157545	1	98.53	1.14	0.09
sample-1_516_11797	sample-1_347_16656	1	100.0	1.08	0.76
sample-1_516_11797	OIWQ01000029	1	96.32	1.14	0.09
sample-1_516_11797	OJSE01000052	1	89.06	1.06	0.09
sample-1_516_11797	OMGY01000027	1	88.37	1.06	0.09
sample-1_516_11797	OLRZ01000056	1	78.4	1.03	0.13
sample-1_516_11797	OLOZ01000027	1	87.5	0.54	0.04
sample-1_4061_1441	MN019_S19_74	1	79.37	88.2	1.27
sample-1_4061_1441	ERR589851_NODE_110_length_101537_cov_76.3839	1	77.98	89.31	1.28
sample-1_4061_1441	MH675552_1_102679	1	77.03	88.27	1.25
sample-1_4061_1441	MT774388_1_102301	1	76.81	88.62	1.26
sample-1_4061_1441	MT774378_1_101662	1	76.7	88.69	1.27
sample-1_4061_1441	MT074136_1_99494	1	72.44	88.9	1.31
sample-1_4061_1441	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	2	74.91	77.93	1.13
sample-1_4061_1441	MZ130478_1_100314	2	74.68	78.56	1.15
sample-1_4061_1441	sample-1_2809_2618	1	98.33	4.16	2.29
sample-1_4677_1147	OLGH01000138	1	97.06	77.07	0.95
sample-1_4677_1147	Long_crAss_ms_3	1	74.9	67.31	0.91
sample-1_4677_1147	MZ130481_1_98001	2	97.17	23.71	0.29
sample-1_4677_1147	OLGJ01000028	2	96.82	23.71	0.28
sample-1_1_194036	3300008513_____Ga0111022_100109	35	94.91	95.46	96.78
sample-1_1_194036	MT774377_1_93787	34	93.11	92.9	96.94
sample-1_1_194036	SRR4295175_ms_5	51	90.49	87.68	91.19
sample-1_1_194036	EM181_T3_ms_1	51	77.2	39.29	41.96
sample-1_1_194036	HvCF_E4_ms_4	8	82.46	1.31	2.04
sample-1_1_194036	MH552500_1_90023	4	73.86	1.71	1.84
sample-1_1_194036	MT774395_1_103665	4	82.51	0.52	0.67
sample-1_1_194036	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	7	82.28	0.83	1.22
sample-1_1_194036	OHFX01000006	9	82.14	0.9	0.58
sample-1_1_194036	MT774398_1_100198	7	84.44	0.62	0.88
sample-1_1_194036	NG-15813_44_lib254059_NODE_1_length_93391_cov_9.27449	2	83.47	0.31	0.33
sample-1_1_194036	MZ130488_1_91714	3	80.73	0.24	0.4
sample-1_1_194036	MH616963_1_94878	5	81.3	0.42	0.62
sample-1_1_194036	Rampelli_20005_NODE_59_length_93393_cov_174.533984	4	74.49	1.01	1.43
sample-1_1_194036	OLOE01000004	6	75.66	1.0	0.58
sample-1_1_194036	UMIU01010253	2	77.87	0.24	0.25
sample-1_1_194036	MZ130481_1_98001	2	73.83	0.39	0.4
sample-1_1_194036	OLGJ01000028	2	73.44	0.38	0.38
sample-1_1_194036	MT774394_1_92815	1	72.81	0.21	0.44
sample-1_1_194036	MT774381_1_91101	2	80.19	0.16	0.17
sample-1_1_194036	OBJF01000120	2	79.36	0.14	0.19
sample-1_3635_1721	MZ130491_1_98573	1	94.13	100.0	1.75
sample-1_3635_1721	sample-1_3406_1938	1	81.55	80.53	71.52
sample-1_3635_1721	MT774410_1_98667	1	84.38	5.52	0.1
sample-1_3635_1721	MT774411_1_97886	1	84.38	5.52	0.1
sample-1_4226_1355	MZ130491_1_98573	1	90.57	100.0	1.37
sample-1_4226_1355	sample-1_4411_1265	1	81.33	50.77	54.39
sample-1_4226_1355	3300006463_____Ga0100176_1000099	1	79.75	34.98	0.45
sample-1_4226_1355	MT774406_1_101532	1	79.5	34.98	0.47
sample-1_4226_1355	OLNZ01000083	1	78.91	34.98	0.45
sample-1_4226_1355	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	1	81.22	13.28	0.18
sample-1_4226_1355	HvCF_E4_ms_4	1	81.36	12.99	0.17
sample-1_2023_3705	MZ130491_1_98573	4	91.78	84.97	3.27
sample-1_2023_3705	MT774410_1_98667	1	76.43	63.59	2.39
sample-1_2023_3705	MT774406_1_101532	2	80.25	49.53	1.81
sample-1_2023_3705	MT774408_1_94826	1	75.87	62.78	2.46
sample-1_2023_3705	OLNZ01000083	2	81.97	39.49	1.39
sample-1_2023_3705	3300006463_____Ga0100176_1000099	2	81.86	39.81	1.41
sample-1_2023_3705	MT774411_1_97886	2	77.09	63.75	2.56
sample-1_2023_3705	MT774409_1_96717	1	79.88	30.04	1.15
sample-1_4411_1265	MZ130491_1_98573	1	82.66	99.37	1.28
sample-1_4411_1265	3300006463_____Ga0100176_1000099	1	78.6	82.37	1.0
sample-1_4411_1265	MT774410_1_98667	1	76.33	96.68	1.24
sample-1_4411_1265	sample-1_4226_1355	1	81.33	54.39	50.77
sample-1_4390_1275	OLGH01000138	1	93.88	81.96	1.12
sample-1_4390_1275	Long_crAss_ms_3	1	78.38	68.08	1.03
sample-1_9_104613	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	34	94.01	69.03	71.33
sample-1_9_104613	MT774396_1_101153	24	95.08	66.69	68.88
sample-1_9_104613	3300014788_____Ga0134381_1000049	31	89.73	39.96	40.46
sample-1_9_104613	MT774405_1_99848	27	88.34	42.41	44.4
sample-1_9_104613	MT774400_1_96055	18	81.29	22.19	24.13
sample-1_9_104613	MT774395_1_103665	9	80.33	11.93	11.98
sample-1_9_104613	HvCF_E4_ms_4	11	79.78	14.36	14.3
sample-1_9_104613	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	12	80.23	13.25	13.54
sample-1_9_104613	sample-1_12_101623	15	80.09	16.73	17.18
sample-1_9_104613	MZ130493_1_100650	19	79.63	18.87	19.57
sample-1_9_104613	sample-1_13_99291	32	79.99	26.99	28.35
sample-1_9_104613	MT774397_1_97290	15	78.88	15.76	16.91
