"contig_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1980","feeding_first_yearBreastmilk_and_formula",-0.292017650354519,1.86353147552943e-15,2.45552714464904e+28,0,-0.292017650354523,-0.292017650354516
"edge_1980","Delivery.ModeC-Section",0.872576948274699,1.38940183180592e-15,3.944134686008e+29,0,0.872576948274696,0.872576948274702
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-24.8428932020185,1.00017977445077,616.947499911955,0,-26.8032095380074,-22.8825768660296
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-12",20.0807725895751,NA,NA,NA,NA,NA
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-23.2234996767313,1.00017977445076,539.137073668236,0,-25.1838160127202,-21.2631833407424
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-68.3780010077031,2.00017977445083,1168.67764762748,0,-72.2982813282322,-64.457720687174
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-23.8671203892073,1.00017977445077,569.434677656595,0,-25.8274367251962,-21.9068040532184
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-67.8014621182587,2.00017977445084,1149.05298668973,0,-71.7217424387878,-63.8811817977296
"edge_1980","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-66.9010270085277,2.00017977445083,1118.73572455936,0,-70.8213073290567,-62.9807466879986
"edge_209","(Intercept)",-2.26190574346348,7.38396997405837e-15,9.38359300123602e+28,0,-2.26190574346349,-2.26190574346346
"edge_209","Dx.StatusCELIAC",-202.553593513316,4.05833641969246,2491.05785377315,0,-210.50778673306,-194.599400293571
"edge_209","onset_timeline_combinedt0-6",2.10051072025483,5.75352398191515e-15,1.33285206567825e+29,0,2.10051072025482,2.10051072025484
"edge_209","onset_timeline_combinedt0-12",-44.2129906563849,0.951011570692403,2161.3653416322,0,-46.0769390838229,-42.3490422289469
"edge_209","onset_timeline_combinedt0-18",-46.6831309086134,0.563793795876434,6856.13508166763,0,-47.7881464432383,-45.5781153739884
"edge_209","onset_timeline_combinedt0-24",-42.3940898222151,0.866284350213567,2394.91273714037,0,-44.0919759490043,-40.6962036954258
"edge_209","onset_timeline_combinedt0-30",1.64401353535228,6.45410029362194e-15,6.48842603033422e+28,0,1.64401353535226,1.64401353535229
"edge_209","onset_timeline_combinedt0-36",1.51676336005975,5.80421909274502e-15,6.8288577024066e+28,0,1.51676336005974,1.51676336005977
"edge_209","onset_timeline_combinedt0-over42",1.52410915073596,4.03303345219448e-15,1.42813246736967e+29,0,1.52410915073595,1.52410915073596
"edge_209","SexMale",0.719157011022875,1.10129899306386e-16,4.26419398446767e+31,0,0.719157011022875,0.719157011022875
"edge_209","Age.at.Gluten.Introduction..months.",-0.230522645019259,1.08524399729131e-15,4.51203441362927e+28,0,-0.230522645019261,-0.230522645019257
"edge_209","HLA.CategoryHigh Risk",0.410778300705645,1.30771274963145e-14,9.86711686838577e+26,0,0.41077830070562,0.410778300705671
"edge_209","HLA.CategoryLow/No Risk",2.31968211237166,3.76064411071313e-15,3.8048056290469e+29,0,2.31968211237165,2.31968211237166
"edge_209","feeding_first_yearFormula",-32.5095435876069,0.802292363002693,1641.93676852082,0,-34.0820077241637,-30.9370794510501
"edge_209","feeding_first_yearBreastmilk_and_formula",-0.272562465578133,9.34228601531137e-16,8.51188563932068e+28,0,-0.272562465578135,-0.272562465578132
"edge_209","Delivery.ModeC-Section",0.0603699202569414,7.62668143673665e-16,6.26570568867358e+27,0,0.0603699202569399,0.0603699202569429
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-6",158.944679847569,3.37920405444261,2212.39748769124,0,152.32156160445,165.567798090688
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-12",247.655850773672,5.01086244783623,2442.71175639081,0,237.834740844429,257.476960702915
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-18",251.690263385983,4.66329706431457,2913.04146401487,0,242.550369090715,260.830157681251
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-24",201.857627122737,3.92460792562071,2645.4391373855,0,194.16553693508,209.549717310394
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-30",157.265409824201,3.05824176177969,2644.37347986911,0,151.271366115096,163.259453533305
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-36",157.352616481345,3.05824176177967,2647.30700364466,0,151.35857277224,163.346660190449
"edge_209","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",202.509585885845,4.05833641969222,2489.97553639474,0,194.555392666101,210.463779105588
"edge_2658","(Intercept)",-1501635543591467,893841252335869,2.8223332382958,0.092961181725594,-3253532206065948,250261118883014
"edge_2658","Dx.StatusCELIAC",-1624583694626171,299690194475712,29.3859078929159,5.9307343924786e-08,-2211965682318370,-1037201706933971
"edge_2658","onset_timeline_combinedt0-6",-1231910195375609,234439220759295,27.6119806654147,1.48257626952919e-07,-1691402624627462,-772417766123756
"edge_2658","onset_timeline_combinedt0-12",-2063122289350107,304965096497595,45.7667073396329,1.332078891636e-11,-2660842895027175,-1465401683673040
"edge_2658","onset_timeline_combinedt0-18",-1864693300159637,402412523110493,21.4719677272683,3.59039080843893e-06,-2653407352384096,-1075979247935179
"edge_2658","onset_timeline_combinedt0-24",70626214617904.1,468855060752274,0.0226910526483389,0.880263259133506,-848312818425891,989565247661699
"edge_2658","onset_timeline_combinedt0-30",315185205005766,818278083647819,0.148364435210854,0.7001032880066,-1288610368282413,1918980778293945
"edge_2658","onset_timeline_combinedt0-36",-800066954389110,316160683674224,6.40378793629015,0.0113877140675028,-1419730507718150,-180403401060070
"edge_2658","onset_timeline_combinedt0-over42",-981165569146018,75728952648303.9,167.865210096472,0,-1129591588923633,-832739549368403
"edge_2658","SexMale",-213887823432150,38872474993562.3,30.2752498812934,3.74879075559775e-08,-290076474409466,-137699172454834
"edge_2658","Age.at.Gluten.Introduction..months.",4878110036200.7,71912599190137.8,0.00460143416702387,0.945917880032612,-136067994411134,145824214483535
"edge_2658","HLA.CategoryHigh Risk",280580362217040,366365993625663,0.586521899564171,0.443767239015826,-437483790449491,998644514883570
"edge_2658","HLA.CategoryLow/No Risk",342391766311305,569860216866746,0.361002281619811,0.547950120234441,-774513734969701,1459297267592312
"edge_2658","feeding_first_yearFormula",-119917709694753,215596100910666,0.309374736283119,0.578064125781628,-542478302686921,302642883297414
"edge_2658","feeding_first_yearBreastmilk_and_formula",238066345396682,174240431656611,1.86680146692845,0.171841861469775,-103438625300989,579571316094353
"edge_2658","Delivery.ModeC-Section",-157721875734167,221804547177635,0.505641808646514,0.477031594464699,-592450799809546,277007048341212
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-6",1565756027915178,269968196274156,33.6374430010627,6.64021493346212e-09,1036628086246591,2094883969583764
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-12",3544714660423584,844301167942786,17.6265688944649,2.68806614140971e-05,1889914779150621,5199514541696547
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-18",829370106956200,242583403144357,11.6889254090126,0.000628732001920707,353915373546099,1304824840366300
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-554483810392905,555582071222066,0.996050357350832,0.318268096824659,-1643404660444320,534437039658510
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-30",1193603300677995,239479600080042,24.8417950093139,6.22333734434655e-07,724231909489057,1662974691866933
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-479897713592870,395843291975263,1.46977475010296,0.225381236420823,-1255736309386158,295940882200417
"edge_2658","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",3430283290960508,168693390951159,413.488884600774,0,3099650320266300,3760916261654716
"edge_305","(Intercept)",-3.3828807577623,1.01618303949271e-14,1.10822896110201e+29,0,-3.38288075776232,-3.38288075776228
"edge_305","Dx.StatusCELIAC",-42.6799561816773,0.933257870598971,2091.43613495701,0,-44.5091079963399,-40.8508043670148
"edge_305","onset_timeline_combinedt0-6",-42.4915773615264,1.03818329744098,1675.16515693673,0,-44.5263792338618,-40.4567754891911
"edge_305","onset_timeline_combinedt0-12",0.762549183445194,1.08836884972961e-15,4.90889241534746e+29,0,0.762549183445192,0.762549183445196
"edge_305","onset_timeline_combinedt0-18",3.51421273884134,8.12779228400715e-16,1.86943730615857e+31,0,3.51421273884133,3.51421273884134
"edge_305","onset_timeline_combinedt0-24",3.42695095120039,7.46672639105869e-16,2.10647011590923e+31,0,3.42695095120039,3.42695095120039
"edge_305","onset_timeline_combinedt0-30",-41.7717488992957,1.0097313971212,1711.40815089439,0,-43.7507860717125,-39.7927117268788
"edge_305","onset_timeline_combinedt0-36",-41.6337301060063,0.944829310993248,1941.70804322311,0,-43.4855615270908,-39.7818986849217
"edge_305","onset_timeline_combinedt0-over42",-37.5257048441172,0.793109913489287,2238.67453872386,0,-39.0801717103379,-35.9712379778966
"edge_305","SexMale",1.91868996773635,4.99817575495035e-15,1.47362358096479e+29,0,1.91868996773634,1.91868996773636
"edge_305","Age.at.Gluten.Introduction..months.",-0.285069420217721,1.01824575482029e-15,7.83783377343476e+28,0,-0.285069420217723,-0.285069420217719
"edge_305","HLA.CategoryHigh Risk",-1.24057476130267,2.64021424245009e-15,2.20783972880362e+29,0,-1.24057476130267,-1.24057476130266
"edge_305","HLA.CategoryLow/No Risk",-38.5986861458112,0.413780138952311,8701.73316826798,0,-39.4096803156757,-37.7876919759467
"edge_305","feeding_first_yearFormula",2.04893900125888,2.10661991408437e-15,9.45988131956527e+29,0,2.04893900125888,2.04893900125888
"edge_305","feeding_first_yearBreastmilk_and_formula",0.355746753648809,4.96121686545498e-17,5.14168502326335e+31,0,0.355746753648809,0.355746753648809
"edge_305","Delivery.ModeC-Section",1.6992361962392,5.42236194983448e-15,9.82042975129602e+28,0,1.69923619623919,1.69923619623922
"edge_305","Dx.StatusCELIAC:onset_timeline_combinedt0-6",85.8783998517191,1.97169783710109,1897.08664812759,0,82.0139431026055,89.7428566008328
"edge_305","Dx.StatusCELIAC:onset_timeline_combinedt0-12",0.47336058616137,0.0175216536813099,729.850657773414,0,0.439018775996419,0.507702396326321
