"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj"
"virus_comp_138_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-9.11738489468985,3.52851012869434,-2.58391915061997,0.00976846902576657,-16.0331376660155,-2.20163212336415,0.0358177197611441
"virus_comp_138_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-40.8026875264436,2122152.26342095,-1.9227031080545e-05,0.999984659048752,-4159382.80870275,4159301.2033277,0.999984659048752
"virus_comp_138_cycle_1","fixed","cond",NA,"SexMale",2.08734200907346,5.50565849782573,0.37912667665417,0.704593797345779,-8.70355035784186,12.8782343759888,0.922102978070834
"virus_comp_138_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.402800095653373,0.684528556572754,0.588434319920972,0.556240807302916,-0.938851221618414,1.74445141292516,0.92636647132745
"virus_comp_138_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",3.72405339408306,4.7968908789109,0.776347323316345,0.43754393830409,-5.67767996635098,13.1257867545171,0.598011728122439
"virus_comp_138_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",5.72166496615594,9.31312897347347,0.614365481510342,0.538973840573731,-12.5317324052285,23.9750623375404,0.997473955796984
"virus_comp_138_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",-2.80239639596217,6.30015879266822,-0.444813613146298,0.656454455728368,-15.1504807264752,9.54568793455088,0.811029919669472
"virus_comp_138_cycle_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.591473008338999,7.17137703706191,-0.0824769085884408,0.934267480040634,-14.6471137205379,13.4641677038599,0.934267480040634
"virus_comp_138_cycle_1","fixed","cond",NA,"Delivery.ModeC-Section",0.213267259228989,6.74938883860973,0.0315980104760002,0.974792630009221,-13.0152917821027,13.4418263005607,0.974792630009221
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",3.75808268156042,8.14176618561141,0.461580767107009,0.644381989468626,-12.199485812784,19.7156511759048,0.999978822754191
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-37.1688879133207,1019497.18830238,-3.64580582857836e-05,0.999970910678183,-1998214.94030043,1998140.6025246,0.999996149710004
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-6.18064721353565,3643.49222642593,-0.00169635251825376,0.998646507165144,-7147.29418896002,7134.93289453295,0.999326590250766
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",9.24944756635146,9.46663797669479,0.977057281489161,0.328540794806522,-9.30482192264944,27.8037170553524,0.636910005082383
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-19.5550955301247,4680.68818057774,-0.00417782487867221,0.996666587728591,-9193.53535232481,9154.42516126457,0.999964160619792
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",11.0791877404782,9.39795090333287,1.17889397959603,0.238440395334119,-7.3404575585299,29.4988330394863,0.680469147903472
"virus_comp_138_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",44.5447380698325,2122152.26343117,2.09903590978957e-05,0.999983252116551,-4159297.46129718,4159386.55077332,0.999983252116551
"virus_comp_15228_cycle_1","fixed","cond",NA,"(Intercept)",-15.6504839384721,2.75321959634357,-5.68442995221187,1.31249703252694e-08,-21.0466951888354,-10.2542726881088,7.21873367889817e-08
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",-0.896782709461124,2.09316317929627,-0.428434208250609,0.668335023759295,-4.99930715464716,3.20574173572491,0.957740052485211
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",-2.07365331361938,2.57944072004503,-0.803915863429179,0.421445567830112,-7.12926422516369,2.98195759792493,0.798515497768654
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-2.11573628438321,2.04061826696996,-1.03681140104895,0.299823761107756,-6.11527459383888,1.88380202507245,0.366451263576146
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-1.00407184218288,2.38347959700573,-0.421263032183808,0.673563021604181,-5.67560601020015,3.6674623258344,0.823243693071777
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",-2.46293997928732,2.39909252169984,-1.02661317019247,0.304602649981089,-7.16507491739838,2.23919495882374,0.670125829958396
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-2.61546322800029,2.66438869946762,-0.981637262056733,0.326278583413205,-7.83756911977234,2.60664266377175,0.512723488220751
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-3.45573335774773,2.17486281790876,-1.58894314128309,0.112073230110156,-7.71838615216418,0.806919436668723,0.205467588535286
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-3.86546695723301,2.62039557884022,-1.4751463437226,0.140173203244495,-9.00134791700782,1.27041400254181,0.28034640648899
"virus_comp_15228_cycle_1","fixed","cond",NA,"SexMale",0.274055096402879,2.11107206885097,0.129817972795236,0.896710443010844,-3.86357012731349,4.41168032011925,0.922102978070834
"virus_comp_15228_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.196074331932001,0.180604716120972,1.08565455068553,0.277631855558406,-0.157904407103184,0.550053070967186,0.92636647132745
"virus_comp_15228_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",2.63728315355836,1.91528769991531,1.37696449137901,0.168523226397927,-1.1166117583082,6.39117806542492,0.598011728122439
"virus_comp_15228_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.376674525908428,2.81536549425394,-0.133792406945815,0.893566731591868,-5.89468949796296,5.1413404461461,0.997473955796984
"virus_comp_15228_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",2.07046640738623,2.29613157189869,0.901719410475306,0.367205939229175,-2.42986877730055,6.570801592073,0.811029919669472
"virus_comp_15228_cycle_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",1.72178720247565,1.92610312670341,0.893922645472542,0.37136328053789,-2.05330555637302,5.49687996132432,0.694976647420087
"virus_comp_15228_cycle_1","fixed","cond",NA,"Delivery.ModeC-Section",4.2009170423942,2.13018644633994,1.97208889842116,0.0485994590590532,0.0258283272125617,8.37600575757584,0.267297024824793
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",2.05028236584159,3.39489589785614,0.603930850173146,0.545889617140003,-4.60359132521922,8.7041560569024,0.999978822754191
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",5.28060670932821,2.72460140246551,1.93812082183829,0.0526084836959686,-0.0595139117315124,10.6207273303879,0.168627969263679
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",3.16586906242293,3.26537468203937,0.969527043814067,0.332282293723083,-3.23414771040316,9.56588583524901,0.579992822565875
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",3.15028283084719,3.09945129588957,1.01640017219339,0.309438863672063,-2.92453008093236,9.22509574262673,0.636910005082383
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",2.21644978583624,3.18065580142143,0.69685307817517,0.485894744824021,-4.01752103216815,8.45042060384063,0.999964160619792
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",3.56202124677713,2.93597943195704,1.21323099474263,0.225041517079195,-2.19239269920903,9.3164351927633,0.680469147903472
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",4.12877649243891,3.31208523266946,1.2465791797004,0.212551839801002,-2.36279127732019,10.620344262198,0.999983252116551
"virus_comp_16559_cycle_1","fixed","cond",NA,"(Intercept)",-16.6898070064814,2.66699212635381,-6.25791386542223,3.90161194423234e-10,-21.9170155211868,-11.462598491776,4.29177313865558e-09
"virus_comp_16559_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",2.61897513956187,2.26989065620459,1.15378911860934,0.248586636387325,-1.82992879544311,7.06787907456685,0.91148433342019
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",-2.62212912815168,2.32551990665696,-1.12754533755899,0.259511983075276,-7.18006439053028,1.93580613422692,0.798515497768654
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-3.22523692452212,2.00646611393405,-1.60742157673346,0.107961920025934,-7.15783824403289,0.707364394988648,0.271695459209213
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-1.77837626327337,2.39783020944202,-0.741660629793798,0.458292979095254,-6.47803711482186,2.92128458827513,0.720174681435399
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",-2.49617646306237,2.36672402812035,-1.0546968862461,0.291563976328533,-7.13487031952383,2.14251739339909,0.670125829958396
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-2.66765345045446,2.33700828416304,-1.14148223972164,0.253669298627958,-7.24810551898577,1.91279861807685,0.512723488220751
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-3.72497675502522,2.2356033646812,-1.66620645409362,0.0956723009260848,-8.10667883351693,0.656725323466496,0.205467588535286
"virus_comp_16559_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-1.9985599089035,2.0809572601505,-0.96040411169183,0.336851869544559,-6.07716119216563,2.08004137435862,0.561419782574266
"virus_comp_16559_cycle_1","fixed","cond",NA,"SexMale",1.72424085961199,2.1997212206819,0.783845172470303,0.433130964243253,-2.58713350895302,6.03561522817699,0.922102978070834
"virus_comp_16559_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.254009876254109,0.197685007759914,1.28492230712103,0.198819434915952,-0.133445619238844,0.641465371747062,0.92636647132745
"virus_comp_16559_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",2.58316593177868,1.98432200858098,1.30178767387957,0.192988978586977,-1.30603373877022,6.47236560232758,0.598011728122439
"virus_comp_16559_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",-1.04897106643946,2.86733804188687,-0.365834460784112,0.714488603720696,-6.66885036003933,4.57090822716042,0.997473955796984
"virus_comp_16559_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",2.22898555688998,2.43446249834527,0.915596587914186,0.359878521627046,-2.54247326158016,7.00044437536011,0.811029919669472
"virus_comp_16559_cycle_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",1.55702266200763,2.02635467571689,0.768386048437835,0.442257866540055,-2.41455952230181,5.52860484631706,0.694976647420087
"virus_comp_16559_cycle_1","fixed","cond",NA,"Delivery.ModeC-Section",5.60834319644383,2.17899375148807,2.5738225236368,0.0100581852584844,1.3375939209894,9.87909247189826,0.110640037843328
