"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_305","fixed","cond",NA,"HLA.CategoryLow/No Risk",-136.614037984707,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"feeding_first_yearFormula",2.04893987223336,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",0.355747075026939,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Delivery.ModeC-Section",1.69925188899273,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",84.6403876541752,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-5.92290912874286,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-44.2553604226774,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-43.9045558182725,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",75.9152583065729,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",0.168593865175503,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",0.414081599251986,NA,NA,NA,NA,NA
"edge_305","ran_pars","cond","patientID","sd__(Intercept)",2.32116982115135e-19,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"(Intercept)",-119.946719267302,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC",49.2449337037352,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-6",-53.0139558615669,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-12",-37.5736463022848,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-18",-30.4377542520139,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-24",-38.7487885163096,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-30",70.7106652574873,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-36",71.8516820871557,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"onset_timeline_combinedt0-over42",44.4758810043628,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"SexMale",-0.374493584877596,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.394603390767487,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"HLA.CategoryHigh Risk",-48.5337913088388,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"HLA.CategoryLow/No Risk",54.9964897694051,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"feeding_first_yearFormula",99.5165905872858,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",51.33528887509,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Delivery.ModeC-Section",-75.5016704686642,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",74.1259604302287,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-23.3428218457348,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",52.7537271196659,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-11.8243054242596,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-136.998777103136,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-140.183107986338,NA,NA,NA,NA,NA
"edge_329","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-129.619311221337,NA,NA,NA,NA,NA
"edge_329","ran_pars","cond","patientID","sd__(Intercept)",3.26750958923458e-14,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"(Intercept)",-3.74994368774243,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"Dx.StatusCELIAC",0.00710881352218705,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-6",-17.1483287015044,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-12",-22.8302061033818,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-18",-24.917128466446,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-24",0.256511759632048,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-30",0.873698013641216,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-36",1.49451747252905,NA,NA,NA,NA,NA
"edge_4","fixed","cond",NA,"onset_timeline_combinedt0-over42",-0.840705539177253,NA,NA,NA,NA,NA
