"contig_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_967","edge_967","t0-18",0.128874393189598,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_967","edge_967","t0-24",-0.178033479569569,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_967","edge_967","t0-30",-1.83674450221863,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_967","edge_967","t0-36",-1.64699623546532,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10080_cycle_1","virus_comp_10080_cycle_1","t0-6",-19.2379856934302,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10080_cycle_1","virus_comp_10080_cycle_1","t0-12",-3.23234215338639,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10080_cycle_1","virus_comp_10080_cycle_1","t0-18",-6.07092425237353,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10080_cycle_1","virus_comp_10080_cycle_1","t0-24",-7.67575669086479,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10080_cycle_1","virus_comp_10080_cycle_1","t0-30",-1.97235303564804,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10080_cycle_1","virus_comp_10080_cycle_1","t0-36",0.439426699918413,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_103_cycle_1","virus_comp_103_cycle_1","t0-6",52.1628924702804,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_103_cycle_1","virus_comp_103_cycle_1","t0-12",-7.82023768418437,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_103_cycle_1","virus_comp_103_cycle_1","t0-18",-47.9430532422613,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_103_cycle_1","virus_comp_103_cycle_1","t0-24",-8.96955489020964,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_103_cycle_1","virus_comp_103_cycle_1","t0-30",-69.3174625776,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_103_cycle_1","virus_comp_103_cycle_1","t0-36",-9.59323951875562,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_105_cycle_1","virus_comp_105_cycle_1","t0-6",-21.4936240640903,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_105_cycle_1","virus_comp_105_cycle_1","t0-12",-24.6392037976733,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_105_cycle_1","virus_comp_105_cycle_1","t0-18",-142.183069813952,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_105_cycle_1","virus_comp_105_cycle_1","t0-24",-47.1045701537956,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_105_cycle_1","virus_comp_105_cycle_1","t0-30",-166.978084260956,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_105_cycle_1","virus_comp_105_cycle_1","t0-36",-16.1482694453223,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1069_cycle_1","virus_comp_1069_cycle_1","t0-6",-20.9803016733418,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1069_cycle_1","virus_comp_1069_cycle_1","t0-12",-2.06972564656646,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1069_cycle_1","virus_comp_1069_cycle_1","t0-18",-13.8410799563334,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1069_cycle_1","virus_comp_1069_cycle_1","t0-24",-25.1894256349185,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1069_cycle_1","virus_comp_1069_cycle_1","t0-30",-1.49202406573562,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1069_cycle_1","virus_comp_1069_cycle_1","t0-36",-0.928550940330506,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10904_cycle_1","virus_comp_10904_cycle_1","t0-6",-1.71627001068543,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10904_cycle_1","virus_comp_10904_cycle_1","t0-12",-54.3922172198002,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10904_cycle_1","virus_comp_10904_cycle_1","t0-18",-42.6778555174724,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10904_cycle_1","virus_comp_10904_cycle_1","t0-24",0.192269423337202,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10904_cycle_1","virus_comp_10904_cycle_1","t0-30",151.106986202285,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_10904_cycle_1","virus_comp_10904_cycle_1","t0-36",-10.8784555116682,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1105_cycle_1","virus_comp_1105_cycle_1","t0-6",31.0492728434711,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1105_cycle_1","virus_comp_1105_cycle_1","t0-12",-11.6915509505647,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1105_cycle_1","virus_comp_1105_cycle_1","t0-18",-7.51929527839507,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1105_cycle_1","virus_comp_1105_cycle_1","t0-24",-1.37427181703204,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1105_cycle_1","virus_comp_1105_cycle_1","t0-30",-6.66317025853531,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1105_cycle_1","virus_comp_1105_cycle_1","t0-36",-3.11891987057579,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1133_cycle_1","virus_comp_1133_cycle_1","t0-6",-1.03141169938282,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1133_cycle_1","virus_comp_1133_cycle_1","t0-12",8.87729009114031,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1133_cycle_1","virus_comp_1133_cycle_1","t0-18",33.475322751768,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1133_cycle_1","virus_comp_1133_cycle_1","t0-24",0.0362648927634205,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1133_cycle_1","virus_comp_1133_cycle_1","t0-30",-22.1346283727562,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1133_cycle_1","virus_comp_1133_cycle_1","t0-36",-14.9545327515466,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1146_cycle_3","virus_comp_1146_cycle_3","t0-6",18.6680107289757,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1146_cycle_3","virus_comp_1146_cycle_3","t0-12",-93.8210750045265,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1146_cycle_3","virus_comp_1146_cycle_3","t0-18",-2.64301990427156,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1146_cycle_3","virus_comp_1146_cycle_3","t0-24",1.51116587351563,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1146_cycle_3","virus_comp_1146_cycle_3","t0-30",-54.44508793557,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1146_cycle_3","virus_comp_1146_cycle_3","t0-36",-13.2084490098132,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1147_cycle_1","virus_comp_1147_cycle_1","t0-6",-2.75697264753614,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1147_cycle_1","virus_comp_1147_cycle_1","t0-12",-105.275318472761,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1147_cycle_1","virus_comp_1147_cycle_1","t0-18",-5.85291316239756,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1147_cycle_1","virus_comp_1147_cycle_1","t0-24",-1.99100977605012,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1147_cycle_1","virus_comp_1147_cycle_1","t0-30",-40.2125022213491,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_1147_cycle_1","virus_comp_1147_cycle_1","t0-36",3.61812190955987,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12586_cycle_1","virus_comp_12586_cycle_1","t0-6",-6.07176323768451,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12586_cycle_1","virus_comp_12586_cycle_1","t0-12",-14.1543548511552,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12586_cycle_1","virus_comp_12586_cycle_1","t0-18",-27.4379141224344,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12586_cycle_1","virus_comp_12586_cycle_1","t0-24",0.21340928542548,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12586_cycle_1","virus_comp_12586_cycle_1","t0-30",141.614425611285,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12586_cycle_1","virus_comp_12586_cycle_1","t0-36",-36.1672878433376,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12691_cycle_1","virus_comp_12691_cycle_1","t0-6",-13.0386339983147,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12691_cycle_1","virus_comp_12691_cycle_1","t0-12",21.1574664343722,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12691_cycle_1","virus_comp_12691_cycle_1","t0-18",-7.53188065290239,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12691_cycle_1","virus_comp_12691_cycle_1","t0-24",-0.425707108444572,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12691_cycle_1","virus_comp_12691_cycle_1","t0-30",7.61744995989806,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_12691_cycle_1","virus_comp_12691_cycle_1","t0-36",-3.17388832187794,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13158_cycle_1","virus_comp_13158_cycle_1","t0-6",-11.5218233988394,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13158_cycle_1","virus_comp_13158_cycle_1","t0-12",-36.4842295396374,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13158_cycle_1","virus_comp_13158_cycle_1","t0-18",-9.21818878370197,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13158_cycle_1","virus_comp_13158_cycle_1","t0-24",-1.45668298082036,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13158_cycle_1","virus_comp_13158_cycle_1","t0-30",50.5496587878553,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13158_cycle_1","virus_comp_13158_cycle_1","t0-36",-11.9212974025652,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13180_cycle_1","virus_comp_13180_cycle_1","t0-6",50.8997508103889,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13180_cycle_1","virus_comp_13180_cycle_1","t0-12",7.63037586960107,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13180_cycle_1","virus_comp_13180_cycle_1","t0-18",-1.93929841234424,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13180_cycle_1","virus_comp_13180_cycle_1","t0-24",-8.6798521636284,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13180_cycle_1","virus_comp_13180_cycle_1","t0-30",-54.635555224358,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13180_cycle_1","virus_comp_13180_cycle_1","t0-36",-9.78725307226572,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13210_cycle_1","virus_comp_13210_cycle_1","t0-6",-8.47981912944645,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13210_cycle_1","virus_comp_13210_cycle_1","t0-12",-81.059489318059,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13210_cycle_1","virus_comp_13210_cycle_1","t0-18",-47.4272338456765,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13210_cycle_1","virus_comp_13210_cycle_1","t0-24",-0.0821557556138174,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13210_cycle_1","virus_comp_13210_cycle_1","t0-30",431.043200894027,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13210_cycle_1","virus_comp_13210_cycle_1","t0-36",-35.0020080460618,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13432_cycle_1","virus_comp_13432_cycle_1","t0-6",-1.68715371683628,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13432_cycle_1","virus_comp_13432_cycle_1","t0-12",-27.0005552215692,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13432_cycle_1","virus_comp_13432_cycle_1","t0-18",-21.8798438160294,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13432_cycle_1","virus_comp_13432_cycle_1","t0-24",-9.1635322653748,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13432_cycle_1","virus_comp_13432_cycle_1","t0-30",-13.981680108034,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13432_cycle_1","virus_comp_13432_cycle_1","t0-36",-7.79452768073334,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_138_cycle_1","virus_comp_138_cycle_1","t0-6",39.618571350654,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_138_cycle_1","virus_comp_138_cycle_1","t0-12",-25.534608407007,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_138_cycle_1","virus_comp_138_cycle_1","t0-18",-11.1154535656131,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_138_cycle_1","virus_comp_138_cycle_1","t0-24",0.0156081529687814,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_138_cycle_1","virus_comp_138_cycle_1","t0-30",-20.2060726308829,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_138_cycle_1","virus_comp_138_cycle_1","t0-36",-30.6328674979976,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13909_cycle_1","virus_comp_13909_cycle_1","t0-6",-6.65950242727351,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13909_cycle_1","virus_comp_13909_cycle_1","t0-12",-8.98100848842433,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13909_cycle_1","virus_comp_13909_cycle_1","t0-18",-11.1801194238683,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13909_cycle_1","virus_comp_13909_cycle_1","t0-24",-0.453500854836934,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13909_cycle_1","virus_comp_13909_cycle_1","t0-30",107.342377050969,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_13909_cycle_1","virus_comp_13909_cycle_1","t0-36",-51.8109794441809,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14513_cycle_1","virus_comp_14513_cycle_1","t0-6",32.6399597785028,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14513_cycle_1","virus_comp_14513_cycle_1","t0-12",-25.2463966219361,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14513_cycle_1","virus_comp_14513_cycle_1","t0-18",-14.7627397950795,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14513_cycle_1","virus_comp_14513_cycle_1","t0-24",-33.3161891509429,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14513_cycle_1","virus_comp_14513_cycle_1","t0-30",83.7603737412316,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14513_cycle_1","virus_comp_14513_cycle_1","t0-36",-4.56922404704224,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14666_cycle_1","virus_comp_14666_cycle_1","t0-6",-50.5379824130274,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14666_cycle_1","virus_comp_14666_cycle_1","t0-12",59.2553335149636,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14666_cycle_1","virus_comp_14666_cycle_1","t0-18",-6.83530495182823,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14666_cycle_1","virus_comp_14666_cycle_1","t0-24",-387.995671440304,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14666_cycle_1","virus_comp_14666_cycle_1","t0-30",-345.826503894332,NA,NA,NA,NA,"abundance_nbinom",NA,6
"virus_comp_14666_cycle_1","virus_comp_14666_cycle_1","t0-36",-262.80567524377,NA,NA,NA,NA,"abundance_nbinom",NA,6
